time,workload,config_id
1.78,corona,1
1.94,cranium,1
7.7,cubus,1
2.1,flame,1
3.58,france,1
4.84,frisco,1
1.57,jelly,1
18.47,karte,1
1.34,mandelbrot,1
1.59,strawberry,1
2.3,village,1
1.22,corona,2
2.82,cranium,2
5.55,cubus,2
1.56,flame,2
5.36,france,2
5.41,frisco,2
1.82,jelly,2
8.93,karte,2
1.41,mandelbrot,2
1.81,strawberry,2
3.02,village,2
1.18,corona,3
2.88,cranium,3
5.14,cubus,3
1.47,flame,3
5.47,france,3
5.19,frisco,3
1.8,jelly,3
8.75,karte,3
1.19,mandelbrot,3
1.75,strawberry,3
2.93,village,3
1.32,corona,4
3.04,cranium,4
6.93,cubus,4
2.05,flame,4
5.47,france,4
5.73,frisco,4
1.96,jelly,4
9.69,karte,4
1.29,mandelbrot,4
1.92,strawberry,4
3.14,village,4
1.83,corona,5
2.04,cranium,5
8.16,cubus,5
2.19,flame,5
3.81,france,5
4.85,frisco,5
1.69,jelly,5
19.04,karte,5
1.44,mandelbrot,5
1.62,strawberry,5
2.39,village,5
1.23,corona,6
2.9,cranium,6
5.69,cubus,6
1.66,flame,6
5.3,france,6
5.6,frisco,6
1.94,jelly,6
9.09,karte,6
1.41,mandelbrot,6
1.92,strawberry,6
3.21,village,6
1.16,corona,7
1.72,cranium,7
6.17,cubus,7
1.99,flame,7
2.81,france,7
4.42,frisco,7
1.46,jelly,7
8.35,karte,7
1.17,mandelbrot,7
1.46,strawberry,7
2.42,village,7
1.36,corona,8
1.68,cranium,8
6.34,cubus,8
1.97,flame,8
2.93,france,8
4.38,frisco,8
1.48,jelly,8
12.14,karte,8
1.2,mandelbrot,8
1.42,strawberry,8
2.14,village,8
1.19,corona,9
2.79,cranium,9
5.31,cubus,9
1.5,flame,9
5.41,france,9
5.31,frisco,9
1.79,jelly,9
8.55,karte,9
1.18,mandelbrot,9
1.79,strawberry,9
3.02,village,9
1.42,corona,10
1.85,cranium,10
6.84,cubus,10
2.18,flame,10
3.24,france,10
4.87,frisco,10
1.63,jelly,10
12.64,karte,10
1.25,mandelbrot,10
1.58,strawberry,10
2.34,village,10
1.46,corona,11
1.78,cranium,11
6.66,cubus,11
2.09,flame,11
3.22,france,11
4.76,frisco,11
1.56,jelly,11
12.11,karte,11
1.23,mandelbrot,11
1.55,strawberry,11
2.25,village,11
1.11,corona,12
1.65,cranium,12
6.0,cubus,12
1.94,flame,12
2.71,france,12
3.93,frisco,12
1.4,jelly,12
8.08,karte,12
1.15,mandelbrot,12
1.42,strawberry,12
2.07,village,12
2.86,corona,13
2.06,cranium,13
6.42,cubus,13
1.68,flame,13
3.81,france,13
5.64,frisco,13
4.02,jelly,13
17.78,karte,13
1.62,mandelbrot,13
2.09,strawberry,13
16.19,village,13
1.46,corona,14
1.82,cranium,14
6.87,cubus,14
2.15,flame,14
3.25,france,14
4.36,frisco,14
1.59,jelly,14
12.64,karte,14
1.25,mandelbrot,14
1.63,strawberry,14
2.29,village,14
1.4,corona,15
1.78,cranium,15
6.75,cubus,15
2.13,flame,15
3.13,france,15
4.83,frisco,15
1.53,jelly,15
12.22,karte,15
1.26,mandelbrot,15
1.6,strawberry,15
2.27,village,15
1.49,corona,16
1.92,cranium,16
7.06,cubus,16
2.14,flame,16
3.36,france,16
5.09,frisco,16
1.64,jelly,16
12.84,karte,16
1.25,mandelbrot,16
1.6,strawberry,16
2.37,village,16
1.21,corona,17
2.92,cranium,17
5.78,cubus,17
1.68,flame,17
5.53,france,17
5.9,frisco,17
1.92,jelly,17
9.2,karte,17
1.4,mandelbrot,17
1.96,strawberry,17
3.18,village,17
1.74,corona,18
2.06,cranium,18
7.1,cubus,18
2.26,flame,18
3.42,france,18
5.44,frisco,18
2.15,jelly,18
12.77,karte,18
1.39,mandelbrot,18
1.79,strawberry,18
5.53,village,18
2.65,corona,19
2.01,cranium,19
6.18,cubus,19
1.68,flame,19
3.57,france,19
5.34,frisco,19
3.99,jelly,19
17.29,karte,19
1.54,mandelbrot,19
2.05,strawberry,19
15.5,village,19
1.73,corona,20
1.77,cranium,20
5.76,cubus,20
1.52,flame,20
3.32,france,20
4.12,frisco,20
1.62,jelly,20
17.29,karte,20
1.38,mandelbrot,20
1.45,strawberry,20
2.15,village,20
