time,workload,config_id
1.87,jpeg-large,1
1.12,jpeg-medium,1
0.5,jpeg-small,1
1.56,png-large,1
0.52,png-medium,1
0.53,png-small,1
16.34,psd-large,1
1.01,psd-medium,1
0.47,psd-small,1
1.45,svg-large,1
1.47,svg-medium,1
0.5,svg-small,1
5.93,jpeg-large,2
2.89,jpeg-medium,2
0.55,jpeg-small,2
3.32,png-large,2
0.78,png-medium,2
0.58,png-small,2
39.73,psd-large,2
1.37,psd-medium,2
0.61,psd-small,2
1.43,svg-large,2
1.54,svg-medium,2
0.62,svg-small,2
2.07,jpeg-large,3
1.26,jpeg-medium,3
0.48,jpeg-small,3
1.72,png-large,3
0.58,png-medium,3
0.51,png-small,3
16.42,psd-large,3
1.02,psd-medium,3
0.53,psd-small,3
1.45,svg-large,3
1.48,svg-medium,3
0.58,svg-small,3
2.07,jpeg-large,4
1.23,jpeg-medium,4
0.4,jpeg-small,4
1.81,png-large,4
0.54,png-medium,4
0.43,png-small,4
16.39,psd-large,4
1.04,psd-medium,4
0.5,psd-small,4
1.45,svg-large,4
1.46,svg-medium,4
0.55,svg-small,4
2.22,jpeg-large,5
1.39,jpeg-medium,5
0.4,jpeg-small,5
1.85,png-large,5
0.55,png-medium,5
0.52,png-small,5
24.03,psd-large,5
1.15,psd-medium,5
0.49,psd-small,5
1.5,svg-large,5
1.51,svg-medium,5
0.58,svg-small,5
2.56,jpeg-large,6
1.45,jpeg-medium,6
0.41,jpeg-small,6
2.05,png-large,6
0.65,png-medium,6
0.56,png-small,6
33.76,psd-large,6
1.23,psd-medium,6
0.53,psd-small,6
1.54,svg-large,6
1.56,svg-medium,6
0.51,svg-small,6
3.31,jpeg-large,7
1.77,jpeg-medium,7
0.46,jpeg-small,7
2.43,png-large,7
0.65,png-medium,7
0.6,png-small,7
54.68,psd-large,7
1.28,psd-medium,7
0.59,psd-small,7
1.48,svg-large,7
1.6,svg-medium,7
0.49,svg-small,7
2.24,jpeg-large,8
1.37,jpeg-medium,8
0.4,jpeg-small,8
1.81,png-large,8
0.52,png-medium,8
0.4,png-small,8
25.53,psd-large,8
1.14,psd-medium,8
0.52,psd-small,8
1.49,svg-large,8
1.56,svg-medium,8
0.58,svg-small,8
2.47,jpeg-large,9
1.4,jpeg-medium,9
0.41,jpeg-small,9
1.96,png-large,9
0.6,png-medium,9
0.55,png-small,9
31.69,psd-large,9
1.18,psd-medium,9
0.55,psd-small,9
1.52,svg-large,9
1.51,svg-medium,9
0.51,svg-small,9
2.45,jpeg-large,10
1.43,jpeg-medium,10
0.4,jpeg-small,10
1.95,png-large,10
0.58,png-medium,10
0.49,png-small,10
31.64,psd-large,10
1.17,psd-medium,10
0.52,psd-small,10
1.46,svg-large,10
1.52,svg-medium,10
0.53,svg-small,10
3.9,jpeg-large,11
1.99,jpeg-medium,11
0.49,jpeg-small,11
3.34,png-large,11
0.76,png-medium,11
0.57,png-small,11
39.86,psd-large,11
1.39,psd-medium,11
0.59,psd-small,11
1.44,svg-large,11
