iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,config_id,threads
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,1,90
False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,2,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,5,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,6,90
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,7,90
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,8,90
False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,9,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,10,90
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,11,10
False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,12,90
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,13,90
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,14,90
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,15,90
False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,16,10
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,17,10
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,18,10
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,19,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,20,90
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,21,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,22,90
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,23,10
True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,24,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,25,90
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,26,90
False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,False,True,27,90
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,28,10
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,29,10
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,30,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,31,10
True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,32,10
False,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,33,10
False,False,False,True,False,True,True,False,True,True,False,False,True,True,False,False,False,34,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,35,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,36,90
False,True,False,True,False,True,True,False,False,False,False,True,True,True,False,False,True,37,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,38,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,39,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,40,10
False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,False,41,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,42,90
True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,43,10
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,44,90
True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,45,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,46,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,47,10
False,False,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,48,10
False,False,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,49,90
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,50,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,51,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,52,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,53,10
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,54,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,55,10
False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,56,90
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,57,90
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,58,10
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,59,90
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,60,10
False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,61,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,62,90
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,63,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,64,10
False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,65,90
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,66,10
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,67,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,68,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,69,90
False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,70,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,71,90
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,72,10
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,73,10
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,74,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,75,10
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,76,10
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,77,10
False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,78,90
False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,79,90
False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,80,90
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,81,90
False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,82,10
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,83,90
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,84,90
False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,85,90
False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,86,10
False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,87,10
False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,88,90
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,89,10
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,90,90
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,91,90
True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,92,10
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,93,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,94,90
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,95,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,96,10
False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,97,10
False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,98,10
False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,99,90
False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,100,90
False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,101,90
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,102,90
