throughput,workload,config_id
11639.8042641051,ycsb-2400,19
14568.2802395099,smallbank-10,19
684.297043038427,tpcc-2,19
19473.6017608214,smallbank-1,19
777.649071577734,tpcc-8,19
16420.1800036172,ycsb-600,19
31635.8332558255,voter-2,19
31806.0499257859,voter-16,19
12217.471107106,smallbank-10,20
695.806620888997,tpcc-2,20
14262.733534625,ycsb-2400,20
25770.5832839397,voter-2,20
25238.783299261,voter-16,20
597.47540461564,tpcc-8,20
18746.236360602,smallbank-1,20
19440.0557558464,ycsb-600,20
13461.8030148358,ycsb-2400,21
11926.4668752832,smallbank-10,21
684.329782859337,tpcc-2,21
561.395396305122,tpcc-8,21
19470.7301075889,smallbank-1,21
19231.7593005823,ycsb-600,21
25294.5074826165,voter-2,21
25346.7832496889,voter-16,21
25611.783300038,voter-2,22
25423.2499474586,voter-16,22
19349.3536915754,smallbank-1,22
588.114535712062,tpcc-8,22
19173.3495977377,ycsb-600,22
12160.649200104,smallbank-10,22
685.728104245102,tpcc-2,22
13811.2846830657,ycsb-2400,22
19362.8619492486,smallbank-1,23
647.791191486529,tpcc-8,23
19749.9480340689,ycsb-600,23
26370.4999261626,voter-2,23
26330.7166649113,voter-16,23
15051.1267230878,ycsb-2400,23
12755.8447124724,smallbank-10,23
727.495185982481,tpcc-2,23
25610.6332232076,voter-16,24
25640.116591883,voter-2,24
19302.0406992909,ycsb-600,24
591.32501995401,tpcc-8,24
19295.4180528112,smallbank-1,24
704.222902278071,tpcc-2,24
12387.6801469235,smallbank-10,24
14077.7121567002,ycsb-2400,24
18816.6613284338,ycsb-600,25
564.906457884292,tpcc-8,25
18799.3913919446,smallbank-1,25
25719.8999485602,voter-16,25
25525.2999574578,voter-2,25
13117.7705325166,ycsb-2400,25
660.960339601784,tpcc-2,25
11754.4424552078,smallbank-10,25
777.695028817837,tpcc-2,26
13069.2644379221,smallbank-10,26
15647.0393698409,ycsb-2400,26
29889.5388427333,voter-16,26
29160.2832643207,voter-2,26
22196.9696930392,ycsb-600,26
21091.9202025584,smallbank-1,26
635.994668870088,tpcc-8,26
13864.7954736607,ycsb-2400,27
671.614404770094,tpcc-2,27
12163.8813554862,smallbank-10,27
20096.4393366908,ycsb-600,27
18745.1001207155,smallbank-1,27
535.249316468781,tpcc-8,27
25511.1832793347,voter-16,27
25506.1332763696,voter-2,27
17000.9916053009,smallbank-1,28
547.472537767984,tpcc-8,28
18995.7266670997,ycsb-600,28
25541.5666164349,voter-2,28
25374.5499923876,voter-16,28
12915.3489108056,ycsb-2400,28
11899.3670830946,smallbank-10,28
658.398746891612,tpcc-2,28
25633.2219930261,voter-2,29
25369.9165973222,voter-16,29
17653.1062720142,smallbank-1,29
576.88040731899,tpcc-8,29
19160.0118383437,ycsb-600,29
11964.4701959875,smallbank-10,29
694.413542939932,tpcc-2,29
13741.9095282432,ycsb-2400,29
13558.7133182418,ycsb-2400,30
11789.5563092481,smallbank-10,30
690.089478527763,tpcc-2,30
575.574974967848,tpcc-8,30
19437.0238885595,smallbank-1,30
19168.4596817322,ycsb-600,30
25196.1666171142,voter-2,30
25566.3832570603,voter-16,30
17352.1025991323,smallbank-1,32
557.514010577001,tpcc-8,32
20032.1052706849,ycsb-600,32
26261.0166504724,voter-2,32
26186.5999292962,voter-16,32
14700.1145885707,ycsb-2400,32
12317.9431879877,smallbank-10,32
708.754776064977,tpcc-2,32
25544.8666287751,voter-2,33
25049.8166203245,voter-16,33
18191.938133347,smallbank-1,33
588.949095649032,tpcc-8,33
19504.8481153236,ycsb-600,33
11477.9028489395,smallbank-10,33
701.073529591203,tpcc-2,33
13663.3340398354,ycsb-2400,33
22668.237755003,ycsb-600,34
629.860496752696,tpcc-8,34
20099.7881518888,smallbank-1,34
29843.6166562214,voter-16,34
29994.3332753443,voter-2,34
14673.7780972581,ycsb-2400,34
782.295031344376,tpcc-2,34
12967.4472230212,smallbank-10,34
29158.2832444006,voter-16,35
28969.533248356,voter-2,35
22071.8505762747,ycsb-600,35
627.758712785911,tpcc-8,35
18965.7388190176,smallbank-1,35
713.271663139017,tpcc-2,35
12629.8375767103,smallbank-10,35
14230.8187204908,ycsb-2400,35
13797.8687510109,ycsb-2400,36
698.216427399534,tpcc-2,36
12665.6358581273,smallbank-10,36
21967.734916129,ycsb-600,36
18812.156212696,smallbank-1,36
582.048993103746,tpcc-8,36
30853.0166568965,voter-16,36
28660.5499269156,voter-2,36
880.832909623343,tpcc-2,37
18272.8924892321,smallbank-10,37
18632.418912324,ycsb-2400,37
47659.89985146,voter-16,37
46984.9833270687,voter-2,37
26644.8155281783,ycsb-600,37
25552.8059319211,smallbank-1,37
505.994562177639,tpcc-8,37
29671.2165801256,voter-2,38
30320.3332944222,voter-16,38
22112.9947491059,smallbank-1,38
658.921695216748,tpcc-8,38
24542.1912885984,ycsb-600,38
13463.5159380699,smallbank-10,38
786.942000852603,tpcc-2,38
15390.5115846394,ycsb-2400,38
25871.5131182253,smallbank-1,39
960.391341639879,tpcc-8,39
26297.6675359373,ycsb-600,39
47338.5999439827,voter-2,39
46758.9832631949,voter-16,39
16597.6693163142,ycsb-2400,39
18145.8643769463,smallbank-10,39
892.022707633175,tpcc-2,39
17667.5375214182,smallbank-10,40
874.113004599371,tpcc-2,40
19841.967122976,ycsb-2400,40
47393.6832638226,voter-2,40
48814.1166447003,voter-16,40
982.482643597768,tpcc-8,40
25814.8185381751,smallbank-1,40
26783.544140374,ycsb-600,40
12415.4846451622,ycsb-2400,41
17476.8292559023,smallbank-10,41
842.580071846305,tpcc-2,41
295.546529810866,tpcc-8,41
23888.242688187,smallbank-1,41
18433.8085186446,ycsb-600,41
46232.1332793958,voter-2,41
45564.3831525946,voter-16,41
32734.8499105247,voter-2,42
32193.6833097246,voter-16,42
19997.9177350469,smallbank-1,42
459.563262635624,tpcc-8,42
22889.5451384482,ycsb-600,42
15111.1623844651,smallbank-10,42
767.453673125972,tpcc-2,42
16707.9258110097,ycsb-2400,42
25163.940419695,smallbank-1,43
997.771436837974,tpcc-8,43
26399.5416412734,ycsb-600,43
47482.5332106701,voter-2,43
46637.8832175159,voter-16,43
17605.7149666812,ycsb-2400,43
18037.6863572576,smallbank-10,43
870.391541636544,tpcc-2,43
29249.2833289459,voter-16,44
28816.2999361239,voter-2,44
22246.0993843782,ycsb-600,44
623.342789523838,tpcc-8,44
20116.8280672139,smallbank-1,44
745.095522721004,tpcc-2,44
12643.869550369,smallbank-10,44
14130.1508920338,ycsb-2400,44
24354.7227072859,ycsb-600,45
634.343804543792,tpcc-8,45
21422.0333066869,smallbank-1,45
32053.5499000998,voter-16,45
29750.4665932822,voter-2,45
15113.1701004943,ycsb-2400,45
761.512190003031,tpcc-2,45
13349.0446512617,smallbank-10,45
765.531504555122,tpcc-2,46
12944.764150607,smallbank-10,46
15381.7979108955,ycsb-2400,46
29731.299954412,voter-16,46
28886.7999754462,voter-2,46
22617.9325458525,ycsb-600,46
21329.4486863233,smallbank-1,46
617.559743564625,tpcc-8,46
17542.0328962068,ycsb-2400,47
902.480040063337,tpcc-2,47
18651.4113568278,smallbank-10,47
25153.4688573863,ycsb-600,47
25839.6895436728,smallbank-1,47
497.493964253977,tpcc-8,47
47412.0331326224,voter-16,47
46982.0998731483,voter-2,47
19343.7249002015,smallbank-1,48
601.848898636577,tpcc-8,48
22229.1479148014,ycsb-600,48
28732.6896881283,voter-2,48
29683.933250713,voter-16,48
14879.5754792578,ycsb-2400,48
12450.9225915766,smallbank-10,48
706.139948450904,tpcc-2,48
48650.7498881033,voter-2,49
47549.7332865761,voter-16,49
26045.987968455,smallbank-1,49
517.87729615286,tpcc-8,49
27418.9976188338,ycsb-600,49
19022.6676559865,smallbank-10,49
926.776042803254,tpcc-2,49
20389.1738155433,ycsb-2400,49
13842.8177147128,ycsb-2400,50
12705.0906587735,smallbank-10,50
711.942604577538,tpcc-2,50
606.741856725406,tpcc-8,50
18787.1089222449,smallbank-1,50
22071.8268660647,ycsb-600,50
30110.5665748294,voter-2,50
28869.5999966319,voter-16,50
12851.6025421294,smallbank-10,51
767.379410349101,tpcc-2,51
14395.9862296664,ycsb-2400,51
30039.9832712507,voter-2,51
29894.4999152989,voter-16,51
625.526065356405,tpcc-8,51
20526.2392630211,smallbank-1,51
22241.4695566393,ycsb-600,51
19765.2194006791,smallbank-1,52
623.265273232495,tpcc-8,52
22812.2135362609,ycsb-600,52
29813.9499612419,voter-2,52
30055.9484561261,voter-16,52
14533.4959793083,ycsb-2400,52
12964.0971482082,smallbank-10,52
767.85379083359,tpcc-2,52
29765.5499543595,voter-2,53
30205.4833006107,voter-16,53
21211.053693222,smallbank-1,53
617.48297326872,tpcc-8,53
22537.7853537178,ycsb-600,53
13251.881416572,smallbank-10,53
790.81404322016,tpcc-2,53
15548.5145513695,ycsb-2400,53
21292.800049277,ycsb-600,54
1014.34959789491,tpcc-8,54
24862.7342427606,smallbank-1,54
46267.6499313697,voter-16,54
45891.0499326931,voter-2,54
14067.2375230637,ycsb-2400,54
841.102820235783,tpcc-2,54
17113.1545903641,smallbank-10,54
29884.0665570918,voter-16,55
30424.4274633646,voter-2,55
22178.6391601392,ycsb-600,55
616.465636532039,tpcc-8,55
20860.6651600989,smallbank-1,55
779.762594811377,tpcc-2,55
13063.0339278393,smallbank-10,55
14313.82960602,ycsb-2400,55
675.377910881675,tpcc-2,57
11966.3651109525,smallbank-10,57
13349.9187056172,ycsb-2400,57
26038.5332582556,voter-16,57
25670.5999854533,voter-2,57
20271.6813567083,ycsb-600,57
17019.5211954464,smallbank-1,57
586.845781752521,tpcc-8,57
45752.8833066442,voter-2,58
45914.1498890408,voter-16,58
24980.678447529,smallbank-1,58
972.163909852859,tpcc-8,58
20271.92296173,ycsb-600,58
17175.6099183018,smallbank-10,58
909.213812265671,tpcc-2,58
13954.7770309022,ycsb-2400,58
21609.1158392989,smallbank-1,59
627.466183036648,tpcc-8,59
22011.5668393326,ycsb-600,59
29494.4323983598,voter-2,59
29871.5165899964,voter-16,59
15270.6787007184,ycsb-2400,59
12297.5803770143,smallbank-10,59
751.416053198077,tpcc-2,59
46571.0333333333,voter-2,60
46256.4826055647,voter-16,60
432.227808482225,tpcc-8,60
24590.2946707109,smallbank-1,60
19984.7166013342,ycsb-600,60
17484.0818271994,smallbank-10,60
892.971226831277,tpcc-2,60
14082.3229840157,ycsb-2400,60
614.011728518274,tpcc-8,61
18062.352920614,smallbank-1,61
23940.0902420408,ycsb-600,61
29820.4330763806,voter-2,61
30511.983250951,voter-16,61
14695.744859116,ycsb-2400,61
12815.1583032117,smallbank-10,61
730.678988935269,tpcc-2,61
12579.9925879761,smallbank-10,62
740.022033061218,tpcc-2,62
14149.6691188116,ycsb-2400,62
28667.1999603437,voter-2,62
30006.1499469891,voter-16,62
21008.9619530052,smallbank-1,62
622.848971728252,tpcc-8,62
22773.1013692133,ycsb-600,62
14403.3732532193,ycsb-2400,63
12903.4412773875,smallbank-10,63
760.054500106924,tpcc-2,63
20446.0048382422,smallbank-1,63
641.077126713077,tpcc-8,63
22590.3539520956,ycsb-600,63
29883.8332576276,voter-2,63
29770.8999042369,voter-16,63
737.243138625557,tpcc-2,64
12835.9619064761,smallbank-10,64
14722.6027515652,ycsb-2400,64
