OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config_id
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,35
False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,36
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,51
False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,52
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,53
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,54
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,55
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,57
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,58
False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,59
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,60
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,61
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,62
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,63
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,64
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,65
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,66
False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,69
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,70
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,71
False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,72
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,73
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,74
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,75
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,78
False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,80
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,81
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,82
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,83
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,84
False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,85
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,86
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,87
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,88
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,89
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,90
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,91
False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,92
False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,93
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,94
False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,95
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,96
False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,97
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,98
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,99
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,100
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,101
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,102
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,103
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,104
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,105
False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,106
False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,107
False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,108
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,109
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,111
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,112
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,113
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,114
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,115
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,116
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,117
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,118
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,119
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,120
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,121
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,122
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,123
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,124
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,125
False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,126
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,127
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,128
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,129
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,130
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,131
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,132
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,133
False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,134
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,135
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,136
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,137
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,138
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,139
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,140
False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,141
False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,142
