time,workload,config_id
16.15,beethoven.wav,1
3.64,dual-channel.wav,1
6.55,helix.wav,1
2.29,single-channel.wav,1
7.64,speech.wav,1
0.89,sweep.wav,1
23.92,beethoven.wav,2
7.81,dual-channel.wav,2
14.8,helix.wav,2
4.65,single-channel.wav,2
10.75,speech.wav,2
1.08,sweep.wav,2
16.0,beethoven.wav,3
3.96,dual-channel.wav,3
7.17,helix.wav,3
2.14,single-channel.wav,3
6.14,speech.wav,3
0.63,sweep.wav,3
19.42,beethoven.wav,4
4.01,dual-channel.wav,4
6.32,helix.wav,4
3.8,single-channel.wav,4
10.02,speech.wav,4
1.1,sweep.wav,4
18.89,beethoven.wav,5
2.84,dual-channel.wav,5
4.71,helix.wav,5
3.01,single-channel.wav,5
9.07,speech.wav,5
0.93,sweep.wav,5
13.92,beethoven.wav,6
4.59,dual-channel.wav,6
8.96,helix.wav,6
2.65,single-channel.wav,6
6.28,speech.wav,6
0.62,sweep.wav,6
15.46,beethoven.wav,7
2.84,dual-channel.wav,7
4.42,helix.wav,7
2.77,single-channel.wav,7
6.43,speech.wav,7
0.72,sweep.wav,7
13.4,beethoven.wav,8
3.56,dual-channel.wav,8
6.5,helix.wav,8
2.25,single-channel.wav,8
5.91,speech.wav,8
0.56,sweep.wav,8
20.21,beethoven.wav,9
6.53,dual-channel.wav,9
12.56,helix.wav,9
3.79,single-channel.wav,9
10.45,speech.wav,9
1.02,sweep.wav,9
12.83,beethoven.wav,10
3.16,dual-channel.wav,10
5.64,helix.wav,10
1.64,single-channel.wav,10
5.57,speech.wav,10
0.52,sweep.wav,10
14.1,beethoven.wav,11
5.51,dual-channel.wav,11
9.41,helix.wav,11
2.94,single-channel.wav,11
7.84,speech.wav,11
0.81,sweep.wav,11
12.52,beethoven.wav,12
3.92,dual-channel.wav,12
6.58,helix.wav,12
2.1,single-channel.wav,12
5.26,speech.wav,12
0.64,sweep.wav,12
10.1,beethoven.wav,13
2.14,dual-channel.wav,13
3.19,helix.wav,13
2.16,single-channel.wav,13
4.61,speech.wav,13
0.63,sweep.wav,13
10.43,beethoven.wav,14
3.37,dual-channel.wav,14
5.8,helix.wav,14
1.9,single-channel.wav,14
4.52,speech.wav,14
0.6,sweep.wav,14
3.26,beethoven.wav,15
1.2,dual-channel.wav,15
1.68,helix.wav,15
0.71,single-channel.wav,15
1.53,speech.wav,15
0.31,sweep.wav,15
11.71,beethoven.wav,16
3.9,dual-channel.wav,16
6.65,helix.wav,16
2.41,single-channel.wav,16
5.34,speech.wav,16
0.61,sweep.wav,16
11.08,beethoven.wav,17
3.14,dual-channel.wav,17
5.76,helix.wav,17
1.93,single-channel.wav,17
4.51,speech.wav,17
0.47,sweep.wav,17
13.3,beethoven.wav,18
5.23,dual-channel.wav,18
9.51,helix.wav,18
