NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,config_id,Resampling,CBR,VBRRange
False,True,False,False,False,False,False,True,False,False,False,False,False,1,44,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,48,160,0
False,True,False,False,True,False,False,False,False,False,False,False,False,3,44,8,2
False,False,False,False,False,False,True,False,False,False,False,False,True,4,48,320,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,44,160,0
False,True,False,False,False,False,False,True,False,False,False,False,False,6,48,8,1
False,False,False,False,False,False,True,False,False,False,False,False,True,7,22,160,0
False,False,False,False,False,False,False,False,True,False,False,False,True,8,22,8,1
False,False,False,False,False,False,False,False,True,False,False,True,True,9,48,160,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,44,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,48,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,22,320,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,22,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,22,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,8,160,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,22,160,0
False,False,False,True,True,False,False,False,False,False,False,False,False,17,22,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,18,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,8,160,0
False,False,False,False,False,False,False,True,False,False,False,False,True,20,22,8,1
False,True,False,False,False,False,False,False,True,False,False,False,False,21,8,8,1
False,True,False,False,False,False,False,False,False,False,True,False,False,22,48,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,23,8,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,24,22,8,0
False,True,False,False,False,False,True,False,False,True,False,False,False,25,22,160,0
False,False,False,True,False,False,True,False,False,False,False,False,False,26,22,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,27,48,160,0
False,False,False,True,False,False,False,False,True,False,False,False,False,28,48,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,29,44,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,30,22,8,1
False,False,False,False,False,False,False,False,False,False,True,False,True,31,44,8,1
False,True,False,False,False,False,True,False,False,False,False,False,False,32,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,33,22,320,0
False,False,False,True,False,False,False,False,False,False,True,False,False,34,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,35,8,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,36,44,160,0
False,True,False,False,False,True,False,False,True,False,False,False,False,37,48,320,0
False,False,False,False,False,False,False,False,False,False,True,False,True,38,44,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,39,44,160,0
False,False,False,True,False,False,False,False,True,False,False,False,False,40,8,8,0
False,False,True,True,False,False,False,True,False,False,False,False,False,41,22,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,42,22,8,0
False,False,False,True,False,False,False,True,False,False,False,False,False,43,48,8,2
False,False,False,False,False,False,False,False,False,False,True,False,True,44,8,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,45,8,8,0
True,False,False,False,False,False,False,False,False,False,True,False,True,46,44,8,0
True,False,True,False,True,True,False,False,False,True,False,True,True,47,8,320,0
True,True,True,False,False,True,False,False,True,True,False,True,False,49,44,160,0
True,False,True,True,True,True,False,False,False,True,False,True,False,50,8,160,0
True,True,True,False,True,True,False,False,False,True,False,True,False,52,8,160,0
True,False,True,False,False,True,True,False,False,True,False,True,True,53,48,320,0
True,True,True,False,True,True,False,False,False,True,False,True,False,54,48,320,0
True,True,True,False,False,True,False,False,False,True,True,True,False,55,22,8,0
True,True,True,False,True,True,False,False,False,True,False,False,False,56,8,8,0
True,True,True,False,False,True,False,False,False,True,True,True,False,57,22,160,0
True,False,True,True,False,False,False,False,False,True,True,True,False,60,48,8,0
True,True,True,False,True,True,False,False,False,True,False,True,False,61,8,8,0
True,False,True,False,False,True,False,False,False,True,True,True,True,62,48,160,0
True,False,True,False,False,True,False,False,True,True,False,True,True,63,22,8,0
True,True,True,False,True,True,False,False,False,True,False,True,False,64,48,8,0
True,False,True,True,True,True,False,False,False,True,False,True,False,65,8,8,0
True,False,True,True,False,False,False,False,False,True,True,True,False,66,48,8,0
True,True,True,False,False,True,True,False,False,True,False,True,False,67,22,160,0
True,False,True,True,True,True,False,False,False,True,False,True,False,68,8,8,0
True,False,True,False,False,True,False,False,False,True,True,True,True,69,8,8,0
True,False,True,True,False,True,False,False,False,True,True,True,False,70,22,160,0
True,False,True,False,False,True,False,False,False,True,True,True,True,71,8,320,0
True,True,True,False,False,True,False,False,False,False,True,True,False,72,8,320,0
True,False,True,False,False,True,False,False,False,True,True,True,True,73,44,320,0
True,False,True,False,False,True,False,False,False,True,True,True,True,74,44,320,0
True,False,True,True,False,True,True,False,False,True,False,True,False,75,22,160,0
True,False,True,False,False,True,True,False,False,True,False,True,True,76,44,320,0
True,True,True,False,True,True,False,False,False,True,False,True,False,77,44,160,0
True,True,True,False,False,True,False,False,False,True,True,True,False,78,48,320,0
True,False,True,True,False,True,False,False,False,True,True,True,False,79,22,160,0
True,False,True,False,False,True,False,True,False,True,False,True,True,80,8,8,0
True,False,True,True,True,True,False,False,False,True,False,True,False,81,8,8,0
True,True,True,False,False,True,True,False,False,True,False,True,False,82,22,320,0
True,True,True,False,False,True,False,False,False,True,True,True,False,83,8,8,0
True,True,True,False,False,False,False,False,False,True,True,True,False,84,8,8,0
True,True,True,False,True,True,False,False,False,True,False,True,False,85,8,8,0
True,True,True,False,False,True,True,False,False,True,False,True,False,86,22,8,0
True,True,True,False,False,True,False,False,False,True,True,True,False,87,8,320,0
True,False,False,True,False,True,False,True,False,True,False,True,False,88,8,8,0
True,True,True,False,False,True,True,False,False,True,False,True,False,89,8,8,0
True,True,True,False,False,True,True,False,False,True,False,True,False,90,8,160,0
True,False,True,False,False,True,True,False,False,True,False,True,True,91,8,320,0
True,False,True,False,False,True,False,False,False,True,True,True,True,92,44,320,0
False,True,False,False,False,False,True,False,False,False,False,False,False,94,48,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,95,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,96,44,8,0
False,True,False,False,False,False,False,False,True,False,False,False,False,97,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,98,8,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,99,8,8,0
False,False,False,False,True,False,False,False,False,False,False,True,True,100,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,101,8,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,102,22,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,103,22,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,104,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,105,48,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,106,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,107,48,8,0
False,True,False,False,False,False,True,False,False,False,False,False,False,108,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,109,44,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,110,44,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,111,22,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,112,48,8,0
False,False,False,True,True,False,False,False,False,True,False,False,False,113,48,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,114,22,8,0
False,True,False,False,False,False,False,False,True,False,False,False,False,115,22,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,116,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,117,8,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,118,22,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,119,22,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,120,22,8,0
False,False,False,True,False,False,False,True,False,False,False,False,False,121,8,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,122,8,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,123,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,124,22,8,0
False,False,True,True,False,False,False,False,False,False,True,False,False,125,22,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,126,44,8,0
True,True,False,False,False,False,False,False,False,False,True,False,False,127,48,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,128,48,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,129,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,130,8,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,131,22,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,132,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,133,8,8,0
False,False,False,True,False,False,False,False,False,False,True,True,False,134,48,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,135,22,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,136,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,137,8,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,138,22,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,139,22,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,140,8,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,141,22,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,142,8,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,143,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,144,48,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,145,8,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,146,8,8,0
False,False,False,True,False,False,False,False,True,True,False,False,False,147,48,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,148,22,8,0
False,True,False,False,False,False,False,False,True,False,False,False,False,149,8,8,0
False,False,False,False,False,False,False,True,False,False,False,False,True,150,22,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,151,22,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,152,44,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,153,22,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,154,22,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,155,8,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,156,48,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,157,8,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,158,44,8,0
False,True,True,False,False,False,True,False,False,False,False,False,False,159,44,8,0
False,True,False,False,False,False,True,False,False,False,False,False,False,160,48,8,0
True,False,False,False,False,False,True,False,False,False,False,False,True,161,22,8,0
False,False,False,False,False,False,False,True,False,False,False,False,True,162,48,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,163,48,8,1
False,False,False,False,False,False,False,False,False,False,True,False,True,164,48,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,165,48,8,0
False,False,False,False,False,False,False,True,False,False,False,False,True,166,48,8,1
False,True,False,False,False,False,True,False,False,False,False,True,False,167,48,160,0
False,False,False,True,True,False,False,False,False,False,False,False,False,168,48,160,0
False,True,False,False,True,False,False,False,False,False,False,False,False,169,48,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,170,48,320,0
False,False,False,False,False,False,False,False,False,False,True,False,True,171,48,320,0
