config_id,workload,time,max-resident-set-size
1399,pedestrian_area_1080p25_short.y4m,1.47,140296.0
2129,sd_city_4cif_short.y4m,7.23,158072.0
2370,sintel_trailer_2k_720p24_short.y4m,0.25,121028.0
351,riverbed_1080p25_short.y4m,45.94,271224.0
307,blue_sky_1080p25_short.y4m,29.98,252124.0
2132,riverbed_1080p25_short.y4m,29.58,222068.0
1754,pedestrian_area_1080p25_short.y4m,4.3,180244.0
428,riverbed_1080p25_short.y4m,30.79,248556.0
2265,sd_crew_cif_short.y4m,2.8,26912.0
1589,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,97.07,1096088.0
2570,sd_crew_cif_short.y4m,2.28,9620.0
1558,pedestrian_area_1080p25_short.y4m,3.83,111720.0
1655,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.43,753280.0
204,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,8.1,1098088.0
2347,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,80.43,1094708.0
86,blue_sky_1080p25_short.y4m,2.76,252524.0
2920,pedestrian_area_1080p25_short.y4m,14.09,139900.0
2473,blue_sky_1080p25_short.y4m,1.54,141276.0
1186,pedestrian_area_1080p25_short.y4m,3.87,180192.0
2302,sd_bridge_close_cif_short.y4m,0.12,22164.0
310,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.98,753272.0
1014,Johnny_1280x720_60_short.y4m,12.07,81264.0
266,sd_city_4cif_short.y4m,1.34,80992.0
918,sd_bridge_close_cif_short.y4m,0.66,12436.0
1201,sintel_trailer_2k_720p24_short.y4m,0.41,126828.0
2663,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.64,815448.0
2311,blue_sky_1080p25_short.y4m,27.79,236284.0
240,sintel_trailer_2k_720p24_short.y4m,0.39,126828.0
1329,sd_city_4cif_short.y4m,6.01,159696.0
378,blue_sky_1080p25_short.y4m,13.92,250496.0
513,sd_crew_cif_short.y4m,1.07,15304.0
2310,sd_city_4cif_short.y4m,7.45,165324.0
2291,sd_city_4cif_short.y4m,7.6,165228.0
1052,riverbed_1080p25_short.y4m,27.66,224408.0
256,Johnny_1280x720_60_short.y4m,2.15,194708.0
2653,sd_crew_cif_short.y4m,0.13,12892.0
2381,sd_bridge_close_cif_short.y4m,0.14,27380.0
209,blue_sky_1080p25_short.y4m,2.8,393080.0
678,pedestrian_area_1080p25_short.y4m,3.0,111940.0
1804,Johnny_1280x720_60_short.y4m,12.05,326912.0
624,blue_sky_1080p25_short.y4m,11.55,225940.0
958,sintel_trailer_2k_720p24_short.y4m,1.97,120420.0
1680,sd_city_4cif_short.y4m,14.45,150416.0
2540,sd_crew_cif_short.y4m,0.21,15088.0
1079,riverbed_1080p25_short.y4m,38.88,395748.0
1808,sd_crew_cif_short.y4m,1.18,16756.0
2926,sd_crew_cif_short.y4m,0.13,15632.0
2088,sd_crew_cif_short.y4m,2.76,10624.0
1331,sd_bridge_close_cif_short.y4m,0.83,25132.0
1307,riverbed_1080p25_short.y4m,27.64,222072.0
1812,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,5.38,1006136.0
2098,blue_sky_1080p25_short.y4m,1.59,267316.0
3088,Johnny_1280x720_60_short.y4m,0.82,115148.0
1306,sd_bridge_close_cif_short.y4m,0.13,25756.0
2135,pedestrian_area_1080p25_short.y4m,1.96,396040.0
607,sd_city_4cif_short.y4m,0.51,58396.0
704,sintel_trailer_2k_720p24_short.y4m,1.99,120820.0
2842,pedestrian_area_1080p25_short.y4m,2.26,418912.0
1329,Johnny_1280x720_60_short.y4m,10.52,326008.0
1950,sintel_trailer_2k_720p24_short.y4m,2.61,198232.0
2321,riverbed_1080p25_short.y4m,26.88,157204.0
624,pedestrian_area_1080p25_short.y4m,14.42,223940.0
1578,blue_sky_1080p25_short.y4m,1.13,222320.0
2,Johnny_1280x720_60_short.y4m,2.01,194628.0
1116,sd_bridge_close_cif_short.y4m,1.02,25120.0
2309,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,40.38,809716.0
381,riverbed_1080p25_short.y4m,26.7,230184.0
519,sd_crew_cif_short.y4m,1.05,15304.0
2268,riverbed_1080p25_short.y4m,32.7,399500.0
1330,sd_city_4cif_short.y4m,8.05,34068.0
427,blue_sky_1080p25_short.y4m,14.13,248556.0
633,blue_sky_1080p25_short.y4m,14.07,397616.0
2066,sintel_trailer_2k_720p24_short.y4m,0.46,199516.0
897,sd_city_4cif_short.y4m,0.56,40932.0
1927,sd_crew_cif_short.y4m,0.14,15676.0
2476,sd_city_4cif_short.y4m,6.32,58400.0
988,sd_bridge_close_cif_short.y4m,0.1,12296.0
2068,sd_city_4cif_short.y4m,4.91,58916.0
1382,sd_crew_cif_short.y4m,0.17,22524.0
1821,blue_sky_1080p25_short.y4m,2.62,112468.0
1146,sd_crew_cif_short.y4m,0.13,15668.0
46,riverbed_1080p25_short.y4m,27.65,225768.0
311,sintel_trailer_2k_720p24_short.y4m,0.39,129000.0
2960,Johnny_1280x720_60_short.y4m,24.86,302472.0
173,Johnny_1280x720_60_short.y4m,1.96,194804.0
2293,sd_crew_cif_short.y4m,0.25,23340.0
2570,sintel_trailer_2k_720p24_short.y4m,3.75,52304.0
2686,sintel_trailer_2k_720p24_short.y4m,2.48,200348.0
1997,Johnny_1280x720_60_short.y4m,1.72,303412.0
1983,Johnny_1280x720_60_short.y4m,9.16,121460.0
773,sd_crew_cif_short.y4m,2.11,25128.0
841,pedestrian_area_1080p25_short.y4m,3.88,392848.0
725,blue_sky_1080p25_short.y4m,35.23,181808.0
731,sd_bridge_close_cif_short.y4m,0.12,17092.0
625,sintel_trailer_2k_720p24_short.y4m,3.63,83308.0
360,sd_bridge_close_cif_short.y4m,0.17,23112.0
2429,blue_sky_1080p25_short.y4m,16.45,397616.0
834,sd_city_4cif_short.y4m,14.37,26844.0
1494,sd_crew_cif_short.y4m,0.17,25908.0
3,sd_bridge_close_cif_short.y4m,0.15,22164.0
1562,Johnny_1280x720_60_short.y4m,1.17,218220.0
582,riverbed_1080p25_short.y4m,3.31,224224.0
1064,blue_sky_1080p25_short.y4m,21.05,249300.0
2916,sd_bridge_close_cif_short.y4m,0.12,25708.0
2977,pedestrian_area_1080p25_short.y4m,22.01,245492.0
1615,riverbed_1080p25_short.y4m,7.4,113376.0
2843,sd_city_4cif_short.y4m,0.8,88136.0
59,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,8.06,1099708.0
1432,blue_sky_1080p25_short.y4m,23.73,157080.0
1479,Johnny_1280x720_60_short.y4m,9.26,288780.0
3063,Johnny_1280x720_60_short.y4m,10.15,81256.0
2074,riverbed_1080p25_short.y4m,3.97,399712.0
337,sd_bridge_close_cif_short.y4m,1.82,22496.0
21,sd_bridge_close_cif_short.y4m,0.12,22320.0
167,pedestrian_area_1080p25_short.y4m,3.84,250764.0
105,riverbed_1080p25_short.y4m,6.78,374024.0
2999,pedestrian_area_1080p25_short.y4m,3.48,393120.0
796,sintel_trailer_2k_720p24_short.y4m,2.18,185816.0
2127,riverbed_1080p25_short.y4m,30.53,374060.0
1148,blue_sky_1080p25_short.y4m,14.94,238692.0
2170,sd_crew_cif_short.y4m,0.24,25812.0
1239,pedestrian_area_1080p25_short.y4m,24.49,265476.0
37,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,34.26,805336.0
2745,blue_sky_1080p25_short.y4m,1.21,139224.0
189,sintel_trailer_2k_720p24_short.y4m,0.43,200676.0
1452,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,36.19,805632.0
2443,riverbed_1080p25_short.y4m,31.66,224028.0
777,sd_bridge_close_cif_short.y4m,0.18,13436.0
141,sintel_trailer_2k_720p24_short.y4m,0.29,136500.0
2231,sintel_trailer_2k_720p24_short.y4m,2.77,83652.0
1425,sintel_trailer_2k_720p24_short.y4m,0.28,211956.0
2971,pedestrian_area_1080p25_short.y4m,3.49,251036.0
780,blue_sky_1080p25_short.y4m,2.84,250724.0
3039,Johnny_1280x720_60_short.y4m,2.1,93672.0
1153,sd_crew_cif_short.y4m,0.23,25768.0
3038,Johnny_1280x720_60_short.y4m,12.95,189012.0
3024,sd_crew_cif_short.y4m,1.15,15352.0
1190,sd_bridge_close_cif_short.y4m,1.09,20944.0
2917,sd_bridge_close_cif_short.y4m,1.17,13072.0
351,Johnny_1280x720_60_short.y4m,14.64,214196.0
1362,blue_sky_1080p25_short.y4m,11.78,224564.0
1185,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,74.27,1007312.0
52,sd_city_4cif_short.y4m,4.87,58148.0
75,Johnny_1280x720_60_short.y4m,1.98,193704.0
205,riverbed_1080p25_short.y4m,8.1,393132.0
2187,blue_sky_1080p25_short.y4m,1.26,247508.0
251,sd_crew_cif_short.y4m,0.28,23340.0
2439,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.36,755940.0
1971,riverbed_1080p25_short.y4m,39.17,398176.0
1713,blue_sky_1080p25_short.y4m,1.15,222316.0
1875,sintel_trailer_2k_720p24_short.y4m,0.4,125836.0
1811,riverbed_1080p25_short.y4m,32.68,374096.0
1707,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.22,1005988.0
2709,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,82.95,406044.0
1541,sd_city_4cif_short.y4m,5.55,40768.0
2820,blue_sky_1080p25_short.y4m,1.36,154960.0
1223,sd_city_4cif_short.y4m,14.52,150908.0
1395,pedestrian_area_1080p25_short.y4m,22.97,252276.0
2794,riverbed_1080p25_short.y4m,6.69,251028.0
957,blue_sky_1080p25_short.y4m,12.86,157624.0
974,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.16,579208.0
313,riverbed_1080p25_short.y4m,8.2,252572.0
1286,Johnny_1280x720_60_short.y4m,11.08,131956.0
202,Johnny_1280x720_60_short.y4m,26.01,302428.0
860,Johnny_1280x720_60_short.y4m,15.41,333496.0
2406,sd_bridge_close_cif_short.y4m,0.86,15484.0
2786,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.16,1105592.0
821,sd_city_4cif_short.y4m,5.04,57032.0
50,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.42,805328.0
2796,sd_bridge_close_cif_short.y4m,1.37,25116.0
1195,sd_bridge_close_cif_short.y4m,0.87,26832.0
1126,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,50.17,757548.0
591,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,34.13,809072.0
783,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,84.61,572356.0
2234,pedestrian_area_1080p25_short.y4m,21.14,154312.0
308,sd_bridge_close_cif_short.y4m,0.14,23112.0
690,sintel_trailer_2k_720p24_short.y4m,0.3,119932.0
1414,sd_bridge_close_cif_short.y4m,0.13,25784.0
341,sd_bridge_close_cif_short.y4m,0.18,23104.0
2327,sd_crew_cif_short.y4m,1.01,15408.0
1728,sd_bridge_close_cif_short.y4m,0.12,25688.0
769,riverbed_1080p25_short.y4m,6.65,157372.0
904,pedestrian_area_1080p25_short.y4m,3.86,392852.0
2129,Johnny_1280x720_60_short.y4m,12.13,328236.0
3041,blue_sky_1080p25_short.y4m,1.42,370900.0
610,sd_city_4cif_short.y4m,4.92,59148.0
925,riverbed_1080p25_short.y4m,78.7,182216.0
1056,sd_crew_cif_short.y4m,0.23,25816.0
2661,Johnny_1280x720_60_short.y4m,1.18,214120.0
1697,sd_bridge_close_cif_short.y4m,1.62,22412.0
2526,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,81.22,405988.0
2511,riverbed_1080p25_short.y4m,74.22,180348.0
1790,Johnny_1280x720_60_short.y4m,24.64,194448.0
2956,blue_sky_1080p25_short.y4m,1.23,245044.0
668,sd_city_4cif_short.y4m,4.94,55592.0
2653,sd_bridge_close_cif_short.y4m,0.09,11804.0
992,pedestrian_area_1080p25_short.y4m,29.02,157152.0
2207,sd_bridge_close_cif_short.y4m,0.16,13460.0
1667,sintel_trailer_2k_720p24_short.y4m,0.39,187868.0
1819,riverbed_1080p25_short.y4m,5.75,182084.0
2205,sd_city_4cif_short.y4m,6.06,58676.0
2583,Johnny_1280x720_60_short.y4m,31.3,58772.0
980,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,35.27,573812.0
69,pedestrian_area_1080p25_short.y4m,3.77,250772.0
2713,riverbed_1080p25_short.y4m,63.64,373508.0
