config_id,workload,time,max-resident-set-size
1,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.84,35168
1,QF_UF_PEQ018_size6.smt2,4.32,35100
1,QF_AUFBV_891_sqlite3.smt2,9.85,55812
1,QF_LIA_tightrhombus,8.01,45324
1,QF_BV_bench_935.smt2,1.29,124720
1,QF_BV_bench_3176.smt2,3.29,123508
1,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,34072
1,QF_NRA_hong_9.smt2,3.19,36672
1,LRA_formula_277.smt2,4.13,33964
1,QF_RDL_orb08_888.smt2,7.28,42008
1,QF_UFLIA_xs_23_43.smt2,10.02,42848
1,AUFNIRA_z3.637557.smt2,5.92,1603396
2,QF_UF_PEQ018_size6.smt2,3.89,37980
2,QF_AUFBV_891_sqlite3.smt2,5.81,169328
2,QF_BV_bench_935.smt2,1.93,148944
2,QF_NRA_hong_9.smt2,3.19,36828
2,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.68,34976
2,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,3.99,35772
2,QF_BV_bench_3176.smt2,7.4,133032
2,QF_LIA_tightrhombus,2.45,46240
2,AUFNIRA_z3.637557.smt2,7.07,1643136
2,LRA_formula_277.smt2,4.53,33988
2,QF_UFLIA_xs_23_43.smt2,19.67,42680
2,QF_RDL_orb08_888.smt2,11.7,44692
3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.44,35044
3,QF_UF_PEQ018_size6.smt2,3.9,37984
3,AUFNIRA_z3.637557.smt2,5.87,1604344
3,QF_BV_bench_935.smt2,1.3,124712
3,QF_NRA_hong_9.smt2,3.18,36432
3,QF_LIA_tightrhombus,2.26,45328
3,QF_BV_bench_3176.smt2,3.27,123500
3,LRA_formula_277.smt2,4.13,33968
3,QF_AUFBV_891_sqlite3.smt2,2.42,45412
3,QF_RDL_orb08_888.smt2,11.53,44428
3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34820
3,QF_UFLIA_xs_23_43.smt2,18.9,42940
4,QF_NRA_hong_9.smt2,3.19,36696
4,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.7,34840
4,LRA_formula_277.smt2,4.13,33968
4,AUFNIRA_z3.637557.smt2,5.91,1604456
4,QF_BV_bench_935.smt2,5.83,124880
4,QF_AUFBV_891_sqlite3.smt2,4.05,47764
4,QF_UFLIA_xs_23_43.smt2,18.79,42940
4,QF_RDL_orb08_888.smt2,11.51,44420
4,QF_LIA_tightrhombus,2.27,45384
4,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.45,35044
4,QF_BV_bench_3176.smt2,3.13,123684
4,QF_UF_PEQ018_size6.smt2,3.87,37980
5,QF_BV_bench_3176.smt2,3.33,139180
5,QF_NRA_hong_9.smt2,3.18,36436
5,QF_UF_PEQ018_size6.smt2,3.89,37980
5,QF_RDL_orb08_888.smt2,11.5,44424
5,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.46,35044
5,QF_AUFBV_891_sqlite3.smt2,2.41,45852
5,AUFNIRA_z3.637557.smt2,5.87,1607264
5,QF_UFLIA_xs_23_43.smt2,18.74,42940
5,QF_LIA_tightrhombus,2.26,45324
5,QF_BV_bench_935.smt2,1.32,124776
5,LRA_formula_277.smt2,4.13,33964
5,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.68,34816
6,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,18.89,38940
6,QF_NRA_hong_9.smt2,5.67,40448
6,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,6.13,296916
6,QF_UF_PEQ018_size6.smt2,24.5,1091900
6,AUFNIRA_z3.637557.smt2,8.9,2643248
6,QF_BV_bench_3176.smt2,5.57,308756
6,LRA_formula_277.smt2,2.65,34320
6,QF_UFLIA_xs_23_43.smt2,26.41,551292
6,QF_RDL_orb08_888.smt2,12.16,106692
6,QF_AUFBV_891_sqlite3.smt2,3.03,49476
6,QF_BV_bench_935.smt2,2.42,492724
6,QF_LIA_tightrhombus,1.11,34980
7,AUFNIRA_z3.637557.smt2,5.85,1608020
7,QF_NRA_hong_9.smt2,3.19,36440
7,QF_LIA_tightrhombus,2.26,45332
7,QF_RDL_orb08_888.smt2,11.57,44432
7,QF_UFLIA_xs_23_43.smt2,18.57,43076
7,LRA_formula_277.smt2,4.13,33976
7,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.73,34812
7,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.42,35036
7,QF_BV_bench_935.smt2,1.29,124724
7,QF_BV_bench_3176.smt2,3.27,123588
7,QF_AUFBV_891_sqlite3.smt2,2.4,45412
7,QF_UF_PEQ018_size6.smt2,3.88,37984
8,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.68,34816
8,QF_LIA_tightrhombus,2.26,45328
8,QF_UF_PEQ018_size6.smt2,3.88,37980
8,QF_NRA_hong_9.smt2,3.19,36436
8,QF_BV_bench_3176.smt2,3.28,123568
8,QF_AUFBV_891_sqlite3.smt2,2.4,45412
8,AUFNIRA_z3.637557.smt2,5.87,1604596
8,LRA_formula_277.smt2,4.13,33968
8,QF_BV_bench_935.smt2,1.3,124652
8,QF_RDL_orb08_888.smt2,11.57,44424
8,QF_UFLIA_xs_23_43.smt2,18.74,42944
8,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.45,35044
9,QF_RDL_orb08_888.smt2,12.78,44440
9,QF_UFLIA_xs_23_43.smt2,33.18,42944
9,AUFNIRA_z3.637557.smt2,9.64,1604956
9,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.83,34808
9,QF_BV_bench_935.smt2,1.81,124772
9,QF_AUFBV_891_sqlite3.smt2,11.15,46232
9,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,11.59,35076
9,QF_NRA_hong_9.smt2,3.2,36648
9,LRA_formula_277.smt2,4.14,33988
9,QF_UF_PEQ018_size6.smt2,9.87,38260
9,QF_BV_bench_3176.smt2,4.16,123576
9,QF_LIA_tightrhombus,2.37,45068
10,QF_RDL_orb08_888.smt2,11.55,44424
10,QF_UFLIA_xs_23_43.smt2,18.73,42936
10,QF_BV_bench_3176.smt2,3.28,123500
10,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.47,35044
10,LRA_formula_277.smt2,4.13,33964
10,AUFNIRA_z3.637557.smt2,5.92,1606116
10,QF_UF_PEQ018_size6.smt2,3.92,37984
10,QF_NRA_hong_9.smt2,3.19,36696
10,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.7,34816
10,QF_AUFBV_891_sqlite3.smt2,2.41,45412
10,QF_LIA_tightrhombus,2.26,45060
10,QF_BV_bench_935.smt2,1.29,124780
11,QF_AUFBV_891_sqlite3.smt2,2.05,46280
11,LRA_formula_277.smt2,4.13,33984
11,QF_NRA_hong_9.smt2,3.19,36708
11,QF_UF_PEQ018_size6.smt2,12.27,39844
11,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.46,35028
11,QF_UFLIA_xs_23_43.smt2,18.83,42940
11,QF_BV_bench_3176.smt2,387.97,2989544
11,QF_BV_bench_935.smt2,319.19,2615096
11,AUFNIRA_z3.637557.smt2,5.9,1607224
11,QF_LIA_tightrhombus,0.22,33100
11,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34808
11,QF_RDL_orb08_888.smt2,11.52,44752
12,QF_LIA_tightrhombus,2.26,45064
12,AUFNIRA_z3.637557.smt2,5.9,1605432
12,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34816
