method_a,method_b,n,median_a,median_b,statistic,p,rank_biserial,p_holm,significant
\textsc{BS-$\mu$},\textsc{BS-kl},16,65.88095238095238,57.125,61.0,0.743560791015625,0.10294117647058823,1.0,False
\textsc{BS-$\mu$},\textsc{DFS-$\mu$},16,65.88095238095238,58.19642857142857,0.0,0.0005698993575828172,0.9779411764705882,0.005698993575828172,True
\textsc{BS-$\mu$},\textsc{RSD},16,65.88095238095238,65.41666666666666,54.0,0.49542236328125,0.20588235294117646,1.0,False
\textsc{BS-$\mu$},\textsc{Syflow},16,65.88095238095238,85.42857142857143,43.0,0.21142578125,-0.36764705882352944,1.0,False
\textsc{BS-kl},\textsc{DFS-$\mu$},16,57.125,58.19642857142857,61.0,0.743560791015625,0.10294117647058823,1.0,False
\textsc{BS-kl},\textsc{RSD},16,57.125,65.41666666666666,49.0,0.348388671875,0.27941176470588236,1.0,False
\textsc{BS-kl},\textsc{Syflow},16,57.125,85.42857142857143,37.0,0.11458658217829601,-0.4485294117647059,0.9166926574263681,False
\textsc{DFS-$\mu$},\textsc{RSD},16,58.19642857142857,65.41666666666666,60.0,0.705718994140625,0.11764705882352941,1.0,False
\textsc{DFS-$\mu$},\textsc{Syflow},16,58.19642857142857,85.42857142857143,37.0,0.116668701171875,-0.45588235294117646,0.9166926574263681,False
\textsc{RSD},\textsc{Syflow},16,65.41666666666666,85.42857142857143,25.0,0.02496337890625,-0.6323529411764706,0.22467041015625,False
