method_a,method_b,n,median_a,median_b,statistic,p,rank_biserial,p_holm,significant
\textsc{BS-$\mu$},\textsc{BS-kl},11,25.666666666666668,33.333333333333336,0.0,0.0009765625,-1.0,0.009765625,True
\textsc{BS-$\mu$},\textsc{DFS-$\mu$},11,25.666666666666668,25.333333333333332,0.0,0.0840354135184434,0.45454545454545453,0.420177067592217,False
\textsc{BS-$\mu$},\textsc{RSD},11,25.666666666666668,31.333333333333332,28.0,0.7001953125,-0.15151515151515152,1.0,False
\textsc{BS-$\mu$},\textsc{Syflow},11,25.666666666666668,52.0,4.0,0.0068359375,-0.8787878787878788,0.0546875,False
\textsc{BS-kl},\textsc{DFS-$\mu$},11,33.333333333333336,25.333333333333332,0.0,0.0009765625,1.0,0.009765625,True
\textsc{BS-kl},\textsc{RSD},11,33.333333333333336,31.333333333333332,30.0,0.8310546875,0.09090909090909091,1.0,False
\textsc{BS-kl},\textsc{Syflow},11,33.333333333333336,52.0,10.0,0.0419921875,-0.696969696969697,0.251953125,False
\textsc{DFS-$\mu$},\textsc{RSD},11,25.333333333333332,31.333333333333332,26.5,0.5771484375,-0.19696969696969696,1.0,False
\textsc{DFS-$\mu$},\textsc{Syflow},11,25.333333333333332,52.0,4.0,0.0068359375,-0.8787878787878788,0.0546875,False
\textsc{RSD},\textsc{Syflow},11,31.333333333333332,52.0,20.5,0.2783203125,-0.3787878787878788,1.0,False
