method_a,method_b,n,median_a,median_b,statistic,p,rank_biserial,p_holm,significant
\textsc{BS-$\mu$},\textsc{BS-kl},56,38.5,30.5,720.0,0.5513921725737484,-0.09147869674185463,1.0,False
\textsc{BS-$\mu$},\textsc{DFS-$\mu$},56,38.5,37.42857142857143,706.0,0.8424998684131741,-0.03007518796992481,1.0,False
\textsc{BS-$\mu$},\textsc{RSD},56,38.5,24.5,534.0,0.03848951251948242,0.3176691729323308,0.19928435297925057,False
\textsc{BS-$\mu$},\textsc{Syflow},56,38.5,63.0,446.0,0.004085484417768294,-0.44110275689223055,0.03676935975991465,True
\textsc{BS-kl},\textsc{DFS-$\mu$},56,30.5,37.42857142857143,718.5,0.5325192758722802,0.09586466165413533,1.0,False
\textsc{BS-kl},\textsc{RSD},56,30.5,24.5,717.5,0.5272061521289026,0.09711779448621553,1.0,False
\textsc{BS-kl},\textsc{Syflow},56,30.5,63.0,462.0,0.006357725889230128,-0.4191729323308271,0.04450408122461089,True
\textsc{DFS-$\mu$},\textsc{RSD},56,37.42857142857143,24.5,536.5,0.0332140588298751,0.32706766917293234,0.19928435297925057,False
\textsc{DFS-$\mu$},\textsc{Syflow},56,37.42857142857143,63.0,449.0,0.004585451888943064,-0.43546365914786966,0.03676935975991465,True
\textsc{RSD},\textsc{Syflow},56,24.5,63.0,218.0,2.2290727496278175e-06,-0.7268170426065163,2.2290727496278176e-05,True
