sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,8580,filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,0
uniform,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,PPMd==0,0,0.2162162162162162,0.125,0.8,0
bi_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,0
tri_modal_split,8580,filterOff = 1 AND mtOff = 1 AND tmOff = 1,BZip2==0,0,0.2162162162162162,0.125,0.8,0
power_law,8580,filterOff = 1 AND mtOff = 1 AND tmOff = 1,PPMd==0,0,0.2162162162162162,0.125,0.8,0
normal,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND mtOff==1,0,1.0,1.0,1.0,10
uniform,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,LZMA2==0,0,0.2162162162162162,0.125,0.8,10
bi_modal_split,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,LZMA==0,0,0.2162162162162162,0.125,0.8,10
tri_modal_split,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,PPMd==0,0,0.2162162162162162,0.125,0.8,10
power_law,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND mtOff==1,0,1.0,1.0,1.0,10
normal,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,11
uniform,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA2==0,0,0.2162162162162162,0.125,0.8,11
bi_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA2==0,0,0.2162162162162162,0.125,0.8,11
tri_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA2==0,0,0.2162162162162162,0.125,0.8,11
power_law,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,11
normal,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,12
uniform,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,12
bi_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,12
tri_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,12
power_law,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,12
normal,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,13
uniform,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,PPMd==0,0,0.2162162162162162,0.125,0.8,13
bi_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==0,0,0.0,0.0,0.0,13
tri_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA==0,1,0.2162162162162162,0.125,0.8,13
power_law,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA==0,0,0.2162162162162162,0.125,0.8,13
normal,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,14
uniform,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,14
bi_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA2==0,3,0.2162162162162162,0.125,0.8,14
tri_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,Deflate==0,0,0.2162162162162162,0.125,0.8,14
power_law,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,LZMA2==0,0,0.2162162162162162,0.125,0.8,14
normal,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,15
uniform,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,15
bi_modal_split,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,BZip2==0,0,0.2162162162162162,0.125,0.8,15
