sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,7500,memory_based = 1 AND none = 1 AND polly_opt_simplify_deps = 1,pollyoptmaxconstantterm_10==0,0,0.2162162162162162,0.125,0.8,0
uniform,7500,min = 1 AND polly = 1 AND polly_opt_simplify_deps = 1,pollyoptmaxconstantterm_1000==0,0,0.2162162162162162,0.125,0.8,0
bi_modal_split,10000,min = 1 AND polly_parallel = 1 AND value_based = 1,value_based==1 AND min==1 AND polly_parallel==1,0,1.0,1.0,1.0,0
tri_modal_split,7500,max = 1 AND memory_based = 1 AND polly_no_tiling = 1,pollyoptmaxconstantterm_100==0,0,0.2162162162162162,0.125,0.8,0
power_law,10000,max = 1 AND polly = 1 AND polly_parallel = 1,pollyoptmaxcoefficient_1000==0,0,0.2758620689655172,0.1666666666666666,0.8,0
normal,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly_no_tiling==0,0,0.0,0.0,0.0,10
uniform,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_100==0,0,0.2162162162162162,0.125,0.8,10
bi_modal_split,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxconstantterm_100==0,0,0.2162162162162162,0.125,0.8,10
tri_modal_split,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_1==0,0,0.2162162162162162,0.125,0.8,10
power_law,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_1000==0,0,0.2162162162162162,0.125,0.8,10
normal,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxcoefficient_100==0,0,0.2162162162162162,0.125,0.8,11
uniform,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxconstantterm_100==0,0,0.2162162162162162,0.125,0.8,11
bi_modal_split,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxcoefficient_1000==0,0,0.2162162162162162,0.125,0.8,11
