sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,706,scaleIsHeightDp = 1 AND antiAliasing = 1 AND threads = 10,win==0,3,0.1903614457831325,0.106504887091338,0.8951841359773371,0
uniform,885,android = 1 AND skipUpscaling = 1 AND androidIncludeLdpiTvdpi = 1,win==0,3,0.2595688517377915,0.1491405460060667,1.0,0
bi_modal_split,911,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND skipUpscaling = 1,skipUpscaling==1 AND androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,0
tri_modal_split,902,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND androidIncludeLdpiTvdpi = 1,win==0,3,0.2638970157987127,0.1520053926525109,1.0,0
power_law,682,scaleIsHeightDp = 1 AND skipUpscaling = 1 AND threads = 10,win==0,3,0.185006045949214,0.1031344792719919,0.8973607038123167,0
normal,699,android = 1 AND ceil = 1 AND threads = 90,iosCreateImagesetFolders==0,3,0.2108279294224098,0.1178354686446392,1.0,10
uniform,699,android = 1 AND ceil = 1 AND threads = 90,iosCreateImagesetFolders==0,3,0.2108279294224098,0.1178354686446392,1.0,10
bi_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,iosCreateImagesetFolders==0,3,0.2108279294224098,0.1178354686446392,1.0,10
tri_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,win==0,3,0.2107643600180913,0.1177957532861476,1.0,10
power_law,699,android = 1 AND ceil = 1 AND threads = 90,iosCreateImagesetFolders==0,3,0.2108279294224098,0.1178354686446392,1.0,10
normal,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,win==0,3,0.2631347870627835,0.151499831479609,1.0,11
uniform,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,win==0,3,0.2631347870627835,0.151499831479609,1.0,11
bi_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,iosCreateImagesetFolders==0,3,0.2632118284292197,0.1515509103169251,1.0,11
tri_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,win==0,3,0.2631347870627835,0.151499831479609,1.0,11
power_law,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,win==0,3,0.2631347870627835,0.151499831479609,1.0,11
normal,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,antiAliasing==1 AND androidIncludeLdpiTvdpi==1,0,1.0,1.0,1.0,12
uniform,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,antiAliasing==1 AND androidIncludeLdpiTvdpi==1,0,1.0,1.0,1.0,12
bi_modal_split,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,antiAliasing==1 AND androidIncludeLdpiTvdpi==1,0,1.0,1.0,1.0,12
tri_modal_split,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,antiAliasing==1 AND androidIncludeLdpiTvdpi==1,0,1.0,1.0,1.0,12
power_law,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,iosCreateImagesetFolders==0,3,0.274076229269712,0.1587997302764666,1.0,12
