sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,384,OPTIMIZE_INSERT_FROM_SELECT = 1 AND PAGE_STORE_INTERNAL_COUNT = 1 AND OPTIMIZE_DISTINCT = 1,PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_DISTINCT==1 AND OPTIMIZE_INSERT_FROM_SELECT==1,0,1.0,1.0,1.0,0
uniform,220,DEFRAG_ALWAYS = 1 AND OPTIMIZE_DISTINCT = 1 AND MVSTORE = 1,DEFRAG_ALWAYS==1,3,0.3384615384615384,0.2037037037037037,1.0,0
bi_modal_split,372,OPTIMIZE_IN_SELECT = 1 AND RECOMPILE_ALWAYS = 1 AND IGNORE_CATALOGS = 1,MVSTORE==0,3,0.3568677792041078,0.2344013490725126,0.7473118279569892,0
tri_modal_split,373,OPTIMIZE_IN_LIST = 1 AND COMPRESS = 1 AND REUSE_SPACE = 1,MVSTORE==0,3,0.359204618345093,0.236087689713322,0.7506702412868632,0
power_law,389,OPTIMIZE_IN_LIST = 1 AND IGNORE_CATALOGS = 1 AND DROP_RESTRICT = 1,DROP_RESTRICT==1 AND OPTIMIZE_IN_LIST==1 AND IGNORE_CATALOGS==1,1,1.0,1.0,1.0,0
normal,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_TWO_EQUALS==1 AND PAGE_STORE_TRIM==1,0,1.0,1.0,1.0,10
uniform,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,MVSTORE==0,3,0.3177304964539006,0.1888701517706576,1.0,10
bi_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_TWO_EQUALS==1 AND PAGE_STORE_TRIM==1,0,1.0,1.0,1.0,10
tri_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,MVSTORE==0,3,0.3177304964539006,0.1888701517706576,1.0,10
power_law,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_TWO_EQUALS==1 AND PAGE_STORE_TRIM==1,1,1.0,1.0,1.0,10
