sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,447,Downmix = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND Downmix==1,0,1.0,1.0,1.0,0
uniform,557,ReplayGainFast = 1 AND CRC = 1 AND SwapBytes = 1,SwapBytes==1 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,0
bi_modal_split,596,ReplayGainFast = 1 AND CRC = 1 AND VBRRange = 0,VBRRange==0 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,0
tri_modal_split,581,Downmix = 1 AND ReplayGainFast = 1 AND VBRRange = 0,ReplayGainFast==0,0,0.0,0.0,0.0,0
power_law,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,CBR==8 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,0
normal,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
uniform,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
bi_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain==0,0,0.0,0.0,0.0,10
tri_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain==0,0,0.0,0.0,0.0,10
power_law,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,4,1.0,1.0,1.0,10
normal,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
uniform,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
bi_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==0,0,0.0,0.0,0.0,11
tri_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,2,1.0,1.0,1.0,11
power_law,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,2,1.0,1.0,1.0,11
normal,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
uniform,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
bi_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,DualChannels==0,3,0.2289064491460616,0.1292458261370178,1.0,12
tri_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,DualChannels==0,3,0.2289064491460616,0.1292458261370178,1.0,12
power_law,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
normal,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
uniform,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,workload==0,0,0.1819757365684575,0.100095328884652,1.0,13
bi_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
tri_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
power_law,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,workload==0,4,0.1819757365684575,0.100095328884652,1.0,13
normal,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain==0,0,0.0,0.0,0.0,14
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,workload==0,2,0.21977089520577,0.1234509056244042,1.0,14
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,4,1.0,1.0,1.0,14
normal,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
uniform,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
bi_modal_split,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
tri_modal_split,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
power_law,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
normal,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
uniform,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
bi_modal_split,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==8,0,0.0,0.0,0.0,16
tri_modal_split,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==8,0,0.0,0.0,0.0,16
power_law,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
normal,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
uniform,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,workload==0,0,0.2205258693808312,0.1239275500476644,1.0,17
bi_modal_split,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
tri_modal_split,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
power_law,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,workload==0,2,0.2205258693808312,0.1239275500476644,1.0,17
