sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,425,TEXT = 1 AND LZ = 1 AND SRT = 1,TEXT==0,0,0.0,0.0,0.0,0
uniform,448,TEXT = 1 AND skip = 1 AND BWTS = 1,TEXT==0,0,0.0,0.0,0.0,0
bi_modal_split,470,LZP = 1 AND skip = 1 AND SRT = 1,CM==0,3,0.2138961346929096,0.1203629570322925,0.9595744680851064,0
tri_modal_split,551,skip = 1 AND LZ = 1 AND SRT = 1,SRT==0,0,0.0,0.0,0.0,0
power_law,453,LZP = 1 AND checksum = 1 AND ROLZ = 1,LZP==1 AND checksum==1 AND ROLZ==1,0,1.0,1.0,1.0,0
normal,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,FPAQ==0,3,0.1940405244338498,0.1081871345029239,0.9399538106235564,10
uniform,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,CM==0,3,0.1995215311004784,0.1112890312249799,0.9630484988452656,10
bi_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP==1 AND ROLZ==1 AND BWTS==1,0,1.0,1.0,1.0,10
tri_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP==1 AND ROLZ==1 AND BWTS==1,0,1.0,1.0,1.0,10
power_law,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,TPAQ==0,3,0.1924086894246837,0.1072949946751863,0.930715935334873,10
normal,671,BWTS = 1 AND LZ = 1 AND checksum = 1,CM==0,3,0.2833861475780896,0.1670669869228716,0.932935916542474,11
uniform,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ==0,0,0.0,0.0,0.0,11
bi_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==0,0,0.0,0.0,0.0,11
tri_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==1 AND BWTS==1 AND LZ==1,0,1.0,1.0,1.0,11
power_law,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ==0,0,0.0,0.0,0.0,11
normal,495,skip = 1 AND LZ = 1 AND MTFT = 1,MTFT==0,0,0.0,0.0,0.0,12
uniform,495,skip = 1 AND LZ = 1 AND MTFT = 1,workload==0,0,0.2148903841979596,0.1203793774319066,1.0,12
bi_modal_split,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip==0,0,0.0,0.0,0.0,12
tri_modal_split,495,skip = 1 AND LZ = 1 AND MTFT = 1,workload==0,0,0.2148903841979596,0.1203793774319066,1.0,12
power_law,495,skip = 1 AND LZ = 1 AND MTFT = 1,ANS0==0,3,0.2169411764705882,0.1227696404793608,0.9313131313131312,12
normal,608,LZ = 1 AND X86 = 1 AND checksum = 1,CM==0,1,0.261308840413318,0.151854817187083,0.9358552631578948,13
uniform,608,LZ = 1 AND X86 = 1 AND checksum = 1,checksum==0,0,0.0,0.0,0.0,13
bi_modal_split,608,LZ = 1 AND X86 = 1 AND checksum = 1,CM==0,1,0.261308840413318,0.151854817187083,0.9358552631578948,13
tri_modal_split,608,LZ = 1 AND X86 = 1 AND checksum = 1,checksum==0,0,0.0,0.0,0.0,13
power_law,608,LZ = 1 AND X86 = 1 AND checksum = 1,workload==0,2,0.2576271186440678,0.1478599221789883,1.0,13
normal,487,LZ = 1 AND SRT = 1 AND RLT = 1,FPAQ==0,1,0.2188750294186867,0.1236044657097288,0.9548254620123204,14
uniform,487,LZ = 1 AND SRT = 1 AND RLT = 1,RLT==0,0,0.0,0.0,0.0,14
bi_modal_split,487,LZ = 1 AND SRT = 1 AND RLT = 1,RLT==0,0,0.0,0.0,0.0,14
tri_modal_split,487,LZ = 1 AND SRT = 1 AND RLT = 1,RLT==0,0,0.0,0.0,0.0,14
power_law,487,LZ = 1 AND SRT = 1 AND RLT = 1,SRT==0,0,0.0,0.0,0.0,14
normal,449,skip = 1 AND MTFT = 1 AND SRT = 1,workload==0,0,0.1968866476649857,0.109192607003891,1.0,15
uniform,449,skip = 1 AND MTFT = 1 AND SRT = 1,SRT==0,0,0.0,0.0,0.0,15
bi_modal_split,449,skip = 1 AND MTFT = 1 AND SRT = 1,workload==0,0,0.1968866476649857,0.109192607003891,1.0,15
tri_modal_split,449,skip = 1 AND MTFT = 1 AND SRT = 1,workload==0,0,0.1968866476649857,0.109192607003891,1.0,15
power_law,449,skip = 1 AND MTFT = 1 AND SRT = 1,skip==0,0,0.0,0.0,0.0,15
normal,443,ROLZX = 1 AND BWTS = 1 AND checksum = 1,FPAQ==0,1,0.197859690844233,0.1105794790005316,0.9390519187358916,16
uniform,443,ROLZX = 1 AND BWTS = 1 AND checksum = 1,ROLZX==0,0,0.0,0.0,0.0,16
bi_modal_split,443,ROLZX = 1 AND BWTS = 1 AND checksum = 1,FPAQ==0,3,0.197859690844233,0.1105794790005316,0.9390519187358916,16
tri_modal_split,443,ROLZX = 1 AND BWTS = 1 AND checksum = 1,ROLZX==0,0,0.0,0.0,0.0,16
power_law,443,ROLZX = 1 AND BWTS = 1 AND checksum = 1,ROLZX==0,0,0.0,0.0,0.0,16
normal,475,BWTS = 1 AND LZ = 1 AND MTFT = 1,workload==0,0,0.2071070416394157,0.1155155642023346,1.0,17
uniform,475,BWTS = 1 AND LZ = 1 AND MTFT = 1,MTFT==0,0,0.0,0.0,0.0,17
bi_modal_split,475,BWTS = 1 AND LZ = 1 AND MTFT = 1,ANS0==0,1,0.2094562647754136,0.1179760319573901,0.9326315789473684,17
tri_modal_split,475,BWTS = 1 AND LZ = 1 AND MTFT = 1,workload==0,4,0.2071070416394157,0.1155155642023346,1.0,17
