sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND disableLzoCompressibilityTesting==1 AND integrityCheck==1 AND multithreading==0,0,0.0,0.0,0.0,0
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption==1 AND zpaq==1 AND nice==0 AND multithreading==0,0,0.0,0.0,0.0,0
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption==0 AND noBackend==1 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,0
tri_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND bzip2==1 AND nice==0 AND multithreading==1,0,0.0,0.0,0.0,0
power_law,24,encryption = 1 AND nice = 1 AND unlimitedWindowSize = 1,lzo==0 AND noBackend==0 AND multithreading==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,0
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,gzip==0 AND lzo==0 AND zpaq==0 AND multithreading==0,0,0.0,0.0,0.0,10
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,integrityCheck==1 AND gzip==1 AND nice==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,10
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,disableLzoCompressibilityTesting==0 AND lzo==1 AND nice==1,0,0.2,0.25,0.1666666666666666,10
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,integrityCheck==1 AND bzip2==1 AND nice==0 AND multithreading==0,0,0.0,0.0,0.0,10
power_law,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption==1 AND integrityCheck==0 AND gzip==1 AND multithreading==0,0,0.0,0.0,0.0,10
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,11
uniform,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND lzo==0 AND noBackend==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,11
bi_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,lzo==1 AND nice==1 AND multithreading==0,0,0.0,0.0,0.0,11
tri_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,workload==0,2,0.2232558139534883,0.1256544502617801,1.0,11
power_law,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND bzip2==0 AND nice==0 AND multithreading==0,0,0.0,0.0,0.0,11
