sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,267,crc32 = 1 AND Nice = 1 AND BlockSize = 1,workload==0,0,0.2356575463371579,0.1335667833916958,1.0,0
uniform,234,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1,Lc2Lp0==0,3,0.2103303862261517,0.1180156657963446,0.9658119658119658,0
bi_modal_split,225,crc32 = 1 AND Depth = 1 AND Dict = 1,Lc2Lp0==0,1,0.2037383177570093,0.1138381201044386,0.9688888888888888,0
tri_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,workload==0,0,0.1860254083484573,0.1025512756378189,1.0,0
power_law,258,Nice = 1 AND BlockSize = 1 AND PositionBits = 1,Lc1Lp2==0,1,0.2325367647058823,0.1319082377476538,0.9806201550387597,0
normal,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,Lc1Lp2==0,1,0.2166666666666666,0.1220020855057351,0.9669421487603306,10
uniform,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,Lc3Lp1==0,3,0.2193308550185873,0.1235602094240837,0.975206611570248,10
bi_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit==1 AND Depth==1 AND PositionBits==1,0,1.0,1.0,1.0,10
tri_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,Lc1Lp2==0,1,0.2166666666666666,0.1220020855057351,0.9669421487603306,10
power_law,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,Lc2Lp1==0,1,0.2168450442066077,0.1221814368117462,0.962809917355372,10
normal,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,workload==0,0,0.2191536748329621,0.1230615307653826,1.0,11
uniform,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Lc4Lp0==0,3,0.2216890595009597,0.1256800870511425,0.9390243902439024,11
bi_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Lc3Lp1==0,1,0.2198515769944341,0.1240837696335078,0.9634146341463414,11
tri_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Lc3Lp1==0,1,0.2198515769944341,0.1240837696335078,0.9634146341463414,11
power_law,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Lc2Lp1==0,1,0.220157919182536,0.124278972207656,0.9634146341463414,11
normal,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
uniform,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
bi_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
tri_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
power_law,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,1,1.0,1.0,1.0,12
normal,205,none = 1 AND Dict = 1 AND BlockSize = 1,Dict==1 AND BlockSize==1 AND none==1,0,1.0,1.0,1.0,13
uniform,205,none = 1 AND Dict = 1 AND BlockSize = 1,workload==0,0,0.1860254083484573,0.1025512756378189,1.0,13
bi_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,Dict==1 AND BlockSize==1 AND none==1,0,1.0,1.0,1.0,13
tri_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,workload==0,0,0.1860254083484573,0.1025512756378189,1.0,13
power_law,205,none = 1 AND Dict = 1 AND BlockSize = 1,workload==0,0,0.1860254083484573,0.1025512756378189,1.0,13
normal,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,Depth==1 AND Dict==1 AND Multithreading==1,0,1.0,1.0,1.0,14
uniform,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,Lc2Lp1==0,1,0.3296990841692107,0.1982170949134766,0.9792746113989638,14
bi_modal_split,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,workload==0,0,0.3236897274633123,0.193096548274137,1.0,14
tri_modal_split,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,workload==0,0,0.3236897274633123,0.193096548274137,1.0,14
power_law,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,workload==0,0,0.3236897274633123,0.193096548274137,1.0,14
normal,256,crc32 = 1 AND Nice = 1 AND Depth = 1,crc32==1 AND Nice==1 AND Depth==1,0,1.0,1.0,1.0,15
uniform,256,crc32 = 1 AND Nice = 1 AND Depth = 1,Lc3Lp1==0,3,0.2289935364727608,0.1298429319371727,0.96875,15
bi_modal_split,256,crc32 = 1 AND Nice = 1 AND Depth = 1,Lc3Lp1==0,1,0.2289935364727608,0.1298429319371727,0.96875,15
tri_modal_split,256,crc32 = 1 AND Nice = 1 AND Depth = 1,Lc2Lp0==0,3,0.2284661446338093,0.1295039164490861,0.96875,15
power_law,256,crc32 = 1 AND Nice = 1 AND Depth = 1,Lc1Lp3==0,1,0.2289436947417403,0.1299524564183835,0.9609375,15
normal,214,hc3 = 1 AND Depth = 1 AND Dict = 1,Depth==1 AND Dict==1 AND hc3==1,0,1.0,1.0,1.0,16
uniform,214,hc3 = 1 AND Depth = 1 AND Dict = 1,workload==0,0,0.193402620876638,0.1070535267633816,1.0,16
bi_modal_split,214,hc3 = 1 AND Depth = 1 AND Dict = 1,workload==0,0,0.193402620876638,0.1070535267633816,1.0,16
tri_modal_split,214,hc3 = 1 AND Depth = 1 AND Dict = 1,Lc2Lp1==0,3,0.197076850542197,0.1095962244362873,0.9766355140186916,16
power_law,214,hc3 = 1 AND Depth = 1 AND Dict = 1,workload==0,0,0.193402620876638,0.1070535267633816,1.0,16
normal,212,hc3 = 1 AND Depth = 1 AND BlockSize = 1,Depth==1 AND BlockSize==1 AND hc3==1,0,1.0,1.0,1.0,17
uniform,212,hc3 = 1 AND Depth = 1 AND BlockSize = 1,Depth==1 AND BlockSize==1 AND hc3==1,0,1.0,1.0,1.0,17
bi_modal_split,212,hc3 = 1 AND Depth = 1 AND BlockSize = 1,workload==0,0,0.1917684305744007,0.1060530265132566,1.0,17
tri_modal_split,212,hc3 = 1 AND Depth = 1 AND BlockSize = 1,Depth==1 AND BlockSize==1 AND hc3==1,0,1.0,1.0,1.0,17
power_law,212,hc3 = 1 AND Depth = 1 AND BlockSize = 1,Lc2Lp1==0,3,0.195375176970269,0.1085474567383324,0.9764150943396226,17
normal,201,sha256 = 1 AND Depth = 1 AND BlockSize = 1,Depth==1 AND sha256==1 AND BlockSize==1,0,1.0,1.0,1.0,18
uniform,201,sha256 = 1 AND Depth = 1 AND BlockSize = 1,Lc2Lp1==0,3,0.1850094876660341,0.102254850550603,0.9701492537313432,18
bi_modal_split,201,sha256 = 1 AND Depth = 1 AND BlockSize = 1,Depth==1 AND sha256==1 AND BlockSize==1,0,1.0,1.0,1.0,18
tri_modal_split,201,sha256 = 1 AND Depth = 1 AND BlockSize = 1,Depth==1 AND sha256==1 AND BlockSize==1,0,1.0,1.0,1.0,18
power_law,201,sha256 = 1 AND Depth = 1 AND BlockSize = 1,Lc1Lp2==0,3,0.1849929211892402,0.1021897810218978,0.9751243781094528,18
normal,229,crc32 = 1 AND MemoryLimit = 1 AND BlockSize = 1,workload==0,0,0.2055655296229802,0.1145572786393196,1.0,19
uniform,229,crc32 = 1 AND MemoryLimit = 1 AND BlockSize = 1,Lc2Lp1==0,1,0.2069288389513108,0.1158888306240167,0.965065502183406,19
bi_modal_split,229,crc32 = 1 AND MemoryLimit = 1 AND BlockSize = 1,workload==0,0,0.2055655296229802,0.1145572786393196,1.0,19
