sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,178,model = 1 AND model_validate = 1 AND proof = 1,model==1 AND model_validate==1 AND proof==1,0,1.0,1.0,1.0,0
uniform,168,auto_config = 1 AND model = 1 AND unsat_core = 1,auto_config==1 AND unsat_core==1 AND model==1,0,1.0,1.0,1.0,0
bi_modal_split,178,dump_models = 1 AND smtlib2_compliant = 1 AND stats = 1,dump_models==1 AND smtlib2_compliant==1 AND stats==1,0,1.0,1.0,1.0,0
tri_modal_split,184,model = 1 AND model_validate = 1 AND trace = 1,model==1 AND model_validate==1 AND trace==1,0,1.0,1.0,1.0,0
power_law,142,model = 1 AND smtlib2_compliant = 1 AND trace = 1,model==1 AND smtlib2_compliant==1 AND trace==1,1,1.0,1.0,1.0,0
normal,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10
uniform,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10
bi_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,workload==0,0,0.2631126397248495,0.1514851485148514,1.0,10
tri_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,type_check==1,3,0.4352773826458037,0.2781818181818182,1.0,10
power_law,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,1,1.0,1.0,1.0,10
normal,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND trace==1,0,1.0,1.0,1.0,11
uniform,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND trace==1,0,1.0,1.0,1.0,11
bi_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,stats==1,3,0.2816091954022988,0.1828358208955224,0.6125,11
tri_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,stats==1,3,0.2816091954022988,0.1828358208955224,0.6125,11
power_law,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND trace==1,1,1.0,1.0,1.0,11
normal,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
