n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,30.45467565270029,640,HAVE_HASH = 1,HAVE_HASH==1,0,1.0,1.0,1.0,0,0.5420486927032471
2,8.801808117239196,640,HAVE_HASH = 1 AND HAVE_CRYPTO = 1,HAVE_HASH==1,0,1.0,1.0,1.0,0,0.5314431190490723
3,34.28785500278053,128,DIAGNOSTIC = 1 AND PAGESIZE = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.0974124809741248,0.0512,1.0,0,0.4942753314971924
4,21.43162182368273,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,0,0.5227117538452148
1,32.139006955147266,512,PAGESIZE = 16,PAGESIZE==16,0,1.0,1.0,1.0,1,0.6365001201629639
2,30.561544748402863,128,HAVE_HASH = 1 AND PAGESIZE = 4,HAVE_HASH==1 AND PAGESIZE==4,0,1.0,1.0,1.0,1,0.6331892013549805
3,28.997988623627407,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,1,0.4815409183502197
4,4.667403951574643,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,1,0.5152640342712402
1,13.547933256289156,512,PAGESIZE = 32,PAGESIZE==32,0,1.0,1.0,1.0,10,0.6512939929962158
2,26.34304393236325,240,HAVE_SEQUENCE = 1 AND PAGESIZE = 4,HAVE_SEQUENCE==1 AND PAGESIZE==4,0,1.0,1.0,1.0,10,0.7862505912780762
3,12.874260916410174,320,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH==1 AND HAVE_SEQUENCE==1,0,1.0,1.0,1.0,10,0.8675742149353027
4,27.016126469355005,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,10,0.4977729320526123
1,13.829716870507388,640,CACHESIZE = 32,CACHESIZE==32,0,1.0,1.0,1.0,11,0.7362773418426514
2,24.263892996693063,224,HAVE_VERIFY = 1 AND PAGESIZE = 8,HAVE_VERIFY==1 AND PAGESIZE==8,0,1.0,1.0,1.0,11,0.8610105514526367
3,8.848179873175976,160,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_HASH.1 = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,3,0.1203007518796992,0.064,1.0,11,0.578261137008667
4,8.617898783593835,160,HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,11,0.717341423034668
1,36.890826131004616,512,PAGESIZE = 16,PAGESIZE==16,0,1.0,1.0,1.0,12,0.6398816108703613
2,3.571096954265192,128,PAGESIZE = 32 AND HAVE_HASH.1 = 1,HAVE_HASH.1==1 AND PAGESIZE==32,0,1.0,1.0,1.0,12,0.6356692314147949
3,33.53161569427367,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS.1==0,2,0.1194029850746268,0.0634920634920634,1.0,12,0.4879870414733886
4,28.84677838869277,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,12,0.5083506107330322
1,25.93224148117428,640,HAVE_HASH.1 = 1,HAVE_HASH.1==1,0,1.0,1.0,1.0,13,0.5407519340515137
2,10.860345075124254,256,PAGESIZE = 8 AND HAVE_CRYPTO = 1,PAGESIZE==8 AND HAVE_CRYPTO==1,0,1.0,1.0,1.0,13,0.7348413467407227
3,13.94263693143994,320,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.226950354609929,0.128,1.0,13,0.5077085494995117
4,18.2935768986806,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,13,0.5177040100097656
1,12.854068015441172,640,CACHESIZE = 512,CACHESIZE==512,0,1.0,1.0,1.0,14,0.7488679885864258
2,7.905207956516417,128,CACHESIZE = 64 AND PAGESIZE = 8,CACHESIZE==64 AND PAGESIZE==8,0,1.0,1.0,1.0,14,0.8665292263031006
3,21.735485372658253,128,HAVE_STATISTICS = 1 AND PAGESIZE = 32 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.0974124809741248,0.0512,1.0,14,0.5877900123596191
4,7.983414062804565,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,14,0.7365756034851074
1,3.8271458122210023,640,HAVE_HASH = 1,HAVE_HASH==1,0,1.0,1.0,1.0,15,0.5244596004486084
2,9.994499651455715,640,HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS==1 AND HAVE_CRYPTO==1,0,1.0,1.0,1.0,15,0.7580108642578125
3,22.45790165524729,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_HASH.1 = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,15,0.5015106201171875
4,4.620549716513412,140,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.106060606060606,0.056,1.0,15,0.5117154121398926
1,14.87934993508607,512,PAGESIZE = 4,PAGESIZE==4,0,1.0,1.0,1.0,16,0.6309802532196045
2,27.4831175213626,320,CACHESIZE = 32 AND HAVE_CRYPTO = 1,CACHESIZE==32 AND HAVE_CRYPTO==1,0,1.0,1.0,1.0,16,0.732642650604248
3,33.96716316961387,160,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,16,0.489872932434082
4,4.970980850804629,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,16,0.5115084648132324
1,24.343299653921044,640,HAVE_HASH = 1,HAVE_HASH==1,0,1.0,1.0,1.0,17,0.5229277610778809
2,4.8868469434705215,310,CACHESIZE = 64 AND HAVE_STATISTICS = 1,CACHESIZE==64 AND HAVE_STATISTICS==1,0,1.0,1.0,1.0,17,0.7865431308746338
3,25.972702243812808,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1,HAVE_SEQUENCE.1==0,4,0.1212121212121212,0.064516129032258,1.0,17,0.4875946044921875
4,28.71299862227442,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,17,0.6818654537200928
1,26.291403089968917,320,HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1==1,0,1.0,1.0,1.0,18,0.4995574951171875
2,13.529855448924645,160,HAVE_STATISTICS = 1 AND HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1==1 AND HAVE_STATISTICS==1,0,1.0,1.0,1.0,18,0.6329207420349121
3,3.3711407135045293,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,18,0.5087335109710693
4,17.28733467620241,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,18,0.5466196537017822
1,32.43242274248047,640,HAVE_HASH.1 = 1,HAVE_HASH.1==1,0,1.0,1.0,1.0,19,0.5430169105529785
2,15.429890815882697,320,DIAGNOSTIC = 1 AND HAVE_HASH.1 = 1,HAVE_HASH.1==1 AND DIAGNOSTIC==1,0,1.0,1.0,1.0,19,0.6683826446533203
3,24.97482307803197,320,HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.226950354609929,0.128,1.0,19,0.5162222385406494
4,23.294939704786596,160,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,19,0.5158815383911133
1,34.752169228564355,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1==1,0,1.0,1.0,1.0,2,0.5164008140563965
2,1.7250825487058692,320,DIAGNOSTIC = 1 AND HAVE_HASH = 1,DIAGNOSTIC==1 AND HAVE_HASH==1,0,1.0,1.0,1.0,2,0.6847167015075684
3,20.600365958587176,160,HAVE_REPLICATION = 1 AND HAVE_STATISTICS = 1 AND HAVE_HASH.1 = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,2,0.5395972728729248
4,35.06405562285751,160,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,2,0.515394926071167
1,27.02903823037541,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1==1,0,1.0,1.0,1.0,20,0.5555672645568848
2,12.919322471419369,320,HAVE_HASH = 1 AND HAVE_STATISTICS = 1,HAVE_HASH==1 AND HAVE_STATISTICS==1,0,1.0,1.0,1.0,20,0.7529881000518799
3,15.176101534583973,320,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.226950354609929,0.128,1.0,20,0.5886216163635254
4,4.14796753436709,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,3,0.1203007518796992,0.064,1.0,20,0.5729799270629883
1,14.693975153845738,512,PAGESIZE = 1,PAGESIZE==1,0,1.0,1.0,1.0,21,0.6287915706634521
2,5.767440333212976,300,CACHESIZE = 16 AND HAVE_SEQUENCE = 1,CACHESIZE==16 AND HAVE_SEQUENCE==1,0,1.0,1.0,1.0,21,0.7574479579925537
3,10.270659828764463,150,CACHESIZE = 512 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,3,0.1132075471698113,0.06,1.0,21,0.5265462398529053
4,23.97871509642706,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,21,0.6568398475646973
1,14.485243554619329,512,PAGESIZE = 32,PAGESIZE==32,0,1.0,1.0,1.0,22,0.7527022361755371
2,2.8387286693163287,480,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_REPLICATION==1 AND HAVE_VERIFY==1,0,1.0,1.0,1.0,22,0.8917121887207031
3,33.0396477738078,128,HAVE_VERIFY = 1 AND PAGESIZE = 4 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.0974124809741248,0.0512,1.0,22,0.5896608829498291
4,15.762233779964127,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,22,0.7655942440032959
1,34.966517490731846,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1==1,0,1.0,1.0,1.0,23,0.4943268299102783
2,37.04142031438052,160,HAVE_VERIFY = 1 AND HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1==1 AND HAVE_VERIFY==1,0,1.0,1.0,1.0,23,0.6652822494506836
3,26.86026519553699,128,HAVE_SEQUENCE = 1 AND PAGESIZE = 8 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.0974124809741248,0.0512,1.0,23,0.502962589263916
4,5.7020937100466345,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,23,0.5136599540710449
1,12.549485983577522,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1==1,0,1.0,1.0,1.0,24,0.5412883758544922
2,31.84105852020317,600,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1,HAVE_SEQUENCE==1 AND HAVE_STATISTICS==1,0,1.0,1.0,1.0,24,0.8685929775238037
3,20.255498570413184,160,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_HASH.1 = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,24,0.5542585849761963
4,4.8723287578160415,160,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS.1==0 AND DIAGNOSTIC.1==0,4,0.1203007518796992,0.064,1.0,24,0.7129185199737549
1,28.678341915709645,640,CACHESIZE = 16,CACHESIZE==16,0,1.0,1.0,1.0,25,0.6789298057556152
2,27.64858273413138,128,CACHESIZE = 512 AND PAGESIZE = 32,CACHESIZE==512 AND PAGESIZE==32,0,1.0,1.0,1.0,25,0.7871718406677246
3,9.43684933478605,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS.1==0 AND PAGESIZE.1==0,4,0.1203007518796992,0.064,1.0,25,0.5590250492095947
