n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,41886.72641450075,288,PostSmooting = 0,PostSmooting==0,0,1.0,1.0,1.0,0,0.5680463314056396
2,32992.95085765314,144,SeqGS = 1 AND PostSmooting = 0,PostSmooting==0 AND SeqSOR==0,0,1.0,1.0,1.0,0,0.7306087017059326
1,47121.18192109641,384,cells_55 = 1,cells_55==1,0,1.0,1.0,1.0,1,0.7853271961212158
2,42533.897957794026,168,PreSmoothing = 5 AND SeqGS = 1,PreSmoothing==5 AND SeqSOR==0,0,1.0,1.0,1.0,1,0.7384779453277588
1,9600.453506633894,288,PostSmooting = 0,PostSmooting==0,0,1.0,1.0,1.0,10,0.5227091312408447
2,16004.923292303236,168,SeqGS = 1 AND PostSmooting = 4,PostSmooting==4 AND SeqSOR==0,0,1.0,1.0,1.0,10,0.5974500179290771
1,48756.27277517952,336,PreSmoothing = 6,PreSmoothing==6,0,1.0,1.0,1.0,11,0.5205442905426025
2,36370.49017942982,144,SeqGS = 1 AND PostSmooting = 0,PostSmooting==0 AND SeqSOR==0,0,1.0,1.0,1.0,11,0.651883602142334
1,52287.20725154853,336,PostSmooting = 1,PostSmooting==1,0,1.0,1.0,1.0,12,0.5333013534545898
2,40696.41578675192,192,SeqSOR = 1 AND cells_55 = 1,cells_55==1 AND SeqSOR==1,0,1.0,1.0,1.0,12,0.7064192295074463
1,48454.8998691864,336,PreSmoothing = 4,PreSmoothing==4,0,1.0,1.0,1.0,13,0.5372035503387451
2,43543.93117685389,288,LoopSolver = 1 AND SeqSOR = 1,LoopSolver==1 AND SeqSOR==1,0,1.0,1.0,1.0,13,0.7580010890960693
1,14943.28230047455,576,LoopSolver = 1,LoopSolver==1,0,1.0,1.0,1.0,14,0.6142950057983398
2,7121.50135261639,192,SeqGS = 1 AND cells_54 = 1,cells_54==1 AND SeqSOR==0,0,1.0,1.0,1.0,14,0.5977537631988525
1,24804.159456638004,384,cells_53 = 1,cells_53==1,0,1.0,1.0,1.0,15,0.6726119518280029
2,54700.7278344813,192,SeqGS = 1 AND cells_50 = 1,SeqSOR==0 AND cells_50==1,0,1.0,1.0,1.0,15,0.6740884780883789
1,47848.570323611086,336,PreSmoothing = 3,PreSmoothing==3,0,1.0,1.0,1.0,16,0.5489852428436279
2,53599.61483875554,192,SeqSOR = 1 AND cells_51 = 1,SeqSOR==1 AND cells_51==1,0,1.0,1.0,1.0,16,0.7164437770843506
1,54028.94046316556,336,PostSmooting = 5,PostSmooting==5,0,1.0,1.0,1.0,17,0.5223071575164795
2,27055.14070839104,288,BiCGSTABSolver = 1 AND SeqSOR = 1,BiCGSTABSolver==1 AND SeqSOR==1,0,1.0,1.0,1.0,17,0.7725768089294434
1,47669.80936236243,336,PostSmooting = 3,PostSmooting==3,0,1.0,1.0,1.0,18,0.5203485488891602
2,39809.77373313998,144,PreSmoothing = 0 AND SeqGS = 1,PreSmoothing==0 AND SeqSOR==0,0,1.0,1.0,1.0,18,0.6609604358673096
1,22077.3292379756,384,cells_53 = 1,cells_53==1,0,1.0,1.0,1.0,19,0.7783849239349365
2,14305.773555731255,144,PreSmoothing = 0 AND SeqSOR = 1,PreSmoothing==0 AND SeqSOR==1,0,1.0,1.0,1.0,19,0.653205156326294
1,26237.894786442608,336,PostSmooting = 5,PostSmooting==5,0,1.0,1.0,1.0,2,0.5440435409545898
2,10126.662900323174,168,SeqGS = 1 AND PostSmooting = 2,PostSmooting==2 AND SeqSOR==0,1,1.0,1.0,1.0,2,0.5409510135650635
