n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,29.887339957738973,696,bs_256x2 = 1,bs_256x2==1,0,1.0,1.0,1.0,0,1.382204294204712
2,55.07977951834015,697,Linear1D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,0,2.523817777633667
3,103.35373608190991,697,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,0,2.497941493988037
4,42.80248714784676,1040,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,bs_1024x1==0,1,0.1476224272533711,0.0796934865900383,1.0,0,1.065150022506714
1,47.7814647109009,2635,Linear2D = 1,Linear2D==1,0,1.0,1.0,1.0,1,2.0793185234069824
2,65.39570558412142,697,Linear1D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,1,2.4982566833496094
3,97.43425634504251,1060,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND TextureMemory==1,0,1.0,1.0,1.0,1,2.620124578475952
4,106.12361499529368,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,1,3.4446218013763428
1,73.35062868643115,775,padding = 288,padding==288,0,1.0,1.0,1.0,10,1.5211832523345947
2,77.71000120200516,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,10,2.4010109901428223
3,91.06246875954793,714,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,10,2.493879556655884
4,45.60620234916878,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0,0,0.1501366790495549,0.0812903225806451,0.9807692307692308,10,1.0686705112457275
1,71.94340034507839,775,padding = 320,padding==320,0,1.0,1.0,1.0,11,1.4830894470214844
2,76.94948281100204,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,11,2.4226560592651367
3,95.21534554628656,697,Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,11,2.4848406314849854
4,78.23474939062044,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 3,bs_128x8==0,4,0.1135123335516263,0.0601712566535524,1.0,11,1.0553905963897705
1,53.002248500899725,775,padding = 384,padding==384,0,1.0,1.0,1.0,12,1.413241624832153
2,84.47424611562103,775,TextureMemory = 1 AND padding = 0,padding==0 AND TextureMemory==1,0,1.0,1.0,1.0,12,2.0339314937591557
3,81.869092498325,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,12,2.741416931152344
4,83.41135574211206,714,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Ldg==1 AND pixelPerThread==1,0,1.0,1.0,1.0,12,2.386997699737549
1,77.54063128379127,775,padding = 288,padding==288,0,1.0,1.0,1.0,13,1.492868185043335
2,41.41412366468319,697,Linear2D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,13,2.5025007724761963
3,37.14364109438915,1035,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 4,bs_256x4==0,2,0.1478782683240463,0.0798426290210599,1.0,13,1.0470361709594729
4,88.92713638588245,697,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,13,2.4513583183288574
1,74.75596127538263,3132,pixelPerThread = 3,pixelPerThread==3,0,1.0,1.0,1.0,14,1.6536588668823242
2,108.17658830254214,1207,Ldg = 1 AND LocalMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,14,2.950505495071411
3,115.33471919266772,697,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,14,2.702232360839844
4,78.11852978554131,714,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,14,2.408447504043579
1,69.62855459474324,2635,Linear2D = 1,Linear2D==1,0,1.0,1.0,1.0,15,2.2082784175872803
2,99.25813541257908,2898,CUDA = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0,0,1.0,1.0,1.0,15,2.31677508354187
3,93.482844970239,714,Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Ldg==1 AND pixelPerThread==1,0,1.0,1.0,1.0,15,2.551274061203003
4,50.61283514682356,1207,CUDA = 1 AND Linear2D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear2D==1 AND LocalMemory==1,0,1.0,1.0,1.0,15,2.4052412509918213
1,112.09268769302996,696,bs_32x4 = 1,bs_32x4==1,0,1.0,1.0,1.0,16,1.4802632331848145
2,84.06910096615285,697,Linear2D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,16,2.567901134490967
3,81.970039155896,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,16,2.646745443344116
4,107.2503260742126,1207,CUDA = 1 AND Linear1D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear1D==1 AND LocalMemory==1,0,1.0,1.0,1.0,16,2.681893348693848
1,61.981686414824026,3654,pixelPerThread = 1,pixelPerThread==1,0,1.0,1.0,1.0,17,1.606759548187256
2,99.49580561499948,1827,LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1,0,1.0,1.0,1.0,17,2.120424747467041
3,106.69025876126751,1207,Linear1D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear1D==1 AND LocalMemory==1,0,1.0,1.0,1.0,17,2.8010075092315674
4,38.53557182619906,1207,CUDA = 1 AND Linear1D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear1D==1 AND LocalMemory==1,0,1.0,1.0,1.0,17,2.3518764972686768
1,80.55589315013793,696,bs_32x8 = 1,bs_32x8==1,0,1.0,1.0,1.0,18,1.4863317012786863
2,40.01566007656344,2635,CUDA = 1 AND Ldg = 1,Ldg==1,0,1.0,1.0,1.0,18,2.1013853549957275
3,28.75410408163231,1060,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,bs_1024x1==0,1,0.1502480510276399,0.0812260536398467,1.0,18,1.0569634437561035
4,73.65879256784898,714,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear1D==1,0,1.0,1.0,1.0,18,2.376497745513916
1,94.70656979751024,696,bs_32x2 = 1,bs_32x2==1,0,1.0,1.0,1.0,19,1.6875452995300293
2,94.42442162478886,3763,LocalMemory = 1 AND TextureMemory = 1,LocalMemory==1 AND TextureMemory==1,0,1.0,1.0,1.0,19,3.233489990234375
3,59.0563716384048,1207,Ldg = 1 AND LocalMemory = 1 AND TextureMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,19,2.706444025039673
4,43.90520842004075,697,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,19,2.63899302482605
1,35.89037729748381,775,padding = 160,padding==160,0,1.0,1.0,1.0,2,1.4024062156677246
2,84.6188659246386,1740,LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1,0,1.0,1.0,1.0,2,2.1379663944244385
3,100.338967371343,1207,Ldg = 1 AND LocalMemory = 1 AND TextureMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,2,2.7720184326171875
4,80.35346728201836,714,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Ldg==1 AND pixelPerThread==1,0,1.0,1.0,1.0,2,2.399496793746948
1,81.50173138166548,696,bs_512x1 = 1,bs_512x1==1,0,1.0,1.0,1.0,20,1.5484330654144287
2,67.64562686624136,2635,Ldg = 1 AND TextureMemory = 1,Ldg==1,0,1.0,1.0,1.0,20,2.281403064727783
3,60.23384735794648,1207,Ldg = 1 AND LocalMemory = 1 AND TextureMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,20,2.433145046234131
4,60.17209108271612,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 4,bs_128x8==0,2,0.1135123335516263,0.0601712566535524,1.0,20,1.1009905338287354
1,27.06723565844434,775,padding = 160,padding==160,0,1.0,1.0,1.0,21,1.4755706787109375
2,50.98828878054588,714,Linear1D = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear1D==1,0,1.0,1.0,1.0,21,2.563046455383301
3,82.51891427009846,1035,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,21,2.634196758270264
4,66.40183272621205,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 3,bs_128x8==0,2,0.1135123335516263,0.0601712566535524,1.0,21,1.0896282196044922
1,40.23083235851248,3132,pixelPerThread = 3,pixelPerThread==3,0,1.0,1.0,1.0,22,1.6177644729614258
2,48.038019458195656,714,Linear1D = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear1D==1,0,1.0,1.0,1.0,22,2.5409417152404785
3,50.674913872827744,1113,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,bs_512x2==0,2,0.1506109690252912,0.081771194939443,0.9523809523809524,22,1.066545486450195
4,100.79372055601728,697,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Ldg==1 AND pixelPerThread==2,0,1.0,1.0,1.0,22,2.5464744567871094
1,43.07717562535976,1085,padding = 0,padding==0,0,1.0,1.0,1.0,23,1.4922966957092283
2,74.58982505194128,1908,TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND TextureMemory==1,0,1.0,1.0,1.0,23,2.385004997253418
3,59.729129736077965,697,Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,23,2.306195974349976
4,94.46068825308905,1040,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,23,3.2119877338409424
1,90.67285695104792,775,padding = 64,padding==64,0,1.0,1.0,1.0,24,1.4617424011230469
2,33.268425681327784,714,Linear2D = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,24,2.4544517993927
3,113.77281328148634,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,24,2.9411461353302
4,96.59145371800896,714,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear1D==1,0,1.0,1.0,1.0,24,2.4290146827697754
1,80.01460479631419,775,padding = 512,padding==512,0,1.0,1.0,1.0,25,1.5167462825775146
2,27.83554410323346,1278,LocalMemory = 1 AND OpenCL = 1,LocalMemory==1 AND OpenCL==1,0,1.0,1.0,1.0,25,2.511136770248413
3,27.969829549960963,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,25,2.5323119163513184
4,73.00861368644266,1207,CUDA = 1 AND Ldg = 1 AND LocalMemory = 1 AND TextureMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,25,2.444383144378662
1,63.762352644110926,775,padding = 224,padding==224,0,1.0,1.0,1.0,26,1.5161001682281494
2,52.31400265902942,1207,Linear2D = 1 AND LocalMemory = 1,Linear2D==1 AND LocalMemory==1,0,1.0,1.0,1.0,26,2.629992961883545
3,92.53456772678572,697,CUDA = 1 AND Linear1D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,26,2.4654486179351807
4,92.19472816820208,714,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear1D==1,0,1.0,1.0,1.0,26,2.4978725910186768
1,75.17004556124257,696,bs_32x2 = 1,bs_32x2==1,0,1.0,1.0,1.0,27,1.6970257759094238
2,107.08938448080008,2635,Linear1D = 1 AND TextureMemory = 1,Linear1D==1,0,1.0,1.0,1.0,27,2.476401805877685
3,64.77603906448734,1449,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,27,2.3115015029907227
4,84.77588560244993,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,LocalMemory==0,0,0.0,0.0,0.0,27,1.473790407180786
1,99.79395132610142,696,bs_64x8 = 1,bs_64x8==1,0,1.0,1.0,1.0,28,1.6631431579589844
2,45.35031023112196,2898,CUDA = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0,0,1.0,1.0,1.0,28,2.3565406799316406
3,72.05490422432572,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,28,2.9810869693756104
4,46.77766051812703,1207,CUDA = 1 AND Linear1D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear1D==1 AND LocalMemory==1,0,1.0,1.0,1.0,28,2.691694021224976
1,56.48379185800688,696,bs_512x1 = 1,bs_512x1==1,0,1.0,1.0,1.0,29,1.394921064376831
2,91.65930450864268,1827,LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1,0,1.0,1.0,1.0,29,2.1457207202911377
3,61.48710409279506,1207,Ldg = 1 AND LocalMemory = 1 AND TextureMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,29,2.376591920852661
4,93.51573184730144,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,29,3.058568000793457
1,84.94627875399344,775,padding = 256,padding==256,0,1.0,1.0,1.0,3,1.508760690689087
2,85.42055878162179,2484,CUDA = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0,0,1.0,1.0,1.0,3,2.59939956665039
3,27.956550920703886,1207,Linear2D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear2D==1 AND LocalMemory==1,0,1.0,1.0,1.0,3,2.362846612930298
4,34.33801550010448,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0,0,0.1501366790495549,0.0812903225806451,0.9807692307692308,3,1.1058449745178225
1,72.11666075325616,775,padding = 448,padding==448,0,1.0,1.0,1.0,30,1.5054326057434082
2,61.8806977950734,714,Linear2D = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,30,2.4987385272979736
3,114.16903886712036,1207,Linear2D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear2D==1 AND LocalMemory==1,0,1.0,1.0,1.0,30,2.7292191982269287
4,86.17404162871793,714,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,30,2.485856771469116
1,44.39849629863235,696,bs_64x2 = 1,bs_64x2==1,0,1.0,1.0,1.0,31,1.411203145980835
2,107.5434555720994,2635,CUDA = 1 AND Linear2D = 1,Linear2D==1,0,1.0,1.0,1.0,31,2.2324917316436768
3,45.96030623161765,1207,Linear2D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear2D==1 AND LocalMemory==1,0,1.0,1.0,1.0,31,2.433513641357422
4,102.8997132553855,714,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,31,2.484342098236084
1,60.00464280669654,775,padding = 192,padding==192,0,1.0,1.0,1.0,32,1.5204923152923584
2,102.88053052437844,1305,LocalMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND LocalMemory==1,0,1.0,1.0,1.0,32,2.8644320964813232
3,29.245461964619015,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,32,2.7773666381835938
4,88.2343368808355,1207,CUDA = 1 AND Linear2D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear2D==1 AND LocalMemory==1,0,1.0,1.0,1.0,32,2.821316957473755
1,116.28503351809422,2790,OpenCL = 1,OpenCL==1,0,1.0,1.0,1.0,33,2.0380163192749023
2,82.55935082306073,2173,TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND TextureMemory==1,0,1.0,1.0,1.0,33,2.5042295455932617
3,92.68815793784434,697,Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,33,2.479244470596313
4,79.87608202718549,714,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear1D==1,0,1.0,1.0,1.0,33,2.3858795166015625
1,61.01317480563807,775,padding = 448,padding==448,0,1.0,1.0,1.0,34,1.4404265880584717
2,69.87415907743787,3763,LocalMemory = 1 AND TextureMemory = 1,LocalMemory==1 AND TextureMemory==1,0,1.0,1.0,1.0,34,2.8301360607147217
3,70.25942311417539,1380,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,34,2.632366418838501
4,113.78099671470518,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,34,3.1259970664978027
1,90.49998879811132,1085,padding = 0,padding==0,0,1.0,1.0,1.0,35,1.5202665328979492
2,68.6279127891222,1827,LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1,0,1.0,1.0,1.0,35,1.90988564491272
3,38.18125264694757,1207,CUDA = 1 AND Ldg = 1 AND LocalMemory = 1,Ldg==1 AND LocalMemory==1,0,1.0,1.0,1.0,35,2.296792984008789
4,56.310317479358574,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0,0,0.1501366790495549,0.0812903225806451,0.9807692307692308,35,1.0612249374389648
1,43.18012398103038,775,padding = 96,padding==96,0,1.0,1.0,1.0,36,1.4323720932006836
2,49.83106395906078,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,36,2.376946210861206
3,109.22004397519896,1035,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,36,2.845312118530273
4,93.67300938253292,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,36,3.060200929641724
1,94.20127164925388,696,bs_32x16 = 1,bs_32x16==1,0,1.0,1.0,1.0,37,1.526550531387329
2,76.94517539072817,2635,CUDA = 1 AND Ldg = 1,Ldg==1,0,1.0,1.0,1.0,37,2.254795551300049
3,63.38569586909014,697,Linear1D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,37,2.342041015625
4,57.81408577248647,697,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,37,2.4208669662475586
1,67.4543468792743,775,padding = 512,padding==512,0,1.0,1.0,1.0,38,1.5576846599578855
2,84.32272211718323,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,38,2.636253595352173
3,69.72600006745384,1207,Linear1D = 1 AND LocalMemory = 1 AND TextureMemory = 1,Linear1D==1 AND LocalMemory==1,0,1.0,1.0,1.0,38,2.4787137508392334
