n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,467.6940495618115,48384,TenuredGenerationSizeSupplementDecay = 8,TenuredGenerationSizeSupplementDecay==8,0,1.0,1.0,1.0,0,2.988272190093994
2,481.4173951699917,24192,MinSurvivorRatio = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND MinSurvivorRatio==1,0,1.0,1.0,1.0,0,4.393280744552612
3,258.8190221493911,16128,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy==1 AND TenuredGenerationSizeSupplement_70==0 AND TenuredGenerationSizeSupplement_90==0 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,0,5.520068883895874
4,437.5344725163664,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy==0,0,0.0,0.0,0.0,0,2.411879777908325
1,201.03696832197247,32256,NewRatio = 16,NewRatio==16,0,1.0,1.0,1.0,1,3.138849973678589
2,349.0008403589141,24192,MinSurvivorRatio = 10 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy==1 AND MinSurvivorRatio==10,0,1.0,1.0,1.0,1,4.567547798156738
3,251.99186959614795,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicyFootprintGoal==1 AND TenuredGenerationSizeSupplement_70==1,0,1.0,1.0,1.0,1,5.866525173187256
4,455.4016823736547,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicyFootprintGoal==0,0,0.0,0.0,0.0,1,2.2926385402679443
1,203.7309992343452,32256,NewRatio = 16,NewRatio==16,0,1.0,1.0,1.0,10,2.711050510406494
2,61.66309804929261,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND TenuredGenerationSizeSupplement_70==0 AND TenuredGenerationSizeSupplement_90==0,0,1.0,1.0,1.0,10,4.15116024017334
3,288.5306811048152,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND TenuredGenerationSizeSupplement_70==1,0,1.0,1.0,1.0,10,4.752172470092773
4,210.7981085273388,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,TenuredGenerationSizeSupplement_70==0,0,0.1142857142857142,0.0625,0.6666666666666666,10,2.011317253112793
1,321.9474388821081,32256,NewRatio = 1,NewRatio==1,0,1.0,1.0,1.0,11,3.181853771209717
2,397.9035032810351,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicyFootprintGoal==1 AND TenuredGenerationSizeSupplement_70==0 AND TenuredGenerationSizeSupplement_90==0,0,1.0,1.0,1.0,11,6.018750905990601
