n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,234.19816678156752,256,inline = 1 AND licm = 1,inline==1 AND licm==1,0,1.0,1.0,1.0,0,0.2325894832611084
3,254.28141509295165,128,ipsccp = 1 AND jump_threading = 1 AND print_used_types = 1,ipsccp==1 AND jump_threading==1 AND print_used_types==1,0,1.0,1.0,1.0,0,0.2391343116760254
4,217.99136771106168,64,inline = 1 AND instcombine = 1 AND licm = 1 AND simplifycfg = 1,inline==1 AND instcombine==1 AND licm==1 AND simplifycfg==1,0,1.0,1.0,1.0,0,0.2362763881683349
2,253.87155934823437,256,gvn = 1 AND iv_users = 1,gvn==1 AND iv_users==1,0,1.0,1.0,1.0,1,0.2206072807312011
3,259.36794933665124,128,ipsccp = 1 AND licm = 1 AND sccp = 1,ipsccp==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,1,0.2238445281982422
4,263.2576642057184,64,gvn = 1 AND instcombine = 1 AND licm = 1 AND sccp = 1,gvn==1 AND instcombine==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,1,0.2232794761657714
2,259.6777809281276,256,iv_users = 1 AND jump_threading = 1,iv_users==1 AND jump_threading==1,0,1.0,1.0,1.0,10,0.2342526912689209
3,217.4238108331653,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline==1 AND ipsccp==1 AND licm==1,0,1.0,1.0,1.0,10,0.2379121780395507
4,232.42905145647896,64,gvn = 1 AND inline = 1 AND licm = 1 AND simplifycfg = 1,gvn==1 AND inline==1 AND licm==1 AND simplifycfg==1,0,1.0,1.0,1.0,10,0.2360608577728271
2,210.9178614959505,256,iv_users = 1 AND licm = 1,iv_users==1 AND licm==1,0,1.0,1.0,1.0,11,0.2267875671386718
3,229.2149224361173,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND licm==1 AND print_used_types==1,0,1.0,1.0,1.0,11,0.2322196960449218
4,204.70277736115253,64,inline = 1 AND iv_users = 1 AND print_used_types = 1 AND sccp = 1,licm==1,4,0.1111111111111111,0.0625,0.5,11,0.1255309581756591
2,247.2197738559156,256,jump_threading = 1 AND sccp = 1,jump_threading==1 AND sccp==1,0,1.0,1.0,1.0,12,0.2199056148529052
3,248.7743427112132,128,gvn = 1 AND licm = 1 AND sccp = 1,gvn==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,12,0.2216126918792724
4,241.00354629828888,64,gvn = 1 AND inline = 1 AND ipsccp = 1 AND sccp = 1,gvn==1 AND inline==1 AND ipsccp==1 AND sccp==1,0,1.0,1.0,1.0,12,0.2209467887878418
2,238.2690509920203,256,print_used_types = 1 AND sccp = 1,print_used_types==1 AND sccp==1,0,1.0,1.0,1.0,13,0.23622727394104
3,241.9269766491124,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,inline==1 AND iv_users==1 AND simplifycfg==1,0,1.0,1.0,1.0,13,0.2489776611328125
4,236.67453718209515,64,inline = 1 AND instcombine = 1 AND ipsccp = 1 AND iv_users = 1,inline==1 AND instcombine==1 AND ipsccp==1 AND iv_users==1,0,1.0,1.0,1.0,13,0.2432208061218261
2,245.85715311307237,256,print_used_types = 1 AND sccp = 1,print_used_types==1 AND sccp==1,0,1.0,1.0,1.0,14,0.2285170555114746
3,235.47506373906623,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,gvn==1 AND inline==1 AND simplifycfg==1,0,1.0,1.0,1.0,14,0.2372448444366455
