n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5.7392001920146845,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==1,0,1.0,1.0,1.0,0,3.761767864227295
2,28.23656962178144,15000,polly = 1 AND polly_no_tiling = 1,polly==1 AND polly_no_tiling==1,0,1.0,1.0,1.0,0,3.765197992324829
3,24.53163255481762,5000,memory_based = 1 AND parallel = 1 AND polly_no_tiling = 1,pollyoptmaxcoefficient_100==0,0,0.1509433962264151,0.0833333333333333,0.8,0,2.474222421646118
4,19.63242404864822,5000,min = 1 AND parallel = 1 AND polly = 1 AND polly_parallel = 1,pollyoptmaxcoefficient_10==0,0,0.1509433962264151,0.0833333333333333,0.8,0,2.467802047729492
1,28.032654064978686,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100==1,0,1.0,1.0,1.0,1,3.5372934341430664
2,10.116559918995408,15000,polly = 1 AND value_based = 1,value_based==1 AND polly==1,0,1.0,1.0,1.0,1,4.049001216888428
3,5.672000679650387,5000,min = 1 AND none = 1 AND parallel_force = 1,parallel_force==0,0,0.0,0.0,0.0,1,3.271470785140991
4,7.375063903357454,3750,max = 1 AND none = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxconstantterm_10==0,1,0.1159420289855072,0.0625,0.8,1,2.139450788497925
1,16.46249835819515,12000,pollyoptmaxcoefficient_100 = 1,pollyoptmaxcoefficient_100==1,0,1.0,1.0,1.0,10,3.481041193008423
2,15.748564760899606,4000,parallel = 1 AND pollydefaulttilesize = 16,pollydefaulttilesize==16 AND parallel==1,0,1.0,1.0,1.0,10,3.989955425262451
3,16.951822167728935,3000,max = 1 AND none = 1 AND pollydefaulttilesize = 256,pollyoptmaxconstantterm_100==0,0,0.0941176470588235,0.05,0.8,10,2.3713181018829346
4,22.592953806199656,3750,min = 1 AND none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,pollyoptmaxconstantterm_1==0,0,0.1159420289855072,0.0625,0.8,10,2.362051486968994
1,13.081407454262228,12000,pollydefaulttilesize = 16,pollydefaulttilesize==16,0,1.0,1.0,1.0,11,2.776451587677002
2,24.20993040465024,6000,polly_no_tiling = 1 AND pollyoptmaxcoefficient_10 = 1,pollyoptmaxcoefficient_10==1 AND polly_no_tiling==1,0,1.0,1.0,1.0,11,4.569577693939209
3,27.68386847852633,3000,none = 1 AND pollyoptmaxconstantterm_10 = 1 AND value_based = 1,pollyoptmaxconstantterm_1==0,0,0.1176470588235294,0.0625,1.0,11,2.342872381210327
