n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5917244.485129629,54000,cyclicRefresh = 1,cyclicRefresh==1,0,1.0,1.0,1.0,0,6.184274435043335
2,2286291.425037037,27000,cyclicRefresh = 1 AND FrameBoost = 1,FrameBoost==1 AND cyclicRefresh==1,0,1.0,1.0,1.0,0,7.520490169525146
3,5420216.147583334,12000,constantBitrate = 1 AND lossless = 1 AND TileColumns = 3,variableBitrate==0,4,0.1538461538461538,0.0833333333333333,1.0,0,3.314204454421997
4,4757593.573185185,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,off==0,0,0.1153846153846153,0.0625,0.75,0,3.2045414447784424
1,1517158.2328333333,54000,off = 1,off==1,0,1.0,1.0,1.0,1,5.7140514850616455
2,2495843.6652777777,10800,complexity = 1 AND cpuUsed = 2,cpuUsed==2 AND complexity==1,0,1.0,1.0,1.0,1,7.384203910827637
3,7457072.576296296,10800,AutoAltRef = 1 AND lossless = 1 AND Threads = 6,cyclicRefresh==0,0,0.09375,0.05,0.75,1,3.237058162689209
4,4865291.339481481,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,off==0,0,0.1153846153846153,0.0625,0.75,1,3.1831634044647217
1,5834629.120416666,43200,Threads = 2,Threads==2,0,1.0,1.0,1.0,10,4.203971147537232
2,5373578.733981482,10800,cyclicRefresh = 1 AND cpuUsed = 8,cpuUsed==8 AND cyclicRefresh==1,0,1.0,1.0,1.0,10,7.002271890640259
3,1502999.9074444445,18000,good = 1 AND constrainedQuality = 1 AND FrameBoost = 1,variableBitrate==0,4,0.2222222222222222,0.125,1.0,10,3.0297727584838867
4,4435455.57362963,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,cyclicRefresh==0,0,0.1153846153846153,0.0625,0.75,10,3.065126657485962
1,5578964.916814815,54000,off = 1,off==1,0,1.0,1.0,1.0,11,5.300753116607666
2,6230265.140208334,14400,variableBitrate = 1 AND Threads = 6,Threads==6 AND constantBitrate==0 AND constrainedQuality==0,0,1.0,1.0,1.0,11,5.966690540313721
3,1137820.6664444443,18000,realtime = 1 AND variableBitrate = 1 AND lossless = 1,constrainedQuality==0,4,0.2222222222222222,0.125,1.0,11,3.068251371383667
4,1834368.096296296,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,cyclicRefresh==0,0,0.1153846153846153,0.0625,0.75,11,3.0103118419647217
1,800629.690925926,54000,off = 1,off==1,0,1.0,1.0,1.0,12,5.7489893436431885
2,6284175.635703703,27000,AutoAltRef = 1 AND variance = 1,AutoAltRef==1 AND variance==1,0,1.0,1.0,1.0,12,7.444640874862671
3,6524016.9366666665,18000,variableBitrate = 1 AND lossless = 1 AND FrameBoost = 1,constrainedQuality==0,4,0.2222222222222222,0.125,1.0,12,3.148719310760498
4,4320890.066962963,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,off==0,0,0.1153846153846153,0.0625,0.75,12,3.1153812408447266
1,6399227.251180556,43200,Threads = 6,Threads==6,0,1.0,1.0,1.0,13,3.9715442657470703
2,6696642.867444444,27000,cyclicRefresh = 1 AND lossless = 1,lossless==1 AND cyclicRefresh==1,0,1.0,1.0,1.0,13,6.603963613510132
3,8043726.501851852,13500,realtime = 1 AND AutoAltRef = 1 AND cyclicRefresh = 1,off==0,0,0.1538461538461538,0.0833333333333333,1.0,13,2.9871230125427246
4,7265393.374962963,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,complexity==0,0,0.1153846153846153,0.0625,0.75,13,2.854651927947998
1,4666607.03312963,54000,off = 1,off==1,0,1.0,1.0,1.0,14,5.568506956100464
2,3320737.8477407405,27000,good = 1 AND cyclicRefresh = 1,realtime==0 AND cyclicRefresh==1,0,1.0,1.0,1.0,14,6.9833738803863525
3,2774383.074666667,12000,realtime = 1 AND variableBitrate = 1 AND lagInFrames = 0,constrainedQuality==0,4,0.1538461538461538,0.0833333333333333,1.0,14,3.173109769821167
4,2866567.133851852,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,complexity==0,0,0.1153846153846153,0.0625,0.75,14,3.1153409481048584
1,768279.2313703704,54000,cyclicRefresh = 1,cyclicRefresh==1,0,1.0,1.0,1.0,15,5.989736080169678
2,1294030.6846296296,10800,off = 1 AND cpuUsed = 2,cpuUsed==2 AND off==1,0,1.0,1.0,1.0,15,7.414918899536133
3,6119027.643425926,10800,good = 1 AND AutoAltRef = 1 AND cpuUsed = 4,cyclicRefresh==0,0,0.09375,0.05,0.75,15,3.470477104187012
4,3174957.3792592594,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,off==0,0,0.1153846153846153,0.0625,0.75,15,3.381174325942993
1,7218661.287018519,54000,off = 1,off==1,0,1.0,1.0,1.0,16,5.302196502685547
2,5331053.606833333,36000,FrameBoost = 1 AND lagInFrames = 8,FrameBoost==1 AND lagInFrames==8,0,1.0,1.0,1.0,16,5.8727569580078125
3,737430.5803703704,10800,AutoAltRef = 1 AND lossless = 1 AND Threads = 4,complexity==0,0,0.09375,0.05,0.75,16,2.94262170791626
4,6607220.460222222,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,variance==0,0,0.1153846153846153,0.0625,0.75,16,3.231864213943481
1,7765829.577888889,54000,variance = 1,variance==1,0,1.0,1.0,1.0,17,5.23985481262207
2,7215168.916041667,14400,cpuUsed = 4 AND TileColumns = 3,cpuUsed==4 AND TileColumns==3,0,1.0,1.0,1.0,17,5.301862955093384
3,7044749.672111111,18000,AutoAltRef = 1 AND lossless = 1 AND lagInFrames = 16,cyclicRefresh==0,0,0.15,0.0833333333333333,0.75,17,2.9411635398864746
4,787755.0085185185,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,off==0,0,0.1153846153846153,0.0625,0.75,17,3.1262240409851074
1,7141381.704930556,43200,bitRate = 1200,bitRate==1200,0,1.0,1.0,1.0,18,4.200959920883179
2,7821322.714592593,27000,AutoAltRef = 1 AND complexity = 1,AutoAltRef==1 AND complexity==1,0,1.0,1.0,1.0,18,6.864502668380737
3,5166129.677833334,12000,FrameBoost = 1 AND lagInFrames = 0 AND TileColumns = 6,off==0,0,0.1034482758620689,0.0555555555555555,0.75,18,2.9950029850006104
4,4443878.839555556,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,cyclicRefresh==0,0,0.1153846153846153,0.0625,0.75,18,3.3111135959625244
1,5487833.5997916665,43200,bitRate = 900,bitRate==900,0,1.0,1.0,1.0,19,4.585513114929199
2,3173649.49675,36000,variableBitrate = 1 AND lossless = 1,lossless==1 AND constantBitrate==0 AND constrainedQuality==0,0,1.0,1.0,1.0,19,7.444002628326416
3,5764380.092666667,13500,realtime = 1 AND off = 1 AND lossless = 1,complexity==0,0,0.1538461538461538,0.0833333333333333,1.0,19,3.199972152709961
4,4442239.640370371,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,cyclicRefresh==0,0,0.1153846153846153,0.0625,0.75,19,3.205631732940674
1,7228779.576342593,43200,Threads = 8,Threads==8,0,1.0,1.0,1.0,2,4.45628809928894
