n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,11.70399145117719,480,dpi = 400.0,dpi==400.0,0,1.0,1.0,1.0,0,0.3946189880371094
2,9.380655722195566,240,anyScriptOrigin = 1 AND indexed = 4.0,indexed==4.0 AND anyScriptOrigin==1.0,0,1.0,1.0,1.0,0,0.4924404621124267
3,12.412627310528189,96,tiff = 1 AND dpi = 50.0 AND quality = 0.1,tiff==1.0 AND dpi==50.0,0,1.0,1.0,1.0,0,0.6337006092071533
4,12.750584070579706,96,anyScriptOrigin = 1 AND onload = 1 AND quality = 0.1 AND indexed = 8.0,quality==0.1,1,0.1176470588235294,0.0625,1.0,0,0.2848601341247558
1,12.34646324690353,480,indexed = 1.0,indexed==1.0,0,1.0,1.0,1.0,1,0.4024074077606201
2,19.258218869028724,160,dpi = 50.0 AND resolution = 8294400.0,dpi==50.0 AND resolution==8294400.0,0,1.0,1.0,1.0,1,0.4782676696777344
3,12.34340376272361,128,jpg = 1 AND resolution = 8294400.0 AND quality = 0.9,resolution==8294400.0 AND quality==0.9,0,1.0,1.0,1.0,1,0.5411262512207031
4,9.419453621966207,96,anyScriptOrigin = 1 AND validate = 1 AND dpi = 400.0 AND quality = 0.1,quality==0.1,1,0.1176470588235294,0.0625,1.0,1,0.287693977355957
1,13.241677313199212,480,dpi = 50.0,dpi==50.0,0,1.0,1.0,1.0,10,0.3700671195983886
2,9.42989986518728,160,dpi = 50.0 AND resolution = 307200.0,dpi==50.0 AND resolution==307200.0,0,1.0,1.0,1.0,10,0.4417011737823486
3,12.082525180476328,128,resolution = 2073600.0 AND quality = 0.1 AND indexed = 1.0,indexed==1.0 AND resolution==2073600.0 AND quality==0.1,0,1.0,1.0,1.0,10,0.6354227066040039
4,12.63515002765137,128,anyScriptOrigin = 1 AND onload = 1 AND resolution = 2073600.0 AND quality = 0.1,quality==0.1,1,0.1538461538461538,0.0833333333333333,1.0,10,0.2639164924621582
1,14.364854673549242,480,dpi = 400.0,dpi==400.0,0,1.0,1.0,1.0,11,0.3664994239807129
2,14.543221140705173,240,onload = 1 AND indexed = 4.0,indexed==4.0 AND onload==1.0,0,1.0,1.0,1.0,11,0.4574425220489502
3,18.8796158690818,119,anyScriptOrigin = 1 AND onload = 1 AND indexed = 2.0,workload==0.0,0,0.1167811579980372,0.0620114643043251,1.0,11,0.2630596160888672
4,13.365640470473162,192,anyScriptOrigin = 1 AND validate = 1 AND onload = 1 AND quality = 0.1,quality==0.1,3,0.2222222222222222,0.125,1.0,11,0.2634758949279785
1,11.963466973905104,480,indexed = 8.0,indexed==8.0,0,1.0,1.0,1.0,12,0.3686025142669678
2,12.66004864153562,128,pdf = 1 AND resolution = 307200.0,pdf==1.0 AND resolution==307200.0,0,1.0,1.0,1.0,12,0.4998323917388916
3,9.499119827381342,128,dpi = 400.0 AND resolution = 8294400.0 AND quality = 0.1,dpi==400.0 AND resolution==8294400.0 AND quality==0.1,0,1.0,1.0,1.0,12,0.6001334190368652
4,12.488199614939324,96,anyScriptOrigin = 1 AND onload = 1 AND pdf = 1 AND quality = 0.1,tiff==0.0,1,0.117719190680564,0.0625407166123778,1.0,12,0.2635829448699951
1,7.679176229673547,384,tiff = 1,jpg==0.0 AND png==0.0 AND pdf==0.0,0,1.0,1.0,1.0,13,0.4445581436157226
2,8.253823632275772,96,quality = 0.9 AND indexed = 1.0,indexed==1.0 AND quality==0.9,0,1.0,1.0,1.0,13,0.4892265796661377
3,17.542370426843775,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,indexed==2.0 AND anyScriptOrigin==1.0 AND quality==0.1,0,1.0,1.0,1.0,13,0.6320316791534424
