n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,38.90954221401543,830,win = 1,win==1,0,1.0,1.0,1.0,0,0.743854284286499
2,28.639775700005067,1044,androidIncludeLdpiTvdpi = 1 AND threads = 90,androidIncludeLdpiTvdpi==1 AND threads==90,0,1.0,1.0,1.0,0,1.0019311904907229
3,25.382404637128,528,android = 1 AND floor = 1 AND threads = 10,iosCreateImagesetFolders==0,3,0.1634674922600619,0.0890087660148347,1.0,0,0.6640846729278564
4,20.25078119844409,471,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,web==0,1,0.1314206385932438,0.0708582834331337,0.9044585987261148,0,0.5913596153259277
1,31.62018187964905,830,win = 1,win==1,0,1.0,1.0,1.0,1,0.6972630023956299
2,55.41701158705251,757,androidMipmapInsteadOfDrawable = 1 AND threads = 10,threads==10 AND androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,1,0.9441022872924804
3,45.31787923119015,509,scaleIsHeightDp = 1 AND floor = 1 AND threads = 10,win==0,3,0.1406177246624243,0.07633973710819,0.8899803536345776,1,0.6095685958862305
4,23.525330779773725,409,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND threads = 10,win==0,3,0.1289610594355983,0.0689248399056285,1.0,1,0.5497250556945801
1,45.70279557098409,752,web = 1,web==1,0,1.0,1.0,1.0,10,0.6824924945831299
2,55.51697761760106,1802,android = 1 AND androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,10,0.7688279151916504
3,40.8647215908794,699,android = 1 AND ceil = 1 AND threads = 90,iosCreateImagesetFolders==0,3,0.2108279294224098,0.1178354686446392,1.0,10,0.6231241226196289
4,33.82799384778639,373,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 10,win==0,3,0.1065482796892341,0.0566228513650151,0.900804289544236,10,0.5492351055145264
1,52.79812480434995,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,11,0.7781767845153809
2,19.224640204414037,933,scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi==1 AND scaleIsHeightDp==1,0,1.0,1.0,1.0,11,0.9415404796600342
3,30.546035909394185,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,win==0,3,0.2631347870627835,0.151499831479609,1.0,11,0.636268138885498
4,24.80985879634644,346,android = 1 AND scaleIsHeightDp = 1 AND jpeg = 1 AND threads = 90,iosCreateImagesetFolders==0,3,0.1102261866836572,0.0583277140930546,1.0,11,0.5643272399902344
1,31.65131490735092,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi==1,0,1.0,1.0,1.0,12,0.8103580474853516
2,38.61324014673342,649,ios = 1 AND threads = 10,threads==10 AND ios==1,0,1.0,1.0,1.0,12,1.0066370964050293
