n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,20.123088825368267,572,VBRRange = 1,VBRRange==1,0,1.0,1.0,1.0,0,0.6962547302246094
2,19.90941814320604,1146,Freeformat = 1 AND SwapBytes = 1,SwapBytes==1 AND Freeformat==1,0,1.0,1.0,1.0,0,0.9229254722595216
3,8.854335620949666,415,NoRes = 1 AND NoReplayGain = 1 AND CBR = 8,DualChannels==0,3,0.1882231936230393,0.1053540587219343,0.8819277108433735,0,0.5299015045166016
4,22.665421976916583,210,NoRes = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND CBR = 320,NoRes==1 AND CBR==320 AND NoReplayGain==0 AND ReplayGainFast==0 AND CRC==1,0,1.0,1.0,1.0,0,1.1762380599975586
5,28.242920039964684,324,Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,JointStereo==1 AND SwapBytes==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,1.1729183197021484
6,20.00068761023575,309,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND JointStereo==1 AND SwapBytes==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,1.2003042697906494
7,14.73455925792041,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND ReplayGainAccurate==1 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,1.146371603012085
1,17.77423517861404,1061,Resampling = 8,Resampling==8,0,1.0,1.0,1.0,1,0.6752660274505615
2,16.252297438665767,259,ReplayGainFast = 1 AND Stereo = 1,ReplayGainFast==1 AND Stereo==1,0,1.0,1.0,1.0,1,0.8435561656951904
3,27.09654204990978,304,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1,NoRes==1 AND MidSideStereo==1 AND Freeformat==1,0,1.0,1.0,1.0,1,1.1994740962982178
4,22.664427945771195,589,NoRes = 1 AND Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1,ReplayGainAccurate==0,0,0.0,0.0,0.0,1,0.5780329704284668
