n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,190.53837367694072,356,TPAQ = 1,TPAQ==1,0,1.0,1.0,1.0,0,0.9127473831176758
2,87.7141644599217,670,SRT = 1 AND BWT = 1,BWT==1 AND SRT==1,0,1.0,1.0,1.0,0,1.318521499633789
3,211.0572749402375,299,RANK = 1 AND TEXT = 1 AND skip = 1,RANK==1 AND TEXT==1 AND skip==1,0,1.0,1.0,1.0,0,1.689009666442871
4,207.77331076179848,209,TEXT = 1 AND BWTS = 1 AND RLT = 1 AND BWT = 1,TEXT==0,0,0.0,0.0,0.0,0,0.9485979080200196
5,65.67427484864896,257,LZP = 1 AND skip = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1,CM==0,1,0.1203796203796203,0.0643181211635975,0.9377431906614786,0,0.7675821781158447
6,143.75714536422603,232,LZP = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,LZP==1 AND RLT==1 AND Huffman==1 AND jobs==8 AND blocksize==1000000,0,1.0,1.0,1.0,0,1.836665153503418
1,24.18981942286043,570,ANS1 = 1,ANS1==1,0,1.0,1.0,1.0,1,0.9407904148101808
2,103.24186618389204,655,jobs = 8 AND blocksize = 1000000,jobs==8 AND blocksize==1000000,0,1.0,1.0,1.0,1,1.533388614654541
3,12.915725248841673,223,LZ = 1 AND checksum = 1 AND Huffman = 1,checksum==1 AND Huffman==1 AND LZ==1,0,1.0,1.0,1.0,1,1.4487497806549072
4,19.23711439739052,228,RLT = 1 AND BWT = 1 AND ROLZ = 1 AND blocksize = 1000000,workload==0,0,0.1050691244239631,0.0554474708171206,1.0,1,0.7656116485595703
5,197.7753487050386,298,BWTS = 1 AND LZ = 1 AND SRT = 1 AND checksum = 1 AND RLT = 1,checksum==0,0,0.0,0.0,0.0,1,0.8750858306884766
6,104.8037392133512,242,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8,workload==0,2,0.1111621497473587,0.058852140077821,1.0,1,0.8490052223205566
1,90.15158494693716,356,TPAQ = 1,TPAQ==1,0,1.0,1.0,1.0,10,0.9609365463256836
2,79.12671289230916,959,skip = 1 AND X86 = 1,MTFT6==1 AND skip==1,0,1.0,1.0,1.0,10,1.3746767044067385
3,14.73563035854289,438,LZP = 1 AND SRT = 1 AND X86 = 1,LZP==1 AND MTFT6==1 AND SRT==1,0,1.0,1.0,1.0,10,1.5955708026885986
4,138.53902502556798,266,RANK = 1 AND BWT = 1 AND jobs = 1 AND blocksize = 1000000,RANK==0,0,0.0,0.0,0.0,10,1.041921615600586
5,220.74259850144028,225,RANK = 1 AND skip = 1 AND MTFT = 1 AND checksum = 1 AND ROLZ = 1,RANK==0,0,0.0,0.0,0.0,10,0.9319968223571776
6,207.96295470227628,242,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8,LZP==1 AND RLT==1 AND Huffman==1 AND jobs==8 AND BWTS==1,0,1.0,1.0,1.0,10,1.9577419757843015
1,44.7130197767914,662,TPAQX = 1,TPAQX==1,0,1.0,1.0,1.0,11,0.911698579788208
2,128.2029588778329,212,BWTS = 1 AND Range = 1,Range==1 AND BWTS==1,0,1.0,1.0,1.0,11,1.1835203170776367
3,65.97749725452903,390,LZP = 1 AND RLT = 1 AND jobs = 8,ANS0==0,1,0.1804583835946924,0.0996005326231691,0.958974358974359,11,0.7867295742034912
4,18.43800106024141,241,ROLZX = 1 AND skip = 1 AND MTFT = 1 AND X86 = 1,workload==0,0,0.1107282334022513,0.0586089494163424,1.0,11,0.7434453964233398
5,39.0308189975139,207,LZP = 1 AND LZ = 1 AND checksum = 1 AND RLT = 1 AND blocksize = 1000000,CM==0,1,0.1026808295397066,0.0541766746730717,0.9806763285024156,11,0.7384488582611084
6,23.414023477416105,240,LZP = 1 AND BWTS = 1 AND checksum = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,CM==0,3,0.1203912716328066,0.0640512409927942,1.0,11,0.7548980712890625
1,151.03413547651624,662,TPAQX = 1,TPAQX==1,0,1.0,1.0,1.0,12,0.9286046028137208
2,74.85714926267208,393,Huffman = 1 AND jobs = 8,Huffman==1 AND jobs==8,0,1.0,1.0,1.0,12,1.2074575424194336
3,194.36030700819967,527,LZP = 1 AND BWTS = 1 AND X86 = 1,LZP==0,0,0.0,0.0,0.0,12,1.1133055686950684
4,53.464740887632594,269,skip = 1 AND SRT = 1 AND checksum = 1 AND jobs = 8,ANS0==0,3,0.1232604373757455,0.0660452729693741,0.9219330855018588,12,0.7598679065704346
5,197.41376708688952,239,BWTS = 1 AND SRT = 1 AND checksum = 1 AND RLT = 1 AND blocksize = 1000000,RLT==0,0,0.0,0.0,0.0,12,0.9304609298706056
6,46.04843595185367,211,LZP = 1 AND skip = 1 AND BWTS = 1 AND LZ = 1 AND checksum = 1 AND RLT = 1,CM==0,1,0.1000505305709954,0.0528422738190552,0.9383886255924172,12,0.7378594875335693
1,95.66970252174951,570,ANS1 = 1,ANS1==1,0,1.0,1.0,1.0,13,1.0032010078430176
2,83.42594738969869,285,SRT = 1 AND Range = 1,Range==1 AND SRT==1,0,1.0,1.0,1.0,13,1.306196689605713
3,167.65501877768125,265,ROLZX = 1 AND skip = 1 AND blocksize = 1000000,ROLZX==0,0,0.0,0.0,0.0,13,1.0639019012451172
4,115.89937795792544,213,RANK = 1 AND skip = 1 AND BWT = 1 AND blocksize = 1000000,workload==0,0,0.0984971098265896,0.0517996108949416,1.0,13,0.7839300632476807
5,137.53250464553443,217,LZP = 1 AND skip = 1 AND checksum = 1 AND RLT = 1 AND blocksize = 1000000,workload==0,0,0.1002541002541002,0.052772373540856,1.0,13,0.8110771179199219
6,146.3788538754429,266,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND jobs = 8 AND blocksize = 1000000,LZP==1 AND RLT==1 AND Huffman==1 AND jobs==8 AND blocksize==1000000 AND BWTS==1,0,0.9295774647887324,1.0,0.868421052631579,13,1.968681812286377
1,161.90013801596896,1167,RANK = 1,RANK==1,0,1.0,1.0,1.0,14,1.029792547225952
2,100.05209354406198,540,TEXT = 1 AND MTFT = 1,TEXT==1 AND MTFT==1,0,1.0,1.0,1.0,14,1.3026654720306396
3,13.024386031029223,351,skip = 1 AND X86 = 1 AND jobs = 8,FPAQ==0,3,0.1585217602723073,0.086656034024455,0.9287749287749288,14,0.8164467811584473
4,207.02158178464637,353,BWTS = 1 AND SRT = 1 AND X86 = 1 AND RLT = 1,RLT==0,0,0.0,0.0,0.0,14,0.939173698425293
