n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.928835043048284,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1,0,1.0,1.0,1.0,0,0.2970154285430908
2,6.42206265515615,47,encryption = 1 AND nice = 1,encryption==1 AND nice==1,0,1.0,1.0,1.0,0,0.3694345951080322
3,15.44485714372082,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption==0 AND integrityCheck==1 AND bzip2==1 AND multithreading==1 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,0,0.5306515693664551
4,16.443828885643278,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND integrityCheck==0 AND zpaq==1 AND nice==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,0,0.4747593402862549
1,17.14388132695109,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,1,0.285438060760498
2,7.200999670784867,16,gzip = 1 AND nice = 1,gzip==1 AND nice==1,0,1.0,1.0,1.0,1,0.3668224811553955
3,13.50256547747886,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND bzip2==1 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,1,0.5708444118499756
4,22.84361642746198,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption==0 AND integrityCheck==1 AND bzip2==1 AND nice==1 AND multithreading==0,0,0.0,0.0,0.0,1,0.443878173828125
1,8.371778929454319,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,10,0.289109468460083
2,24.04903634680356,31,encryption = 1 AND lzo = 1,encryption==1 AND lzo==1,0,1.0,1.0,1.0,10,0.3806672096252441
3,24.771539629987902,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,encryption==0 AND integrityCheck==1 AND zpaq==1 AND nice==0,0,0.0,0.0,0.0,10,0.5728151798248291
4,18.389097805983653,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND lzo==1,0,0.0,0.0,0.0,10,0.3810713291168213
1,22.04579671185249,32,zpaq = 1,zpaq==1,0,1.0,1.0,1.0,11,0.2857780456542969
2,4.732152636912214,16,noBackend = 1 AND multithreading = 1,integrityCheck==1 AND noBackend==1 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,11,0.4366848468780517
3,17.576608760342772,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,encryption==0 AND integrityCheck==0 AND bzip2==1 AND nice==1,0,0.0,0.0,0.0,11,0.5534846782684326
4,26.223247136915592,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND integrityCheck==1 AND noBackend==1 AND multithreading==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,11,0.4201667308807373
1,20.47247081356132,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1,0,1.0,1.0,1.0,12,0.2893922328948974
2,10.197421853707556,16,multithreading = 1 AND disableLzoCompressibilityTesting = 1,encryption==0 AND gzip==1 AND nice==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,12,0.4130096435546875
3,17.55515984361282,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption==0 AND integrityCheck==0 AND gzip==1 AND nice==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,12,0.5706522464752197
4,11.65993827548465,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND integrityCheck==0 AND gzip==1 AND nice==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,12,0.4768617153167724
1,10.866285758685652,32,gzip = 1,gzip==1,0,1.0,1.0,1.0,13,0.2864401340484619
2,26.708682606745867,16,encryption = 1 AND noBackend = 1,encryption==1 AND noBackend==1,0,1.0,1.0,1.0,13,0.3643574714660644
3,20.33779458686693,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND integrityCheck==0 AND gzip==1 AND multithreading==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,13,0.6085314750671387
4,5.454127074938143,12,encryption = 1 AND integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,disableLzoCompressibilityTesting==1 AND integrityCheck==0 AND nice==0 AND multithreading==1 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,13,0.4899079799652099
1,11.197758527891834,32,gzip = 1,gzip==1,0,1.0,1.0,1.0,14,0.2820348739624023
2,6.097609357390571,47,encryption = 1 AND nice = 1,encryption==1 AND nice==1,0,1.0,1.0,1.0,14,0.372366189956665
3,10.033465436986257,16,lzo = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption==0 AND zpaq==1 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,14,0.5707306861877441
4,21.24159868538452,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck==1 AND bzip2==1 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,14,0.4382417201995849
1,6.742353332180005,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,15,0.3250579833984375
2,4.082801895947778,31,lzo = 1 AND nice = 1,lzo==1 AND nice==1,0,1.0,1.0,1.0,15,0.4279537200927734
3,20.24214326546714,15,integrityCheck = 1 AND lzo = 1 AND disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1 AND integrityCheck==1,0,1.0,1.0,1.0,15,0.4143624305725097
4,18.557191164624445,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption==0 AND lzo==0 AND noBackend==0 AND zpaq==0,0,0.0,0.0,0.0,15,0.5401926040649414
1,22.223889494885626,32,zpaq = 1,zpaq==1,0,1.0,1.0,1.0,16,0.2943527698516845
2,7.126645381420589,31,encryption = 1 AND lzo = 1,encryption==1 AND lzo==1,0,1.0,1.0,1.0,16,0.3901712894439697
3,23.924368623062303,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption==1 AND noBackend==1 AND nice==1 AND multithreading==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,16,0.6103172302246094
4,23.69345419757118,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption==1 AND gzip==0 AND lzo==0 AND zpaq==0 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,16,0.4008634090423584
1,20.921957225030297,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,17,0.2835955619812011
2,26.4120281906915,15,encryption = 1 AND disableLzoCompressibilityTesting = 1,encryption==1 AND disableLzoCompressibilityTesting==1,0,1.0,1.0,1.0,17,0.3571791648864746
3,4.774481872926258,16,lzo = 1 AND nice = 1 AND unlimitedWindowSize = 1,disableLzoCompressibilityTesting==1 AND integrityCheck==1 AND nice==1 AND multithreading==0 AND unlimitedWindowSize==1,0,0.2222222222222222,1.0,0.125,17,0.5426480770111084
4,21.10762849383384,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck==0 AND noBackend==1 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,17,0.4361987113952636
1,23.993025637611783,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,18,0.2859156131744385
2,15.779797311040104,31,integrityCheck = 1 AND lzo = 1,integrityCheck==1 AND lzo==1,0,1.0,1.0,1.0,18,0.3696310520172119
3,21.07372073135537,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption==0 AND integrityCheck==0 AND zpaq==1 AND multithreading==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,18,0.543248176574707
4,19.441782253331294,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption==1 AND integrityCheck==0 AND noBackend==1 AND nice==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,18,0.3643050193786621
1,9.243829350242793,32,zpaq = 1,zpaq==1,0,1.0,1.0,1.0,19,0.2766802310943603
2,11.99139317979476,47,encryption = 1 AND nice = 1,encryption==1 AND nice==1,0,1.0,1.0,1.0,19,0.3260431289672851
3,10.69412280871486,15,lzo = 1 AND nice = 1 AND disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1 AND nice==1,0,1.0,1.0,1.0,19,0.3638989925384521
4,11.543818852474509,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND integrityCheck==0 AND gzip==1 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,19,0.5538060665130615
1,26.05649636640224,32,noBackend = 1,noBackend==1,0,1.0,1.0,1.0,2,0.3022236824035644
2,25.888800220738045,16,gzip = 1 AND unlimitedWindowSize = 1,gzip==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,2,0.3770670890808105
3,16.659612442494133,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==0 AND integrityCheck==1 AND zpaq==1 AND nice==1 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,2,0.5663881301879883
4,20.4689098852002,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption==0 AND integrityCheck==0 AND gzip==1 AND multithreading==0,0,0.0,0.0,0.0,2,0.4461226463317871
1,9.856666960676366,32,noBackend = 1,noBackend==1,0,1.0,1.0,1.0,20,0.2978594303131103
2,21.86455620978206,16,encryption = 1 AND noBackend = 1,encryption==1 AND noBackend==1,0,1.0,1.0,1.0,20,0.3852925300598144
3,9.16766793261504,16,integrityCheck = 1 AND lzo = 1 AND unlimitedWindowSize = 1,encryption==1 AND integrityCheck==1 AND noBackend==1 AND nice==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,20,0.5895156860351562
4,26.883942935416,12,encryption = 1 AND integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,bzip2==0 AND zpaq==1 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,20,0.4715168476104736
1,24.364464514216458,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1,0,1.0,1.0,1.0,21,0.2980067729949951
2,25.089507385581346,48,encryption = 1 AND multithreading = 1,encryption==1 AND multithreading==1,0,1.0,1.0,1.0,21,0.3663885593414306
3,22.502093691949156,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,21,0.555159330368042
4,25.019676501514947,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,integrityCheck==0 AND gzip==1 AND nice==1 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,21,0.4808709621429443
