n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.70171545797716,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,0,0.7523360252380371
2,85.24030648722034,265,no-dct-decimate = 1 AND sliced-threads = 1,no-dct-decimate==1 AND sliced-threads==1,0,1.0,1.0,1.0,0,0.97023606300354
3,72.02438868576719,722,intra-refresh = 1 AND no-chroma-me = 1 AND no-weightb = 1,no-chroma-me==1 AND no-weightb==1 AND intra-refresh==1,0,1.0,1.0,1.0,0,1.3726418018341064
4,67.19148563554356,586,intra-refresh = 1 AND no-deblock = 1 AND no-mixed-refs = 1 AND opencl = 1,no-mixed-refs==1 AND opencl==1 AND intra-refresh==1 AND no-deblock==1,0,1.0,1.0,1.0,0,1.559619426727295
5,72.19962722191246,468,no-weightb = 1 AND no-dct-decimate = 1 AND pic-struct = 1 AND cpu-independent = 1 AND no-asm = 1,workload==0,0,0.2613795029321418,0.1503372952136203,1.0,0,0.4981188774108886
6,58.15396224788845,396,slow-firstpass = 1 AND no-fast-pskip = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND dts-compress = 1,workload==0,0,0.225705329153605,0.127208480565371,1.0,0,0.4880115985870361
7,60.83979631583268,295,slow-firstpass = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND cpu-independent = 1 AND no-asm = 1,workload==0,0,0.1731220657276995,0.0947638933504657,1.0,0,0.4981300830841064
1,55.22519745266851,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,1,0.7817554473876953
2,53.69881157334618,815,no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,1,1.0943982601165771
3,53.45826680902704,631,no-fast-pskip = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-mixed-refs==1 AND cpu-independent==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,1,1.379335880279541
4,79.74474202273568,575,no-scenecut = 1 AND no-psy = 1 AND non-deterministic = 1 AND no-asm = 1,no-psy==1 AND non-deterministic==1 AND no-scenecut==1 AND no-asm==1,0,1.0,1.0,1.0,1,1.5988945960998535
5,12.114043420151742,524,intra-refresh = 1 AND open-gop = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1,no-8x8dct==1 AND intra-refresh==1 AND open-gop==1 AND tff==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,1,1.6535298824310305
6,60.8772577375239,397,no-scenecut = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-psy = 1 AND no-asm = 1 AND dts-compress = 1,workload==0,0,0.2262108262108262,0.1275297141021522,1.0,1,0.5237255096435547
7,36.272773367693134,314,slow-firstpass = 1 AND intra-refresh = 1 AND no-cabac = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND no-asm = 1,slow-firstpass==1,3,0.3171717171717171,0.1884753901560624,1.0,1,0.5138745307922363
1,39.33980495272595,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,10,0.8597993850708008
2,76.92208542575258,883,intra-refresh = 1 AND aud = 1,aud==1 AND intra-refresh==1,0,1.0,1.0,1.0,10,1.2315373420715332
3,28.057986359698777,753,tff = 1 AND non-deterministic = 1 AND opencl = 1,non-deterministic==1 AND opencl==1 AND tff==1,0,1.0,1.0,1.0,10,1.562286376953125
4,18.782910011633888,587,open-gop = 1 AND no-weightb = 1 AND no-mbtree = 1 AND opencl = 1,no-weightb==1 AND no-mbtree==1 AND opencl==1 AND open-gop==1,0,1.0,1.0,1.0,10,1.8677175045013428
5,43.628731734915824,451,slow-firstpass = 1 AND constrained-intra = 1 AND no-mbtree = 1 AND no-asm = 1 AND dts-compress = 1,slow-firstpass==1 AND no-mbtree==1 AND no-asm==1 AND dts-compress==1 AND constrained-intra==1,0,1.0,1.0,1.0,10,1.6220755577087402
6,8.921813053543566,404,slow-firstpass = 1 AND tff = 1 AND no-mixed-refs = 1 AND no-psy = 1 AND no-weightb = 1 AND no-asm = 1,pic-struct==1,3,0.3284023668639053,0.2050492610837438,0.8242574257425742,10,0.5552887916564941
7,45.86209977035279,332,slow-firstpass = 1 AND no-scenecut = 1 AND no-weightb = 1 AND no-mbtree = 1 AND pic-struct = 1 AND no-asm = 1 AND aud = 1,non-deterministic==1,3,0.2978723404255319,0.1790499390986601,0.8855421686746988,10,0.5536892414093018
1,74.61483926069906,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,11,0.7873754501342773
2,40.85575326443302,856,constrained-intra = 1 AND cpu-independent = 1,cpu-independent==1 AND constrained-intra==1,0,1.0,1.0,1.0,11,1.107332706451416
3,23.684728496792964,722,no-8x8dct = 1 AND pic-struct = 1 AND dts-compress = 1,no-8x8dct==1 AND pic-struct==1 AND dts-compress==1,0,1.0,1.0,1.0,11,1.3926944732666016
4,105.15651938895992,607,no-cabac = 1 AND bff = 1 AND no-mixed-refs = 1 AND non-deterministic = 1,no-mixed-refs==0,0,0.0,0.0,0.0,11,0.8214662075042725
5,27.78807084100844,471,intra-refresh = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-mixed-refs = 1 AND no-asm = 1,no-mixed-refs==1 AND no-asm==1 AND intra-refresh==1 AND tff==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,11,1.6231932640075684
6,50.782124060885,396,slow-firstpass = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND no-dct-decimate = 1 AND non-deterministic = 1 AND cpu-independent = 1,slow-firstpass==1,3,0.3840931134820562,0.2376950780312124,1.0,11,0.5071618556976318
7,101.8559987812986,314,slow-firstpass = 1 AND intra-refresh = 1 AND no-cabac = 1 AND tff = 1 AND bff = 1 AND no-8x8dct = 1 AND dts-compress = 1,workload==0,0,0.1832506565509191,0.1008673305493093,1.0,11,0.5801527500152588
1,63.4288800336856,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,12,0.756488561630249
2,71.94816620926179,926,no-dct-decimate = 1 AND aud = 1,no-dct-decimate==1 AND aud==1,0,1.0,1.0,1.0,12,1.0462138652801514
3,57.593533349669656,180,tff = 1 AND bff = 1 AND sliced-threads = 1,workload==0,0,0.1093228059520194,0.0578220366206231,1.0,12,0.4916951656341553
4,20.400768940540647,572,slow-firstpass = 1 AND intra-refresh = 1 AND no-chroma-me = 1 AND opencl = 1,slow-firstpass==1 AND no-chroma-me==1 AND opencl==1 AND intra-refresh==1,0,1.0,1.0,1.0,12,1.5928120613098145
5,69.46889590533452,407,intra-refresh = 1 AND bff = 1 AND no-chroma-me = 1 AND cpu-independent = 1 AND dts-compress = 1,workload==0,0,0.23125,0.1307420494699646,1.0,12,0.5078639984130859
6,31.6154537870054,376,slow-firstpass = 1 AND no-cabac = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-mbtree = 1 AND pic-struct = 1,pic-struct==1,3,0.376,0.2315270935960591,1.0,12,0.4899642467498779
7,24.712747855204007,332,slow-firstpass = 1 AND no-scenecut = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-mixed-refs = 1 AND no-weightb = 1 AND no-mbtree = 1,slow-firstpass==1,3,0.3323323323323323,0.1992797118847539,1.0,12,0.4975500106811523
1,28.59909404675399,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,13,0.7642085552215576
2,98.87962742580828,812,no-mixed-refs = 1 AND cpu-independent = 1,no-mixed-refs==1 AND cpu-independent==1,0,1.0,1.0,1.0,13,1.111851930618286
3,106.00428267225304,694,no-scenecut = 1 AND no-deblock = 1 AND aud = 1,no-scenecut==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,13,1.3584825992584229
4,69.04318755772142,649,open-gop = 1 AND no-cabac = 1 AND constrained-intra = 1 AND no-dct-decimate = 1,no-dct-decimate==1 AND open-gop==1 AND no-cabac==1 AND constrained-intra==1,0,1.0,1.0,1.0,13,1.663408279418945
5,25.09158406408351,532,no-scenecut = 1 AND intra-refresh = 1 AND open-gop = 1 AND tff = 1 AND no-psy = 1,no-psy==1 AND no-scenecut==1 AND intra-refresh==1 AND open-gop==1 AND tff==1,0,1.0,1.0,1.0,13,1.6877539157867432
6,23.284887677745257,348,no-scenecut = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-mbtree = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,no-dct-decimate==1,3,0.3589479112944816,0.2187303582652419,1.0,13,0.4925885200500488
7,23.284887677745257,348,slow-firstpass = 1 AND intra-refresh = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-chroma-me = 1 AND no-weightb = 1 AND no-dct-decimate = 1,pic-struct==1,3,0.3042596348884381,0.1847290640394088,0.8620689655172413,13,0.4908318519592285
1,82.02083989399871,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,14,0.8044085502624512
2,42.54886338112725,240,no-mixed-refs = 1 AND sliced-threads = 1,no-mixed-refs==1 AND sliced-threads==1,0,1.0,1.0,1.0,14,1.010326623916626
3,107.3851760235244,650,no-chroma-me = 1 AND no-weightb = 1 AND aud = 1,no-chroma-me==1 AND no-weightb==1 AND aud==1,0,1.0,1.0,1.0,14,1.4128191471099854
4,59.493636629049966,587,intra-refresh = 1 AND pic-struct = 1 AND non-deterministic = 1 AND opencl = 1,pic-struct==1 AND non-deterministic==1 AND opencl==1 AND intra-refresh==1,0,1.0,1.0,1.0,14,1.6867311000823977
5,36.25986353885322,501,no-deblock = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-weightb = 1 AND no-mbtree = 1,no-8x8dct==1 AND no-weightb==1 AND no-mbtree==1 AND no-deblock==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,14,1.6146869659423828
6,39.78814056607749,335,intra-refresh = 1 AND open-gop = 1 AND no-deblock = 1 AND no-psy = 1 AND no-mbtree = 1 AND dts-compress = 1,open-gop==1,3,0.3495044340114762,0.2117572692793931,1.0,14,0.5247986316680908
7,64.11739438532032,303,slow-firstpass = 1 AND open-gop = 1 AND no-8x8dct = 1 AND no-weightb = 1 AND no-dct-decimate = 1 AND aud = 1 AND dts-compress = 1,workload==0,0,0.1774004683840749,0.0973337616447157,1.0,14,0.5183064937591553
1,86.73574332346541,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,15,0.7540285587310791
2,74.67059968438724,268,no-fast-pskip = 1 AND sliced-threads = 1,sliced-threads==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,15,0.9674179553985596
3,40.838373090777885,871,non-deterministic = 1 AND aud = 1 AND opencl = 1,non-deterministic==1 AND aud==1 AND opencl==1,0,1.0,1.0,1.0,15,1.444176197052002
4,83.9038105053654,591,no-cabac = 1 AND bff = 1 AND no-chroma-me = 1 AND no-mbtree = 1,no-chroma-me==1 AND no-mbtree==1 AND no-cabac==1 AND bff==1,0,1.0,1.0,1.0,15,1.537787675857544
5,40.920460746790965,496,intra-refresh = 1 AND open-gop = 1 AND tff = 1 AND pic-struct = 1 AND opencl = 1,pic-struct==1 AND opencl==1 AND intra-refresh==1 AND open-gop==1 AND tff==1,0,1.0,1.0,1.0,15,1.5369689464569092
6,107.7676298572804,407,no-scenecut = 1 AND bff = 1 AND constrained-intra = 1 AND no-chroma-me = 1 AND dts-compress = 1 AND opencl = 1,dts-compress==0,0,0.0,0.0,0.0,15,0.6254661083221436
7,55.773958027499816,247,slow-firstpass = 1 AND open-gop = 1 AND no-deblock = 1 AND no-chroma-me = 1 AND no-weightb = 1 AND cpu-independent = 1 AND dts-compress = 1,workload==0,0,0.1470238095238095,0.0793446835849662,1.0,15,0.4921290874481201
1,88.69556931456579,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,16,0.768195629119873
2,39.76897491620044,917,no-psy = 1 AND dts-compress = 1,no-psy==1 AND dts-compress==1,0,1.0,1.0,1.0,16,1.0748655796051023
3,60.878037894545,783,no-8x8dct = 1 AND no-mixed-refs = 1 AND no-weightb = 1,no-8x8dct==1 AND no-mixed-refs==1 AND no-weightb==1,0,1.0,1.0,1.0,16,1.4531335830688477
4,12.368275703781933,490,intra-refresh = 1 AND no-deblock = 1 AND no-8x8dct = 1 AND dts-compress = 1,no-8x8dct==1 AND dts-compress==1 AND intra-refresh==1 AND no-deblock==1,0,1.0,1.0,1.0,16,1.46801495552063
5,18.184881237480283,476,open-gop = 1 AND no-dct-decimate = 1 AND non-deterministic = 1 AND aud = 1 AND opencl = 1,no-dct-decimate==1 AND non-deterministic==1 AND aud==1 AND opencl==1 AND open-gop==1,0,1.0,1.0,1.0,16,1.544600009918213
6,31.858861302653047,433,no-scenecut = 1 AND intra-refresh = 1 AND no-deblock = 1 AND no-mixed-refs = 1 AND no-psy = 1 AND no-dct-decimate = 1,no-mixed-refs==1 AND no-psy==1 AND no-dct-decimate==1 AND no-scenecut==1 AND intra-refresh==1 AND no-deblock==1,0,1.0,1.0,1.0,16,1.2887606620788574
7,78.19999821702196,312,slow-firstpass = 1 AND intra-refresh = 1 AND no-deblock = 1 AND bff = 1 AND no-chroma-me = 1 AND no-dct-decimate = 1 AND opencl = 1,workload==0,0,0.1821897810218978,0.1002248634757468,1.0,16,0.4934597015380859
1,25.80275026906084,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,17,0.8944783210754395
2,65.4161597079335,912,no-mbtree = 1 AND dts-compress = 1,no-mbtree==1 AND dts-compress==1,0,1.0,1.0,1.0,17,1.265530347824097
3,52.751632480585,796,no-8x8dct = 1 AND no-mixed-refs = 1 AND non-deterministic = 1,no-8x8dct==1 AND no-mixed-refs==1 AND non-deterministic==1,0,1.0,1.0,1.0,17,1.6474037170410156
4,24.944832917827156,481,no-chroma-me = 1 AND no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-chroma-me==1 AND no-mbtree==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,17,1.8506805896759035
5,45.81130815418848,410,bff = 1 AND no-fast-pskip = 1 AND no-weightb = 1 AND no-asm = 1 AND aud = 1,no-asm==1,3,0.4055390702274975,0.2543424317617866,1.0,17,0.5795004367828369
6,80.88913021097119,384,no-scenecut = 1 AND open-gop = 1 AND constrained-intra = 1 AND no-weightb = 1 AND non-deterministic = 1 AND no-asm = 1,workload==0,0,0.2196168144123534,0.1233536781239961,1.0,17,0.6058404445648193
7,39.99688415842152,262,slow-firstpass = 1 AND intra-refresh = 1 AND constrained-intra = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-mbtree = 1 AND cpu-independent = 1,non-deterministic==1,3,0.2394957983193277,0.1388550548112058,0.8702290076335878,17,0.577683687210083
1,87.69357132935323,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,18,0.804105281829834
2,89.65765936544115,847,no-dct-decimate = 1 AND cpu-independent = 1,no-dct-decimate==1 AND cpu-independent==1,0,1.0,1.0,1.0,18,1.1306114196777344
3,54.2675753227586,654,no-deblock = 1 AND no-chroma-me = 1 AND aud = 1,no-chroma-me==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,18,1.3396365642547607
4,60.3612093595791,591,no-scenecut = 1 AND intra-refresh = 1 AND no-chroma-me = 1 AND dts-compress = 1,no-chroma-me==1 AND no-scenecut==1 AND dts-compress==1 AND intra-refresh==1,0,1.0,1.0,1.0,18,1.7047274112701416
5,75.2273015133812,449,intra-refresh = 1 AND tff = 1 AND no-chroma-me = 1 AND no-dct-decimate = 1 AND no-asm = 1,workload==0,0,0.2521055586749017,0.1442338580147767,1.0,18,0.5636522769927979
6,25.33309198628778,317,slow-firstpass = 1 AND no-deblock = 1 AND no-chroma-me = 1 AND no-psy = 1 AND cpu-independent = 1 AND aud = 1,slow-firstpass==1,3,0.3197175995965708,0.1902761104441776,1.0,18,0.5206358432769775
7,41.46719147934278,302,slow-firstpass = 1 AND no-scenecut = 1 AND intra-refresh = 1 AND no-chroma-me = 1 AND no-psy = 1 AND no-mbtree = 1 AND aud = 1,slow-firstpass==1,3,0.3069105691056911,0.1812725090036014,1.0,18,0.5261111259460449
1,69.46695679179967,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,19,0.7659435272216797
2,14.8784505238512,916,no-mixed-refs = 1 AND aud = 1,no-mixed-refs==1 AND aud==1,0,1.0,1.0,1.0,19,1.100036859512329
3,39.13378643264433,711,intra-refresh = 1 AND bff = 1 AND no-8x8dct = 1,no-8x8dct==1 AND intra-refresh==1 AND bff==1,0,1.0,1.0,1.0,19,1.4443914890289309
4,89.27758851633433,508,constrained-intra = 1 AND no-weightb = 1 AND cpu-independent = 1 AND no-asm = 1,no-weightb==1 AND cpu-independent==1 AND no-asm==1 AND constrained-intra==1,0,1.0,1.0,1.0,19,1.561018943786621
5,32.05811594541161,398,slow-firstpass = 1 AND constrained-intra = 1 AND no-mbtree = 1 AND pic-struct = 1 AND cpu-independent = 1,slow-firstpass==1 AND no-mbtree==1 AND pic-struct==1 AND cpu-independent==1 AND constrained-intra==1,0,1.0,1.0,1.0,19,1.212756633758545
6,88.96388883955981,376,intra-refresh = 1 AND bff = 1 AND no-chroma-me = 1 AND pic-struct = 1 AND aud = 1 AND dts-compress = 1,workload==0,0,0.2155345371166523,0.1207838098297462,1.0,19,0.5448203086853027
7,45.398403345044144,354,slow-firstpass = 1 AND no-scenecut = 1 AND intra-refresh = 1 AND bff = 1 AND no-asm = 1 AND dts-compress = 1 AND opencl = 1,slow-firstpass==1,3,0.3504950495049505,0.212484993997599,1.0,19,0.4979918003082275
1,7.912075977571574,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,2,0.7784271240234375
2,62.762873743648846,266,no-weightb = 1 AND sliced-threads = 1,no-weightb==1 AND sliced-threads==1,0,1.0,1.0,1.0,2,0.9512012004852296
3,46.48061651871871,704,no-deblock = 1 AND no-8x8dct = 1 AND no-asm = 1,no-8x8dct==1 AND no-asm==1 AND no-deblock==1,0,1.0,1.0,1.0,2,1.3486659526824951
4,70.48984180630272,600,no-chroma-me = 1 AND no-psy = 1 AND pic-struct = 1 AND non-deterministic = 1,no-chroma-me==1 AND no-psy==1 AND pic-struct==1 AND non-deterministic==1,0,1.0,1.0,1.0,2,1.6456215381622314
5,19.328348594754765,547,no-scenecut = 1 AND intra-refresh = 1 AND no-8x8dct = 1 AND no-chroma-me = 1 AND pic-struct = 1,no-8x8dct==1 AND no-chroma-me==1 AND pic-struct==1 AND no-scenecut==1 AND intra-refresh==1,0,1.0,1.0,1.0,2,1.6499123573303225
6,27.008677364851764,422,no-scenecut = 1 AND open-gop = 1 AND no-cabac = 1 AND no-mixed-refs = 1 AND no-psy = 1 AND aud = 1,slow-firstpass==1,3,0.3409961685823754,0.2136854741896758,0.8436018957345972,2,0.5002233982086182
7,15.1522726013744,307,slow-firstpass = 1 AND no-scenecut = 1 AND intra-refresh = 1 AND no-chroma-me = 1 AND no-weightb = 1 AND no-dct-decimate = 1 AND aud = 1,no-dct-decimate==1,3,0.3234984193888303,0.1929604022627278,1.0,2,0.4995572566986084
1,91.4961428421589,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,20,0.7682590484619141
2,71.7676490804905,841,no-psy = 1 AND cpu-independent = 1,no-psy==1 AND cpu-independent==1,0,1.0,1.0,1.0,20,1.078358173370361
3,69.93358836508969,776,open-gop = 1 AND tff = 1 AND opencl = 1,opencl==1 AND open-gop==1 AND tff==1,0,1.0,1.0,1.0,20,1.3819248676300049
4,99.38752041264408,587,slow-firstpass = 1 AND no-scenecut = 1 AND no-8x8dct = 1 AND non-deterministic = 1,slow-firstpass==1 AND no-8x8dct==1 AND non-deterministic==1 AND no-scenecut==1,0,1.0,1.0,1.0,20,1.5928263664245603
5,84.94188967156762,513,no-chroma-me = 1 AND no-psy = 1 AND no-mbtree = 1 AND no-dct-decimate = 1 AND non-deterministic = 1,no-chroma-me==1 AND no-psy==1 AND no-mbtree==1 AND no-dct-decimate==1 AND non-deterministic==1,0,1.0,1.0,1.0,20,1.524289846420288
6,64.32367537114904,435,no-scenecut = 1 AND intra-refresh = 1 AND no-deblock = 1 AND bff = 1 AND no-mbtree = 1 AND no-dct-decimate = 1,workload==0,0,0.2452085682074408,0.1397365884998394,1.0,20,0.4973621368408203
7,41.76696938328922,294,slow-firstpass = 1 AND intra-refresh = 1 AND no-deblock = 1 AND tff = 1 AND no-dct-decimate = 1 AND non-deterministic = 1 AND cpu-independent = 1,tff==1,3,0.3137673425827107,0.1860759493670886,1.0,20,0.4986550807952881
1,69.97194994751212,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,21,0.752500057220459
2,102.44757639765878,219,no-psy = 1 AND sliced-threads = 1,workload==0,2,0.1314525810324129,0.0703501445550915,1.0,21,0.7431032657623291
3,81.97271043073906,623,open-gop = 1 AND tff = 1 AND cpu-independent = 1,cpu-independent==1 AND open-gop==1 AND tff==1,0,1.0,1.0,1.0,21,1.302366018295288
4,69.79521389538154,473,no-cabac = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND cpu-independent = 1,no-8x8dct==1 AND cpu-independent==1 AND no-cabac==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,21,1.5065720081329346
5,46.6673764765136,502,intra-refresh = 1 AND open-gop = 1 AND bff = 1 AND dts-compress = 1 AND opencl = 1,dts-compress==1 AND opencl==1 AND intra-refresh==1 AND open-gop==1 AND bff==1,0,1.0,1.0,1.0,21,1.4475018978118896
6,25.83080900119695,476,slow-firstpass = 1 AND no-8x8dct = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND pic-struct = 1 AND opencl = 1,slow-firstpass==1 AND no-8x8dct==1 AND no-chroma-me==1 AND no-mixed-refs==1 AND pic-struct==1 AND opencl==1,0,1.0,1.0,1.0,21,1.3049161434173584
7,17.83115276073285,297,slow-firstpass = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-dct-decimate = 1 AND cpu-independent = 1 AND no-asm = 1 AND aud = 1,slow-firstpass==1,3,0.3025980641874681,0.1782713085234093,1.0,21,0.5008893013000488
1,99.2063195941173,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,22,0.7372643947601318
2,20.95737027320711,849,no-scenecut = 1 AND cpu-independent = 1,cpu-independent==1 AND no-scenecut==1,0,1.0,1.0,1.0,22,1.0393667221069336
3,96.18689885243664,756,no-deblock = 1 AND no-mixed-refs = 1 AND no-dct-decimate = 1,no-mixed-refs==1 AND no-dct-decimate==1 AND no-deblock==1,0,1.0,1.0,1.0,22,1.3415184020996094
4,98.15113497421146,167,no-scenecut = 1 AND intra-refresh = 1 AND bff = 1 AND sliced-threads = 1,workload==0,2,0.1018292682926829,0.053646000642467,1.0,22,0.628288745880127
5,99.93343070333724,478,no-scenecut = 1 AND tff = 1 AND bff = 1 AND non-deterministic = 1 AND opencl = 1,workload==0,2,0.2662211083263714,0.1535496305814327,1.0,22,0.6045331954956055
6,93.55477031655988,336,slow-firstpass = 1 AND open-gop = 1 AND no-8x8dct = 1 AND no-chroma-me = 1 AND no-psy = 1 AND cpu-independent = 1,workload==0,0,0.1948390837924035,0.1079344683584966,1.0,22,0.5404984951019287
7,74.15344179195465,277,slow-firstpass = 1 AND no-scenecut = 1 AND no-deblock = 1 AND no-8x8dct = 1 AND no-psy = 1 AND no-weightb = 1 AND dts-compress = 1,workload==0,0,0.1634218289085545,0.0889816896884034,1.0,22,0.4866514205932617
1,70.67888755289214,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,23,0.7517170906066895
2,45.16142654892206,914,no-chroma-me = 1 AND aud = 1,no-chroma-me==1 AND aud==1,0,1.0,1.0,1.0,23,1.074188232421875
3,50.9809004407209,711,intra-refresh = 1 AND no-chroma-me = 1 AND no-asm = 1,no-chroma-me==1 AND no-asm==1 AND intra-refresh==1,0,1.0,1.0,1.0,23,1.322929620742798
4,64.91536245661749,559,slow-firstpass = 1 AND intra-refresh = 1 AND no-mbtree = 1 AND pic-struct = 1,slow-firstpass==1 AND no-mbtree==1 AND pic-struct==1 AND intra-refresh==1,0,1.0,1.0,1.0,23,1.4991376399993896
5,30.394059394202998,491,no-deblock = 1 AND tff = 1 AND constrained-intra = 1 AND no-psy = 1 AND opencl = 1,no-psy==1 AND opencl==1 AND no-deblock==1 AND tff==1 AND constrained-intra==1,0,1.0,1.0,1.0,23,1.5077497959136963
6,95.00188598367303,388,intra-refresh = 1 AND open-gop = 1 AND bff = 1 AND constrained-intra = 1 AND no-8x8dct = 1 AND aud = 1,workload==0,0,0.2216509568694658,0.1246386122711211,1.0,23,0.5703325271606445
7,59.487350414514935,326,slow-firstpass = 1 AND open-gop = 1 AND no-mixed-refs = 1 AND no-psy = 1 AND no-mbtree = 1 AND pic-struct = 1 AND opencl = 1,workload==0,0,0.1895899970921779,0.1047221329906842,1.0,23,0.4894545078277588
1,46.65826539076031,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,24,0.8619568347930908
2,104.5672377425905,933,intra-refresh = 1 AND no-8x8dct = 1,no-8x8dct==1 AND intra-refresh==1,0,1.0,1.0,1.0,24,1.276961326599121
3,75.27049221450542,803,slow-firstpass = 1 AND open-gop = 1 AND pic-struct = 1,slow-firstpass==1 AND pic-struct==1 AND open-gop==1,0,1.0,1.0,1.0,24,1.5316479206085205
4,44.4286369112024,534,no-8x8dct = 1 AND no-psy = 1 AND non-deterministic = 1 AND dts-compress = 1,no-8x8dct==1 AND no-psy==1 AND non-deterministic==1 AND dts-compress==1,0,1.0,1.0,1.0,24,1.622138738632202
5,68.84994556488294,424,bff = 1 AND no-chroma-me = 1 AND no-weightb = 1 AND aud = 1 AND dts-compress = 1,workload==0,0,0.2397512015832626,0.1362030195952457,1.0,24,0.5688529014587402
6,89.78623185607617,365,intra-refresh = 1 AND tff = 1 AND constrained-intra = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND aud = 1,workload==0,0,0.2098907418056354,0.1172502409251525,1.0,24,0.6161596775054932
7,105.87455860672314,367,slow-firstpass = 1 AND no-cabac = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-mixed-refs = 1 AND no-psy = 1 AND pic-struct = 1,workload==0,4,0.210919540229885,0.117892707998715,1.0,24,0.6776857376098633
1,17.592036343167848,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,25,0.7523298263549805
2,85.08484511557721,239,constrained-intra = 1 AND sliced-threads = 1,sliced-threads==1 AND constrained-intra==1,0,1.0,1.0,1.0,25,1.0433883666992188
3,59.54254691299094,715,no-scenecut = 1 AND no-8x8dct = 1 AND no-weightb = 1,no-8x8dct==1 AND no-weightb==1 AND no-scenecut==1,0,1.0,1.0,1.0,25,1.3753886222839355
4,101.6400505507688,554,intra-refresh = 1 AND open-gop = 1 AND constrained-intra = 1 AND cpu-independent = 1,cpu-independent==1 AND intra-refresh==1 AND open-gop==1 AND constrained-intra==1,0,1.0,1.0,1.0,25,1.6321563720703125
