n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,2.208052039434128,269,model_validate = 1 AND unsat_core = 1,unsat_core==1 AND model_validate==1,0,1.0,1.0,1.0,0,0.3528597354888916
3,4.108212910769648,142,dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core==1 AND dump_models==1 AND smtlib2_compliant==1,0,1.0,1.0,1.0,0,0.3489601612091064
4,3.517283643082916,106,model = 1 AND model_validate = 1 AND stats = 1 AND unsat_core = 1,unsat_core==1 AND model==1 AND model_validate==1 AND stats==1,0,1.0,1.0,1.0,0,0.4340436458587646
5,3.6929318549450656,66,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1,model==1,3,0.2211055276381909,0.1242937853107344,1.0,0,0.1638116836547851
6,4.53336422989852,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,workload==0,0,0.0979284369114877,0.0514851485148514,1.0,0,0.164271593093872
2,3.134771938771626,276,proof = 1 AND stats = 1,proof==1 AND stats==1,0,1.0,1.0,1.0,1,0.3663074970245361
3,2.1242796555143397,196,debug_ref_count = 1 AND stats = 1 AND type_check = 1,debug_ref_count==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,1,0.3503949642181396
4,4.067832749481585,71,auto_config = 1 AND model = 1 AND type_check = 1 AND well_sorted_check = 1,type_check==1,3,0.2286634460547504,0.1290909090909091,1.0,1,0.1719770431518554
5,2.1290670676144647,66,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model_validate = 1 AND proof = 1,model==1,3,0.1608040201005025,0.0903954802259887,0.7272727272727273,1,0.1773691177368164
6,2.2511191075428605,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,workload==0,0,0.0979284369114877,0.0514851485148514,1.0,1,0.1721417903900146
2,2.784330077679612,295,auto_config = 1 AND model = 1,auto_config==1 AND model==1,0,1.0,1.0,1.0,10,0.3501965999603271
3,4.061639289796334,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10,0.3606300354003906
4,4.045596505176476,112,debug_ref_count = 1 AND stats = 1 AND trace = 1 AND type_check = 1,debug_ref_count==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,10,0.4309451580047607
5,1.927301184264807,79,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND type_check = 1,type_check==1,3,0.2511923688394277,0.1436363636363636,1.0,10,0.1683809757232666
6,4.223511940849457,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,type_check==1,3,0.1727574750830564,0.0945454545454545,1.0,10,0.1695568561553955
2,3.772239271452453,260,smtlib2_compliant = 1 AND trace = 1,smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,11,0.3565554618835449
3,2.109166483378781,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND trace==1,0,1.0,1.0,1.0,11,0.3570549488067627
4,3.49159616944229,104,model_validate = 1 AND proof = 1 AND trace = 1 AND type_check = 1,type_check==1,3,0.3180428134556575,0.1890909090909091,1.0,11,0.1664702892303466
5,3.523982222388478,68,model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,unsat_core==1,3,0.2229508196721311,0.1254612546125461,1.0,11,0.1654455661773681
6,4.103099023518128,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,workload==0,0,0.0997177798682972,0.0524752475247524,1.0,11,0.1649534702301025
2,4.253718973144405,297,auto_config = 1 AND type_check = 1,auto_config==1 AND type_check==1,0,1.0,1.0,1.0,12,0.3340833187103271
3,3.265074066346477,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12,0.3685340881347656
4,2.403756535146042,83,auto_config = 1 AND dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core==1,3,0.2656,0.1531365313653136,1.0,12,0.1731154918670654
5,3.496157850655892,70,debug_ref_count = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,stats==1,3,0.231023102310231,0.1305970149253731,1.0,12,0.1671435832977295
6,3.214532621376107,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,model==1,3,0.1815068493150685,0.0998116760828625,1.0,12,0.1674368381500244
2,2.709820132455402,286,proof = 1 AND unsat_core = 1,unsat_core==1 AND proof==1,0,1.0,1.0,1.0,13,0.3298184871673584
3,2.049535269927972,97,dump_models = 1 AND trace = 1 AND well_sorted_check = 1,workload==0,0,0.1752484191508581,0.096039603960396,1.0,13,0.164076566696167
4,2.872285564941968,121,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model = 1,auto_config==1 AND debug_ref_count==1 AND dump_models==1 AND model==1,0,1.0,1.0,1.0,13,0.3178462982177734
