n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2574679851531982
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2.3514082431793213
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2.356687545776367
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.855723381042481
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.528993844985962
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,4.209123849868774
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.7983288764953613
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,2.7973921298980717
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,2.8260271549224854
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5.056793212890625
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,5.163156509399414
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,4.818037748336792
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.313528537750244
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2.2703044414520264
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,2.20269513130188
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.4137988090515137
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,3.795839071273804
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,3.6436691284179688
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.237492799758911
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,4.330568313598633
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,4.110181570053101
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.343235492706299
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,2.186442375183105
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,2.304755210876465
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.3726108074188232
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,2.3508856296539307
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,2.2428858280181885
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.5416648387908936
