n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6794617176055908
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.6695370674133301
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.6759545803070068
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.820775032043457
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.841986894607544
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.8269898891448975
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.7640082836151123
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.7214913368225098
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.7191247940063477
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6925151348114014
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.7044477462768555
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.7078278064727783
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.7596609592437744
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.7160015106201172
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.7491693496704102
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.6745216846466064
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.6904134750366211
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.682344913482666
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.704723596572876
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.7398495674133301
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.7209367752075195
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.6858508586883545
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.686392068862915
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.681877613067627
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.8141098022460938
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.7988617420196533
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.7968432903289795
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6581921577453613
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.6471102237701416
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.6713368892669678
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7671248912811279
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.7504963874816895
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.7655379772186279
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.7654609680175781
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.7751600742340088
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.7722442150115967
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7300159931182861
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.7296552658081055
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.7497704029083252
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.6944644451141357
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.7542977333068848
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.7368795871734619
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.6793270111083984
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.7158069610595703
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.6942148208618164
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.6956257820129395
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.6932234764099121
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.7168009281158447
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.7446815967559814
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.7405898571014404
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.7252461910247803
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.7128200531005859
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.7344725131988525
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.7211833000183105
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.7149035930633545
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.7124354839324951
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.7352259159088135
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.6952428817749023
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.7227320671081543
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,0.7173116207122803
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.717825174331665
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.7539894580841064
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,0.7596604824066162
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.6979718208312988
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.7143621444702148
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,0.7176859378814697
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.749840497970581
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.7439367771148682
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,0.7283205986022949
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.719038724899292
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.7295401096343994
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,0.7326819896697998
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.7107701301574707
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.7396352291107178
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,0.7085294723510742
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.7098133563995361
