n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3432486057281494
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2.446791410446167
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2.6768579483032227
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4607603549957275
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.3593850135803223
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,2.472750663757324
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.606104612350464
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,2.616952896118164
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,2.6315484046936035
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.33796763420105
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2.270746946334839
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,2.573181629180908
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.297850608825684
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2.372412919998169
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12,2.3122520446777344
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.411365270614624
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,2.368028163909912
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,2.444720268249512
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.269444227218628
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,2.3268139362335205
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,2.2490134239196777
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.3474233150482178
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,2.530160903930664
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,2.5325522422790527
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.3457820415496826
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,2.249200820922852
