n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.460319757461548
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,5.5993492603302
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5.521877288818359
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.386981248855591
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,5.767443656921387
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,5.752978324890137
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6.275137662887573
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,6.4713661670684814
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,6.812210559844971
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.994479179382324
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,4.013976573944092
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11,4.080541372299194
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6.118467807769775
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,7.322205305099487
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,12,7.053279638290405
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5.713497161865234
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,6.007978916168213
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,5.467092275619507
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,9.373470783233644
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,10.188161373138428
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14,9.881744146347046
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7.629798173904419
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,7.53579044342041
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15,7.783593654632568
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8.87792444229126
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,8.930548906326294
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,9.873650550842283
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,7.977871179580688
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,8.056852340698242
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,8.420295715332031
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7.825550317764282
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,7.5519938468933105
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,18,7.562554597854614
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,8.653457641601562
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,8.985533475875854
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,8.847739219665527
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9.448344707489014
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,10.1091468334198
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,9.91182804107666
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,8.444756269454956
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,9.251620769500732
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20,8.96400499343872
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,10.998783349990845
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,10.31505250930786
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21,10.6979820728302
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,9.03434920310974
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,9.5855975151062
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22,9.194446802139282
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,11.43044376373291
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,11.504471778869627
