n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.3838481903076172
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.3729844093322754
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.366593599319458
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.3933672904968261
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.389340877532959
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.4139168262481689
1,1.0,1.0,1.0,0,0,0,0,0,0,14,0.3865950107574463
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.3833882808685303
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.3762514591217041
1,1.0,1.0,1.0,0,0,0,0,0,0,17,0.3886647224426269
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.4517068862915039
1,1.0,1.0,1.0,0,0,0,0,0,0,19,0.4038822650909424
1,1.0,1.0,1.0,0,0,0,0,0,0,2,0.3632295131683349
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.3731911182403564
1,1.0,1.0,1.0,0,0,0,0,0,0,21,0.4266891479492187
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.4221422672271728
1,1.0,1.0,1.0,0,0,0,0,0,0,23,0.3891987800598144
1,1.0,1.0,1.0,0,0,0,0,0,0,24,0.3706133365631103
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.3892688751220703
1,1.0,1.0,1.0,0,0,0,0,0,0,26,0.3822519779205322
1,1.0,1.0,1.0,0,0,0,0,0,0,27,0.3979542255401611
1,1.0,1.0,1.0,0,0,0,0,0,0,28,0.409175157546997
1,1.0,1.0,1.0,0,0,0,0,0,0,29,0.3707807064056396
1,1.0,1.0,1.0,0,0,0,0,0,0,3,0.3737716674804687
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.3681178092956543
1,1.0,1.0,1.0,0,0,0,0,0,0,31,0.3853669166564941
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.3832597732543945
1,1.0,1.0,1.0,0,0,0,0,0,0,33,0.3888003826141357
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.3808424472808838
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.3767881393432617
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.3958668708801269
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.4229550361633301
1,1.0,1.0,1.0,0,0,0,0,0,0,38,0.3634545803070068
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.3952229022979736
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.3713304996490478
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.4304533004760742
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.3726441860198974
1,1.0,1.0,1.0,0,0,0,0,0,0,42,0.3949577808380127
1,1.0,1.0,1.0,0,0,0,0,0,0,43,0.368389368057251
1,1.0,1.0,1.0,0,0,0,0,0,0,44,0.3714783191680908
1,1.0,1.0,1.0,0,0,0,0,0,0,45,0.3714978694915771
1,1.0,1.0,1.0,0,0,0,0,0,0,46,0.3801612854003906
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.4022128582000732
1,1.0,1.0,1.0,0,0,0,0,0,0,48,0.3735597133636474
1,1.0,1.0,1.0,0,0,0,0,0,0,49,0.3977119922637939
1,1.0,1.0,1.0,0,0,0,0,0,0,5,0.3907811641693115
1,1.0,1.0,1.0,0,0,0,0,0,0,50,0.380300760269165
1,1.0,1.0,1.0,0,0,0,0,0,0,51,0.4001717567443847
1,1.0,1.0,1.0,0,0,0,0,0,0,52,0.3840465545654297
1,1.0,1.0,1.0,0,0,0,0,0,0,53,0.386610746383667
1,1.0,1.0,1.0,0,0,0,0,0,0,54,0.4001078605651855
1,1.0,1.0,1.0,0,0,0,0,0,0,55,0.4322571754455566
1,1.0,1.0,1.0,0,0,0,0,0,0,56,0.3929128646850586
1,1.0,1.0,1.0,0,0,0,0,0,0,57,0.3872389793395996
1,1.0,1.0,1.0,0,0,0,0,0,0,58,0.3672084808349609
1,1.0,1.0,1.0,0,0,0,0,0,0,59,0.391791820526123
1,1.0,1.0,1.0,0,0,0,0,0,0,6,0.3881831169128418
1,1.0,1.0,1.0,0,0,0,0,0,0,60,0.3843531608581543
1,1.0,1.0,1.0,0,0,0,0,0,0,61,0.3795433044433594
1,1.0,1.0,1.0,0,0,0,0,0,0,62,0.3967854976654053
1,1.0,1.0,1.0,0,0,0,0,0,0,63,0.3745200634002685
1,1.0,1.0,1.0,0,0,0,0,0,0,64,0.4228432178497314
1,1.0,1.0,1.0,0,0,0,0,0,0,65,0.3594400882720947
1,1.0,1.0,1.0,0,0,0,0,0,0,66,0.3871362209320068
1,1.0,1.0,1.0,0,0,0,0,0,0,67,0.3720417022705078
1,1.0,1.0,1.0,0,0,0,0,0,0,68,0.3772084712982178
1,1.0,1.0,1.0,0,0,0,0,0,0,69,0.3643934726715088
1,1.0,1.0,1.0,0,0,0,0,0,0,7,0.360098123550415
1,1.0,1.0,1.0,0,0,0,0,0,0,70,0.3666808605194092
1,1.0,1.0,1.0,0,0,0,0,0,0,71,0.382051944732666
1,1.0,1.0,1.0,0,0,0,0,0,0,72,0.357515811920166
1,1.0,1.0,1.0,0,0,0,0,0,0,73,0.3746771812438965
1,1.0,1.0,1.0,0,0,0,0,0,0,74,0.4677522182464599
1,1.0,1.0,1.0,0,0,0,0,0,0,75,0.3777520656585693
1,1.0,1.0,1.0,0,0,0,0,0,0,76,0.4201369285583496
1,1.0,1.0,1.0,0,0,0,0,0,0,77,0.3635833263397217
1,1.0,1.0,1.0,0,0,0,0,0,0,78,0.3816239833831787
1,1.0,1.0,1.0,0,0,0,0,0,0,79,0.4131076335906982
1,1.0,1.0,1.0,0,0,0,0,0,0,8,0.3610196113586426
1,1.0,1.0,1.0,0,0,0,0,0,0,80,0.4791224002838135
1,1.0,1.0,1.0,0,0,0,0,0,0,81,0.3816032409667969
1,1.0,1.0,1.0,0,0,0,0,0,0,82,0.3737266063690185
1,1.0,1.0,1.0,0,0,0,0,0,0,83,0.3713927268981933
1,1.0,1.0,1.0,0,0,0,0,0,0,84,0.3982737064361572
1,1.0,1.0,1.0,0,0,0,0,0,0,85,0.3579621315002441
1,1.0,1.0,1.0,0,0,0,0,0,0,86,0.3799095153808594
1,1.0,1.0,1.0,0,0,0,0,0,0,87,0.36995530128479
1,1.0,1.0,1.0,0,0,0,0,0,0,88,0.3630311489105224
1,1.0,1.0,1.0,0,0,0,0,0,0,89,0.390958309173584
1,1.0,1.0,1.0,0,0,0,0,0,0,9,0.3887677192687988
1,1.0,1.0,1.0,0,0,0,0,0,0,90,0.383890151977539
1,1.0,1.0,1.0,0,0,0,0,0,0,91,0.3888595104217529
1,1.0,1.0,1.0,0,0,0,0,0,0,92,0.3893909454345703
1,1.0,1.0,1.0,0,0,0,0,0,0,93,0.3791756629943847
1,1.0,1.0,1.0,0,0,0,0,0,0,94,0.3567209243774414
1,1.0,1.0,1.0,0,0,0,0,0,0,95,0.3903095722198486
1,1.0,1.0,1.0,0,0,0,0,0,0,96,0.4041733741760254
1,1.0,1.0,1.0,0,0,0,0,0,0,97,0.3659632205963135
1,1.0,1.0,1.0,0,0,0,0,0,0,98,0.3857288360595703
1,1.0,1.0,1.0,0,0,0,0,0,0,99,0.3652892112731933
