n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.929955959320068
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.793030023574829
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.8811235427856445
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.148674726486206
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,9.124317407608032
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.972546815872192
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.161478996276856
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.284704446792602
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6.860017776489258
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,7.150181770324707
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,6.957015752792358
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,7.015819549560547
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11.755347490310667
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,10.888812065124512
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,9.5987069606781
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11.623180866241457
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11.119707107543944
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,10.668720722198486
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,12.076783657073976
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,11.65938115119934
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,11.442211866378784
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,11.849341630935667
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,11.786396980285645
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,11.601986646652222
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7.380072593688965
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,7.031960248947144
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,6.431288719177246
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,11.768674612045288
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,11.414979934692385
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,10.444340705871582
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8.360767364501953
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,8.483036994934082
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,8.07897663116455
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7.303466796875
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,6.8633410930633545
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,6.38168215751648
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9.675605535507202
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,9.839973449707031
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,9.818257093429564
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7.725459814071655
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,7.681099891662598
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,7.304542779922485
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7.599873065948486
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,8.181360721588135
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,8.198963642120361
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,12.935648441314695
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,12.938378810882568
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,13.35013747215271
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,13.430396795272827
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,11.96039366722107
3,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1.0,1.0,23,12.347234725952148
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6.100569486618042
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,5.716119766235352
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,5.471307516098023
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,13.351030588150024
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,12.730595588684082
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,12.52844762802124
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,14.481293678283691
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,13.517749786376951
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,13.21052885055542
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,8.49203872680664
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,8.662307739257812
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,8.10812497138977
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,7.586829423904419
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,7.798268795013428
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,7.633604526519775
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,13.975375652313232
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,12.730173110961914
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29,11.878264904022217
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8.5417320728302
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8.89953351020813
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8.996993780136108
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,13.063446760177612
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,13.445580959320068
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,12.73027205467224
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,8.331793308258057
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,7.867108345031738
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,7.414627313613892
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,13.290224313735962
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,13.454075813293455
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32,12.866966009140016
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,9.278217315673828
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,8.625404834747314
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,33,7.689516305923462
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,13.5474693775177
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,12.6554536819458
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,12.617279052734377
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,13.352789402008057
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12.951724290847778
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12.961510181427002
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,8.874868154525757
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,8.570003747940063
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,7.917056560516357
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,13.956587314605711
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37,12.941516876220703
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,12.3907573223114
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,13.312093257904053
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,13.056607723236084
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,12.569223165512083
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,9.813825845718384
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,8.777620315551758
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,9.503878116607666
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.734797239303589
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,9.93058443069458
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,9.116455793380736
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,12.479901313781738
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40,11.939341068267822
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40,11.20057988166809
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,9.289173364639282
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,9.00498914718628
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,9.328510284423828
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,15.525030612945557
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,42,14.792017459869385
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,42,14.631625652313232
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,14.876837730407717
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43,15.199708461761476
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43,14.595900058746338
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,13.273804664611816
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44,11.701233625411987
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44,11.592315196990969
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,7.777574300765991
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,45,7.811010360717773
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,45,8.390903949737549
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,8.186006784439087
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,7.955912351608276
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,46,7.7356648445129395
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,6.829082727432251
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,6.780552387237549
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,6.5566489696502686
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,7.090415716171265
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,48,6.922708988189697
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,48,6.454789876937866
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49,8.696683645248413
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,49,7.970029830932617
3,0.1052631578947368,0.1,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,49,8.325144529342651
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.231455087661743
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.433354377746582
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.399117708206177
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,6.080754995346069
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,50,5.948670387268066
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,5.761355876922607
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,7.954652547836304
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,8.239762544631958
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,7.867654800415039
