n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2214086055755615
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.2168390750885009
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.2176775932312011
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2179975509643554
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.2088477611541748
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2135236263275146
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.230457067489624
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.2287893295288086
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0.2363691329956054
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.239248514175415
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.2419490814208984
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0.2271487712860107
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.2329323291778564
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.2327024936676025
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0.2293074131011963
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.2232294082641601
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.2154898643493652
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,0.20723557472229
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.2317123413085937
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.2359521389007568
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.2233016490936279
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.2253956794738769
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.2477650642395019
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.2313604354858398
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.2312626838684082
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.2328248023986816
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.2466745376586914
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.2782073020935058
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.2723276615142822
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0.2630262374877929
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.24554443359375
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.2816371917724609
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0.2661244869232178
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.2252840995788574
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.2360384464263916
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.2346913814544677
