n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4296548366546631
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.4530694484710693
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.4418609142303467
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4333217144012451
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.4629709720611572
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.449674129486084
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4656126499176025
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.4952414035797119
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.4969189167022705
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5049669742584229
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.4952619075775146
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.495474100112915
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.4451873302459717
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.463153600692749
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.4573159217834472
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.4210474491119385
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.4430537223815918
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.4307043552398681
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.4289507865905761
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.452202558517456
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.4500870704650879
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.440969705581665
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.4721615314483642
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.4505138397216797
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.4205577373504638
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.4290506839752197
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.4299709796905517
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.4500682353973388
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.4785935878753662
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.4754197597503662
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.4438502788543701
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.4391975402832031
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.4462382793426513
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.4410145282745361
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.4573655128479004
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.4475553035736084
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4687690734863281
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.4821507930755615
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.4887385368347168
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.427825927734375
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.4394929409027099
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.4347517490386963
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.4403243064880371
