n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7818863391876221
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.8075454235076904
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.835843563079834
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8042514324188232
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.8179371356964111
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.8024656772613525
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.7441446781158447
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.7696921825408936
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.7670779228210449
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7252576351165771
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.824347734451294
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.8007502555847168
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.8333799839019775
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.8235995769500732
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.8269438743591309
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.8048574924468994
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.7024044990539551
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.8407688140869141
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8020758628845215
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.8545794486999512
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.8766608238220215
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.9388768672943116
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.9686834812164308
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.7875692844390869
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.7714006900787354
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.7724475860595703
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.7932138442993164
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.760124683380127
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.7857263088226318
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.800006628036499
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7819058895111084
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.8018536567687988
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.8159222602844238
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.920680284500122
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.924501895904541
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.913926124572754
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7894401550292969
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.7877514362335205
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.8061375617980957
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.8173375129699707
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.8783743381500244
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.8685283660888672
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.7532553672790527
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.7777273654937744
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.7839498519897461
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.793353796005249
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.8205263614654541
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.6638545989990234
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.8009974956512451
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.8024940490722656
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.7988748550415039
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.768324613571167
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.7708272933959961
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.797288179397583
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.7792260646820068
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.831139087677002
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.8127427101135254
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.8295509815216064
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.8398230075836182
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,0.8531930446624756
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.7986335754394531
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.7058801651000977
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,0.7995617389678955
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.7829785346984863
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.7748372554779053
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,0.8140759468078613
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.791926383972168
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.767794132232666
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,0.6407623291015625
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.8273870944976807
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.8227930068969727
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,0.8467628955841064
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.7859382629394531
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.7929072380065918
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,0.6386251449584961
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.7983670234680176
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,0.791750431060791
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,0.7873797416687012
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.7763547897338867
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,0.7888994216918945
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32,0.778383731842041
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.7644374370574951
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33,0.7797448635101318
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33,0.7740654945373535
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.7621936798095703
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,0.8062341213226318
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34,0.7951829433441162
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.7509198188781738
2,0.0398912058023572,0.044,0.0364842454394693,1.0,1.0,1.0,0.0,0.0,0.0,35,0.7850761413574219
3,0.0,0.0,0.0,0.0766773162939297,0.082004555808656,0.072,1.0,1.0,1.0,35,0.7777509689331055
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.8104903697967529
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36,0.8296999931335449
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36,0.8373620510101318
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.7954840660095215
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,37,0.810218095779419
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,37,0.8204939365386963
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.7544987201690674
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38,0.7679073810577393
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38,0.7962477207183838
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.7762413024902344
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,0.7963624000549316
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39,0.8109395503997803
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8507599830627441
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.8989777565002441
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,0.916473150253296
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.7915167808532715
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40,0.7835843563079834
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40,0.7858331203460693
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.7341082096099854
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,41,0.8059594631195068
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,41,0.7625415325164795
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.7963452339172363
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,42,0.7914156913757324
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,42,0.795626163482666
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0.7524094581604004
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43,0.7964470386505127
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43,0.7922101020812988
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.7828147411346436
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,44,0.7994978427886963
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,44,0.8279128074645996
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.7884631156921387
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,45,0.8350858688354492
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45,0.7968442440032959
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.7781741619110107
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,46,0.8029143810272217
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,46,0.771965742111206
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.7486190795898438
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,47,0.7928149700164795
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,47,0.782942533493042
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.7854208946228027
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,48,0.7856745719909668
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,48,0.8006415367126465
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0.7867236137390137
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,49,0.8193686008453369
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,49,0.7963204383850098
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7511603832244873
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,0.8012900352478027
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,0.7684798240661621
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.7762830257415771
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,50,0.7627997398376465
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,0.7896311283111572
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.7815520763397217
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,51,0.8044295310974121
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51,0.812772274017334
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.7725415229797363
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52,0.8308591842651367
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52,0.8341391086578369
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.7247545719146729
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,53,0.7882504463195801
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53,0.8182504177093506
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.7750802040100098
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,54,0.8132350444793701
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54,0.778331995010376
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.7525386810302734
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,55,0.7792356014251709
