n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.337939977645874
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.3275959491729736
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.331648588180542
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.3265202045440674
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.3275651931762695
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.3446311950683594
1,1.0,1.0,1.0,0,0,0,0,0,0,14,0.3190946578979492
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.3313002586364746
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.3311741352081299
1,1.0,1.0,1.0,0,0,0,0,0,0,17,0.3878569602966308
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.3207261562347412
1,1.0,1.0,1.0,0,0,0,0,0,0,19,0.3219978809356689
1,1.0,1.0,1.0,0,0,0,0,0,0,2,0.3362984657287597
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.389862060546875
1,1.0,1.0,1.0,0,0,0,0,0,0,21,0.3357176780700683
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.339240550994873
1,1.0,1.0,1.0,0,0,0,0,0,0,23,0.2846157550811767
1,1.0,1.0,1.0,0,0,0,0,0,0,24,0.321216344833374
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.3210611343383789
1,1.0,1.0,1.0,0,0,0,0,0,0,26,0.3222954273223877
1,1.0,1.0,1.0,0,0,0,0,0,0,27,0.3017513751983642
1,1.0,1.0,1.0,0,0,0,0,0,0,28,0.3162260055541992
1,1.0,1.0,1.0,0,0,0,0,0,0,29,0.3287262916564941
1,1.0,1.0,1.0,0,0,0,0,0,0,3,0.3401241302490234
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.3411030769348144
1,1.0,1.0,1.0,0,0,0,0,0,0,31,0.3356518745422363
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.3606176376342773
1,1.0,1.0,1.0,0,0,0,0,0,0,33,0.3224503993988037
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.3400416374206543
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.2883954048156738
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.3536489009857178
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.2916581630706787
1,1.0,1.0,1.0,0,0,0,0,0,0,38,0.3238728046417236
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.3392453193664551
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.3372707366943359
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.3267688751220703
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.3461160659790039
1,1.0,1.0,1.0,0,0,0,0,0,0,42,0.3415751457214355
1,1.0,1.0,1.0,0,0,0,0,0,0,43,0.3419210910797119
1,1.0,1.0,1.0,0,0,0,0,0,0,44,0.3280024528503418
1,1.0,1.0,1.0,0,0,0,0,0,0,45,0.3205182552337646
1,1.0,1.0,1.0,0,0,0,0,0,0,46,0.325601577758789
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.3305540084838867
1,1.0,1.0,1.0,0,0,0,0,0,0,48,0.330190896987915
1,1.0,1.0,1.0,0,0,0,0,0,0,49,0.3242161273956299
1,1.0,1.0,1.0,0,0,0,0,0,0,5,0.2960610389709472
1,1.0,1.0,1.0,0,0,0,0,0,0,50,0.2843282222747803
1,1.0,1.0,1.0,0,0,0,0,0,0,51,0.3332860469818115
1,1.0,1.0,1.0,0,0,0,0,0,0,52,0.2886872291564941
1,1.0,1.0,1.0,0,0,0,0,0,0,53,0.3260726928710937
1,1.0,1.0,1.0,0,0,0,0,0,0,54,0.3197920322418213
1,1.0,1.0,1.0,0,0,0,0,0,0,55,0.4054572582244873
1,1.0,1.0,1.0,0,0,0,0,0,0,56,0.2860724925994873
1,1.0,1.0,1.0,0,0,0,0,0,0,57,0.2996845245361328
1,1.0,1.0,1.0,0,0,0,0,0,0,58,0.3223297595977783
1,1.0,1.0,1.0,0,0,0,0,0,0,59,0.2950930595397949
1,1.0,1.0,1.0,0,0,0,0,0,0,6,0.3426861763000488
1,1.0,1.0,1.0,0,0,0,0,0,0,60,0.320932388305664
1,1.0,1.0,1.0,0,0,0,0,0,0,61,0.340449571609497
1,1.0,1.0,1.0,0,0,0,0,0,0,62,0.3748002052307129
1,1.0,1.0,1.0,0,0,0,0,0,0,63,0.2930278778076172
1,1.0,1.0,1.0,0,0,0,0,0,0,64,0.338937759399414
1,1.0,1.0,1.0,0,0,0,0,0,0,65,0.335763931274414
1,1.0,1.0,1.0,0,0,0,0,0,0,66,0.3224406242370605
1,1.0,1.0,1.0,0,0,0,0,0,0,67,0.287501573562622
1,1.0,1.0,1.0,0,0,0,0,0,0,68,0.33203125
1,1.0,1.0,1.0,0,0,0,0,0,0,69,0.3413577079772949
1,1.0,1.0,1.0,0,0,0,0,0,0,7,0.3462820053100586
1,1.0,1.0,1.0,0,0,0,0,0,0,70,0.3260116577148437
1,1.0,1.0,1.0,0,0,0,0,0,0,71,0.3332173824310303
1,1.0,1.0,1.0,0,0,0,0,0,0,72,0.3503003120422363
1,1.0,1.0,1.0,0,0,0,0,0,0,73,0.2821838855743408
1,1.0,1.0,1.0,0,0,0,0,0,0,74,0.2932302951812744
1,1.0,1.0,1.0,0,0,0,0,0,0,75,0.3309288024902344
1,1.0,1.0,1.0,0,0,0,0,0,0,76,0.3335416316986084
1,1.0,1.0,1.0,0,0,0,0,0,0,77,0.3545372486114502
1,1.0,1.0,1.0,0,0,0,0,0,0,78,0.2995827198028564
1,1.0,1.0,1.0,0,0,0,0,0,0,79,0.3288884162902832
1,1.0,1.0,1.0,0,0,0,0,0,0,8,0.3438405990600586
1,1.0,1.0,1.0,0,0,0,0,0,0,80,0.3404743671417236
1,1.0,1.0,1.0,0,0,0,0,0,0,81,0.3440513610839844
1,1.0,1.0,1.0,0,0,0,0,0,0,82,0.3381659984588623
1,1.0,1.0,1.0,0,0,0,0,0,0,83,0.3310544490814209
1,1.0,1.0,1.0,0,0,0,0,0,0,84,0.2945704460144043
1,1.0,1.0,1.0,0,0,0,0,0,0,85,0.3343386650085449
1,1.0,1.0,1.0,0,0,0,0,0,0,86,0.3262429237365722
1,1.0,1.0,1.0,0,0,0,0,0,0,87,0.3011441230773926
1,1.0,1.0,1.0,0,0,0,0,0,0,88,0.321791410446167
1,1.0,1.0,1.0,0,0,0,0,0,0,89,0.326723575592041
1,1.0,1.0,1.0,0,0,0,0,0,0,9,0.3224964141845703
1,1.0,1.0,1.0,0,0,0,0,0,0,90,0.325131893157959
1,1.0,1.0,1.0,0,0,0,0,0,0,91,0.3209531307220459
1,1.0,1.0,1.0,0,0,0,0,0,0,92,0.3213303089141845
1,1.0,1.0,1.0,0,0,0,0,0,0,93,0.3372149467468261
1,1.0,1.0,1.0,0,0,0,0,0,0,94,0.3299095630645752
1,1.0,1.0,1.0,0,0,0,0,0,0,95,0.341968297958374
1,1.0,1.0,1.0,0,0,0,0,0,0,96,0.3356003761291504
1,1.0,1.0,1.0,0,0,0,0,0,0,97,0.2799010276794433
1,1.0,1.0,1.0,0,0,0,0,0,0,98,0.3095817565917969
1,1.0,1.0,1.0,0,0,0,0,0,0,99,0.3354709148406982
