n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3091769218444824
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.3168952465057373
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.42181134223938
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5997624397277832
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.6561307907104492
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.7007598876953125
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.3653078079223633
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.364372730255127
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,1.4672009944915771
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.3952579498291016
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.353539228439331
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,1.4812710285186768
1,0.995967741935484,1.0,0.9919678714859438,0.0,0.0,0.0,0.0,0.0,0.0,12,1.4117844104766846
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,1.4259495735168457
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,1.3846285343170166
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.4448206424713137
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,1.413837194442749
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,1.5187711715698242
1,0.2215302491103203,0.1245622811405702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.7571444511413574
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.4491288661956787
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,1.6431856155395508
1,0.2251042149143121,0.1272251308900523,0.9759036144578314,0.0,0.0,0.0,0.0,0.0,0.0,15,0.7287003993988037
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,1.374887466430664
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,1.448357343673706
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.3959414958953855
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,1.4118080139160156
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,1.439215898513794
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.362762689590454
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1.3498146533966064
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,1.4378349781036377
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.550645112991333
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,1.695521593093872
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,1.6952309608459473
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.2912776470184326
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,1.343952178955078
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,1.393920660018921
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.3972299098968506
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,1.4616878032684326
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,1.3713724613189695
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.373932123184204
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,1.3857378959655762
