n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.3311672210693359
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.3179135322570801
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.3229632377624511
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.3039753437042236
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.3181228637695312
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.3319487571716308
1,1.0,1.0,1.0,0,0,0,0,0,0,14,0.3173747062683105
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.3120615482330322
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.3034689426422119
1,1.0,1.0,1.0,0,0,0,0,0,0,17,0.3136317729949951
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.3190529346466064
1,1.0,1.0,1.0,0,0,0,0,0,0,19,0.3201696872711181
1,1.0,1.0,1.0,0,0,0,0,0,0,2,0.3020486831665039
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.3245761394500732
1,1.0,1.0,1.0,0,0,0,0,0,0,21,0.2982296943664551
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.3155264854431152
1,1.0,1.0,1.0,0,0,0,0,0,0,23,0.3038125038146972
1,1.0,1.0,1.0,0,0,0,0,0,0,24,0.3030319213867187
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.3155946731567383
1,1.0,1.0,1.0,0,0,0,0,0,0,26,0.3443539142608642
1,1.0,1.0,1.0,0,0,0,0,0,0,27,0.3115499019622803
1,1.0,1.0,1.0,0,0,0,0,0,0,28,0.3300037384033203
1,1.0,1.0,1.0,0,0,0,0,0,0,29,0.3214921951293945
1,1.0,1.0,1.0,0,0,0,0,0,0,3,0.3171253204345703
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.3297724723815918
1,1.0,1.0,1.0,0,0,0,0,0,0,31,0.3144235610961914
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.3184669017791748
1,1.0,1.0,1.0,0,0,0,0,0,0,33,0.3041145801544189
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.3189036846160888
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.3027079105377197
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.3187119960784912
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.3305530548095703
1,1.0,1.0,1.0,0,0,0,0,0,0,38,0.3160429000854492
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.2769603729248047
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.3131167888641357
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.3061192035675049
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.3136117458343506
