sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,0
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,0
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,0
tri_modal_split,24192,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicyFootprintGoal==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,0
power_law,24192,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,0
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,10
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,10
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,10
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,10
power_law,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==0 AND UseAdaptiveSizePolicy==1,0,0.0,0.0,0.0,10
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,11
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,11
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,11
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,11
power_law,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveGCBoundary==1,0,1.0,1.0,1.0,11
normal,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,12
uniform,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,12
bi_modal_split,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,12
tri_modal_split,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,12
power_law,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,12
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,13
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,13
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,13
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,13
power_law,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,13
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,14
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,14
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,14
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,14
power_law,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,14
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,15
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,15
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,15
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,15
power_law,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC==1 AND UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1,0,1.0,1.0,1.0,15
normal,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,16
uniform,24192,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizeDecayMajorGCCost==1 AND UseAdaptiveSizePolicy==1 AND UseAdaptiveSizePolicyFootprintGoal==1,0,1.0,1.0,1.0,16
