sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,429,LZ = 1 AND checksum = 1 AND jobs = 8,checksum==1 AND jobs==8 AND LZ==1,0,1.0,1.0,1.0,0
uniform,606,SRT = 1 AND checksum = 1 AND RLT = 1,checksum==1 AND RLT==1 AND SRT==1,0,1.0,1.0,1.0,0
bi_modal_split,417,X86 = 1 AND checksum = 1 AND jobs = 8,MTFT6==1 AND checksum==1 AND jobs==8,0,1.0,1.0,1.0,0
tri_modal_split,585,BWTS = 1 AND SRT = 1 AND RLT = 1,RLT==1 AND BWTS==1 AND SRT==1,0,1.0,1.0,1.0,0
power_law,418,SRT = 1 AND checksum = 1 AND ROLZ = 1,checksum==1 AND ROLZ==1 AND SRT==1,0,1.0,1.0,1.0,0
normal,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,checksum==1 AND BWT==0 AND ANS0==0 AND ANS1==0,2,0.2854368932038834,0.2462311557788944,0.3394919168591224,10
uniform,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP==1 AND ROLZ==1 AND BWTS==1,0,1.0,1.0,1.0,10
bi_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP==1 AND ROLZ==1 AND BWTS==1,0,1.0,1.0,1.0,10
tri_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP==1 AND ROLZ==1 AND BWTS==1,0,1.0,1.0,1.0,10
power_law,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,MTFT6==0 AND ROLZ==1 AND Huffman==0 AND skip==0,4,0.1994535519125683,0.2441471571906354,0.1685912240184757,10
normal,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==1 AND BWTS==1 AND LZ==1,0,1.0,1.0,1.0,11
uniform,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==1 AND BWTS==1 AND LZ==1,0,1.0,1.0,1.0,11
bi_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==1 AND BWTS==1 AND LZ==1,0,1.0,1.0,1.0,11
tri_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==1 AND BWTS==1 AND LZ==1,0,1.0,1.0,1.0,11
power_law,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum==1 AND BWTS==1 AND LZ==1,0,1.0,1.0,1.0,11
normal,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip==1 AND LZ==1 AND MTFT==1,0,1.0,1.0,1.0,12
uniform,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip==1 AND LZ==1 AND MTFT==1,0,1.0,1.0,1.0,12
