sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,587,tff = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent==1 AND aud==1 AND tff==1,0,1.0,1.0,1.0,0
uniform,605,bff = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree==1 AND cpu-independent==1 AND bff==1,0,1.0,1.0,1.0,0
bi_modal_split,622,no-deblock = 1 AND no-weightb = 1 AND dts-compress = 1,no-weightb==1 AND dts-compress==1 AND no-deblock==1,0,1.0,1.0,1.0,0
tri_modal_split,593,no-weightb = 1 AND cpu-independent = 1 AND dts-compress = 1,no-weightb==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,0
power_law,599,no-fast-pskip = 1 AND no-weightb = 1 AND cpu-independent = 1,no-dct-decimate==1 AND no-asm==0 AND no-cabac==0 AND bff==0,3,0.0329531051964512,0.0684210526315789,0.021702838063439,0
normal,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree==1 AND cpu-independent==1 AND open-gop==1,0,1.0,1.0,1.0,10
uniform,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree==1 AND cpu-independent==1 AND open-gop==1,0,1.0,1.0,1.0,10
bi_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree==1 AND cpu-independent==1 AND open-gop==1,0,1.0,1.0,1.0,10
tri_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree==1 AND cpu-independent==1 AND open-gop==1,0,1.0,1.0,1.0,10
power_law,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree==1 AND cpu-independent==1 AND open-gop==1,0,1.0,1.0,1.0,10
normal,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,11
uniform,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,11
bi_modal_split,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,11
tri_modal_split,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,11
power_law,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent==1 AND aud==1 AND no-deblock==1,0,1.0,1.0,1.0,11
normal,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,12
uniform,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,12
bi_modal_split,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,12
tri_modal_split,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,12
power_law,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy==1 AND cpu-independent==1 AND dts-compress==1,0,1.0,1.0,1.0,12
