sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,160,model_validate = 1 AND proof = 1 AND trace = 1,unsat_core==1 AND debug_ref_count==1 AND dump_models==1 AND proof==1,3,0.3129770992366412,0.4019607843137255,0.25625,0
uniform,178,dump_models = 1 AND smtlib2_compliant = 1 AND stats = 1,debug_ref_count==0 AND dump_models==1 AND smtlib2_compliant==0 AND type_check==1,0,0.0,0.0,0.0,0
bi_modal_split,134,auto_config = 1 AND model_validate = 1 AND smtlib2_compliant = 1,auto_config==0 AND dump_models==1 AND proof==0 AND trace==1,0,0.0,0.0,0.0,0
tri_modal_split,167,debug_ref_count = 1 AND proof = 1 AND unsat_core = 1,well_sorted_check==1 AND dump_models==1 AND proof==1,2,0.3157894736842105,0.4242424242424242,0.2514970059880239,0
power_law,168,model = 1 AND stats = 1 AND trace = 1,model==1 AND trace==1,4,0.7466666666666666,0.5957446808510638,1.0,0
normal,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10
uniform,153,model_validate = 1 AND proof = 1 AND type_check = 1,auto_config==1 AND unsat_core==1 AND model_validate==1,3,0.3344051446945337,0.3291139240506329,0.3398692810457516,10
bi_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,auto_config==0 AND debug_ref_count==0 AND dump_models==1 AND proof==0,0,0.0,0.0,0.0,10
tri_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,auto_config==0 AND debug_ref_count==0 AND dump_models==1 AND proof==1,1,0.1592039800995024,0.3333333333333333,0.1045751633986928,10
power_law,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10
normal,160,model_validate = 1 AND proof = 1 AND trace = 1,auto_config==1 AND proof==1 AND trace==0,0,0.0,0.0,0.0,11
uniform,160,model_validate = 1 AND proof = 1 AND trace = 1,auto_config==1 AND model_validate==1 AND smtlib2_compliant==0 AND stats==1,1,0.2068965517241379,0.3333333333333333,0.15,11
bi_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,well_sorted_check==0 AND debug_ref_count==1 AND stats==0 AND type_check==1,4,0.1409691629955947,0.2388059701492537,0.1,11
tri_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND stats==1 AND trace==1,3,0.7596899224806202,1.0,0.6125,11
power_law,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND trace==1,0,1.0,1.0,1.0,11
normal,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,well_sorted_check==1 AND debug_ref_count==0 AND dump_models==0 AND stats==1,0,0.0,0.0,0.0,12
uniform,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
bi_modal_split,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
tri_modal_split,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,auto_config==1 AND unsat_core==0 AND stats==1 AND trace==0,0,0.0,0.0,0.0,12
power_law,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
normal,188,model = 1 AND trace = 1 AND type_check = 1,model==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,13
uniform,188,model = 1 AND trace = 1 AND type_check = 1,debug_ref_count==0 AND type_check==0,0,0.0,0.0,0.0,13
bi_modal_split,188,model = 1 AND trace = 1 AND type_check = 1,model==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,13
tri_modal_split,188,model = 1 AND trace = 1 AND type_check = 1,model==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,13
power_law,188,model = 1 AND trace = 1 AND type_check = 1,auto_config==1 AND well_sorted_check==0 AND stats==1 AND type_check==1,2,0.2838709677419355,0.360655737704918,0.2340425531914893,13
normal,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,unsat_core==0 AND dump_models==0 AND model==1 AND trace==0,0,0.0,0.0,0.0,14
uniform,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,unsat_core==1 AND debug_ref_count==1 AND model==1 AND smtlib2_compliant==0,0,0.0,0.0,0.0,14
bi_modal_split,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,14
tri_modal_split,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,14
power_law,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,14
normal,172,proof = 1 AND stats = 1 AND trace = 1,proof==0 AND stats==1 AND type_check==1,0,0.0,0.0,0.0,15
uniform,172,proof = 1 AND stats = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==0 AND stats==0 AND type_check==1,0,0.0,0.0,0.0,15
bi_modal_split,172,proof = 1 AND stats = 1 AND trace = 1,auto_config==1 AND unsat_core==0 AND well_sorted_check==1 AND smtlib2_compliant==0,4,0.0639269406392694,0.1489361702127659,0.0406976744186046,15
tri_modal_split,172,proof = 1 AND stats = 1 AND trace = 1,proof==1 AND stats==1 AND trace==1,2,1.0,1.0,1.0,15
power_law,172,proof = 1 AND stats = 1 AND trace = 1,proof==1 AND stats==1 AND trace==1,0,1.0,1.0,1.0,15
normal,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,well_sorted_check==0 AND debug_ref_count==1 AND model==1 AND proof==0,0,0.0,0.0,0.0,16
uniform,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,proof==1 AND smtlib2_compliant==1 AND stats==1,0,1.0,1.0,1.0,16
bi_modal_split,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1 AND type_check==0,2,0.1333333333333333,0.2098765432098765,0.0977011494252873,16
tri_modal_split,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,debug_ref_count==1 AND dump_models==1 AND smtlib2_compliant==1 AND stats==0,0,0.0,0.0,0.0,16
power_law,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,proof==1 AND smtlib2_compliant==1 AND stats==1,0,1.0,1.0,1.0,16
normal,150,model_validate = 1 AND proof = 1 AND smtlib2_compliant = 1,model_validate==1 AND proof==1 AND smtlib2_compliant==1,0,1.0,1.0,1.0,17
uniform,150,model_validate = 1 AND proof = 1 AND smtlib2_compliant = 1,unsat_core==1 AND well_sorted_check==1 AND smtlib2_compliant==1,2,0.301255230125523,0.4044943820224719,0.24,17
