n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,57172.593713162845,13728,BZip2 = 1,BZip2==1,0,1.0,1.0,1.0,0,2.143896102905273
2,46809.4572806119,6864,HeaderCompressionOff = 1 AND LZMA2 = 1,HeaderCompressionOff==1 AND LZMA2==1,0,1.0,1.0,1.0,0,3.010399341583252
3,8676.945115876662,3432,LZMA = 1 AND mtOff = 1 AND tmOff = 1,x==8 AND BlockSize==1 AND Deflate==1 AND Files==60 AND HeaderCompressionOff==0 AND mtOff==0,0,0.0,0.0,0.0,0,3.569687366485596
4,38466.86204065976,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,0,2.9012153148651123
1,42168.07850954649,6240,Files = 80,Files==80,0,1.0,1.0,1.0,1,1.709925651550293
2,32122.35627471416,6864,Deflate = 1 AND tmOff = 1,tmOff==1 AND Deflate==1,0,1.0,1.0,1.0,1,2.7799084186553955
3,50872.43686410627,3432,BZip2 = 1 AND filterOff = 1 AND mtOff = 1,Deflate==0 AND LZMA==0 AND LZMA2==0 AND PPMd==0 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,1,3.355349063873291
4,14865.90492212144,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,1,2.961734771728516
1,23041.58745345992,13728,LZMA = 1,LZMA==1,0,1.0,1.0,1.0,10,2.1817562580108643
2,64132.55812287603,17160,HeaderCompressionOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1,0,1.0,1.0,1.0,10,2.439202785491944
3,58768.36147637136,3432,PPMd = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND PPMd==1 AND filterOff==1,0,1.0,1.0,1.0,10,3.3475241661071777
4,44781.5129090428,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,10,2.856498003005981
1,65219.103346984986,6240,Files = 0,Files==0,0,1.0,1.0,1.0,11,1.7958035469055176
2,31912.82621529852,6864,LZMA = 1 AND filterOff = 1,LZMA==1 AND filterOff==1,0,1.0,1.0,1.0,11,2.986506938934326
3,22290.72556936016,3432,HeaderCompressionOff = 1 AND LZMA2 = 1 AND filterOff = 1,HeaderCompressionOff==1 AND LZMA2==1 AND filterOff==1,0,1.0,1.0,1.0,11,3.1947715282440186
4,42072.38233048191,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,11,2.886486291885376
1,43328.647893680834,13728,LZMA2 = 1,LZMA2==1,0,1.0,1.0,1.0,12,2.150474071502685
2,23733.852102754077,17160,filterOff = 1 AND tmOff = 1,tmOff==1 AND filterOff==1,0,1.0,1.0,1.0,12,2.5424299240112305
3,30078.15314175032,3432,BZip2 = 1 AND filterOff = 1 AND tmOff = 1,BZip2==1 AND tmOff==1 AND filterOff==1,0,1.0,1.0,1.0,12,3.253016710281372
4,18101.7437716363,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,12,2.8687098026275635
1,18665.481177894348,13728,PPMd = 1,PPMd==1,0,1.0,1.0,1.0,13,2.1284921169281006
2,16522.680349509847,5720,HeaderCompressionOff = 1 AND x = 2,x==2 AND HeaderCompressionOff==1,0,1.0,1.0,1.0,13,2.330453872680664
3,45298.70761359387,3432,HeaderCompressionOff = 1 AND LZMA2 = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND LZMA2==1,0,1.0,1.0,1.0,13,3.305049180984497
