n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,30.45467565270029,640,HAVE_HASH = 1,HAVE_HASH==1,0,1.0,1.0,1.0,0,0.472930908203125
2,8.801808117239196,640,HAVE_HASH = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE.1==0 AND HAVE_STATISTICS.1==0 AND DIAGNOSTIC==1 AND HAVE_STATISTICS==0 AND PAGESIZE==4 AND HAVE_CRYPTO==0,0,0.0,0.0,0.0,0,1.0316648483276367
3,34.28785500278053,128,DIAGNOSTIC = 1 AND PAGESIZE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC==1 AND PAGESIZE==1 AND HAVE_CRYPTO==1,3,1.0,1.0,1.0,0,0.8265781402587891
4,21.43162182368273,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC==1 AND HAVE_HASH==1 AND HAVE_STATISTICS==1,0,1.0,1.0,1.0,0,0.7649650573730469
1,32.139006955147266,512,PAGESIZE = 16,PAGESIZE==16,0,1.0,1.0,1.0,1,0.5673468112945557
2,30.561544748402863,128,HAVE_HASH = 1 AND PAGESIZE = 4,HAVE_HASH==1 AND PAGESIZE==4,0,1.0,1.0,1.0,1,0.6192646026611328
3,28.997988623627407,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_VERIFY = 1,DIAGNOSTIC==1 AND HAVE_HASH==1 AND HAVE_VERIFY==1,0,1.0,1.0,1.0,1,0.8981850147247314
4,4.667403951574643,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,CACHESIZE==16 AND HAVE_HASH.1==0 AND HAVE_SEQUENCE.1==0 AND HAVE_STATISTICS==0 AND HAVE_VERIFY==0 AND PAGESIZE==16 AND HAVE_CRYPTO==0,0,0.0,0.0,0.0,1,0.9171500205993652
1,13.547933256289156,512,PAGESIZE = 32,PAGESIZE==32,0,1.0,1.0,1.0,10,0.6395478248596191
2,26.34304393236325,240,HAVE_SEQUENCE = 1 AND PAGESIZE = 4,HAVE_SEQUENCE==1 AND PAGESIZE==4,0,1.0,1.0,1.0,10,0.7962646484375
3,12.874260916410174,320,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH==1 AND HAVE_SEQUENCE==1,0,1.0,1.0,1.0,10,0.8957474231719971
4,27.016126469355005,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH==1 AND HAVE_REPLICATION==1 AND HAVE_VERIFY==1,0,1.0,1.0,1.0,10,0.9161481857299804
1,13.829716870507388,640,CACHESIZE = 32,CACHESIZE==32,0,1.0,1.0,1.0,11,0.615013599395752
2,24.263892996693063,224,HAVE_VERIFY = 1 AND PAGESIZE = 8,HAVE_VERIFY==1 AND PAGESIZE==8,0,1.0,1.0,1.0,11,0.7345707416534424
3,8.848179873175976,160,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_HASH.1 = 1,HAVE_REPLICATION==1 AND HAVE_SEQUENCE==1 AND HAVE_VERIFY==0 AND PAGESIZE==4 AND HAVE_CRYPTO==0,0,0.0,0.0,0.0,11,1.037781000137329
4,8.617898783593835,160,HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,CACHESIZE==64 AND HAVE_HASH.1==0 AND HAVE_SEQUENCE.1==0 AND HAVE_STATISTICS.1==0 AND PAGESIZE.1==0 AND HAVE_HASH==0 AND HAVE_VERIFY==0,0,0.0,0.0,0.0,11,0.996262550354004
1,36.890826131004616,512,PAGESIZE = 16,PAGESIZE==16,0,1.0,1.0,1.0,12,0.550006628036499
2,3.571096954265192,128,PAGESIZE = 32 AND HAVE_HASH.1 = 1,CACHESIZE==512 AND HAVE_HASH.1==1 AND HAVE_REPLICATION==1 AND HAVE_VERIFY==1 AND PAGESIZE==1,0,0.0,0.0,0.0,12,0.9859435558319092
3,33.53161569427367,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_HASH==1 AND HAVE_REPLICATION==1 AND HAVE_VERIFY==1,0,1.0,1.0,1.0,12,0.7491683959960938
4,28.84677838869277,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH==1 AND HAVE_REPLICATION==1 AND HAVE_VERIFY==1,0,1.0,1.0,1.0,12,0.7845251560211182
1,25.93224148117428,640,HAVE_HASH.1 = 1,HAVE_HASH.1==1,0,1.0,1.0,1.0,13,0.5238957405090332
2,10.860345075124254,256,PAGESIZE = 8 AND HAVE_CRYPTO = 1,CACHESIZE==16 AND HAVE_STATISTICS.1==0 AND PAGESIZE.1==0 AND HAVE_SEQUENCE==0 AND HAVE_STATISTICS==0 AND PAGESIZE==1 AND HAVE_CRYPTO==0,0,0.0,0.0,0.0,13,1.0747087001800537
3,13.94263693143994,320,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC==1 AND HAVE_REPLICATION==1 AND HAVE_CRYPTO==1,0,1.0,1.0,1.0,13,0.8227095603942871
4,18.2935768986806,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION==1 AND HAVE_SEQUENCE==1 AND HAVE_STATISTICS==1 AND HAVE_CRYPTO==1,0,1.0,1.0,1.0,13,0.9788076877593994
1,12.854068015441172,640,CACHESIZE = 512,CACHESIZE==512,0,1.0,1.0,1.0,14,0.5660591125488281
2,7.905207956516417,128,CACHESIZE = 64 AND PAGESIZE = 8,CACHESIZE==16 AND HAVE_HASH.1==1 AND HAVE_REPLICATION==0 AND HAVE_SEQUENCE==0 AND HAVE_STATISTICS==1 AND HAVE_VERIFY==1 AND PAGESIZE==4,0,0.0,0.0,0.0,14,0.9758241176605223
3,21.735485372658253,128,HAVE_STATISTICS = 1 AND PAGESIZE = 32 AND HAVE_CRYPTO = 1,HAVE_STATISTICS==1 AND PAGESIZE==32 AND HAVE_CRYPTO==1,0,1.0,1.0,1.0,14,0.7933495044708252
4,7.983414062804565,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,CACHESIZE==64 AND HAVE_HASH.1==1 AND HAVE_REPLICATION==1 AND HAVE_STATISTICS==0 AND PAGESIZE==8,0,0.0,0.0,0.0,14,0.9050118923187256
1,3.8271458122210023,640,HAVE_HASH = 1,CACHESIZE==64 AND HAVE_HASH==0 AND HAVE_REPLICATION==0 AND HAVE_SEQUENCE==0 AND HAVE_STATISTICS==0 AND DIAGNOSTIC.1==0 AND HAVE_CRYPTO==0,0,0.0,0.0,0.0,15,0.9018733501434326
