n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,29.887339957738973,696,bs_256x2 = 1,bs_32x4==1 AND padding==384 AND pixelPerThread==3 AND LocalMemory==1 AND OpenCL==0,0,0.0,0.0,0.0,0,3.4677324295043945
2,55.07977951834015,697,Linear1D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,0,2.9286577701568604
3,103.35373608190991,697,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,0,2.822490692138672
4,42.80248714784676,1040,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,0,3.767547845840454
1,47.7814647109009,2635,Linear2D = 1,Linear2D==1,0,1.0,1.0,1.0,1,2.3187475204467773
2,65.39570558412142,697,Linear1D = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear1D==1,0,1.0,1.0,1.0,1,2.988348960876465
3,97.43425634504251,1060,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND TextureMemory==1,0,1.0,1.0,1.0,1,3.119635343551636
4,106.12361499529368,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,1,3.5174484252929688
1,73.35062868643115,775,padding = 288,padding==288,0,1.0,1.0,1.0,10,1.5151464939117432
2,77.71000120200516,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,10,2.7164108753204346
3,91.06246875954793,714,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 1,pixelPerThread==1 AND Linear2D==1,0,1.0,1.0,1.0,10,2.692962884902954
4,45.60620234916878,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,10,3.496546745300293
1,71.94340034507839,775,padding = 320,padding==320,0,1.0,1.0,1.0,11,1.5253064632415771
2,76.94948281100204,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,11,2.894476890563965
3,95.21534554628656,697,Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND Linear2D==1,0,1.0,1.0,1.0,11,2.8288464546203613
4,78.23474939062044,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,11,3.531498908996582
1,53.002248500899725,775,padding = 384,padding==384,0,1.0,1.0,1.0,12,1.5382163524627686
2,84.47424611562103,775,TextureMemory = 1 AND padding = 0,padding==0 AND TextureMemory==1,0,1.0,1.0,1.0,12,1.9995884895324707
3,81.869092498325,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,12,2.99122166633606
