n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,234.19816678156752,256,inline = 1 AND licm = 1,gvn==0 AND instcombine==1 AND iv_users==0 AND jump_threading==1 AND licm==0 AND print_used_types==0,0,0.0,0.0,0.0,0,0.3528416156768799
3,254.28141509295165,128,ipsccp = 1 AND jump_threading = 1 AND print_used_types = 1,ipsccp==1 AND jump_threading==1 AND print_used_types==1,0,1.0,1.0,1.0,0,0.2772238254547119
4,217.99136771106168,64,inline = 1 AND instcombine = 1 AND licm = 1 AND simplifycfg = 1,inline==0 AND licm==0,0,0.0,0.0,0.0,0,0.430887222290039
2,253.87155934823437,256,gvn = 1 AND iv_users = 1,gvn==1 AND iv_users==1,0,1.0,1.0,1.0,1,0.222651720046997
3,259.36794933665124,128,ipsccp = 1 AND licm = 1 AND sccp = 1,ipsccp==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,1,0.279104471206665
4,263.2576642057184,64,gvn = 1 AND instcombine = 1 AND licm = 1 AND sccp = 1,gvn==1 AND instcombine==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,1,0.3138761520385742
2,259.6777809281276,256,iv_users = 1 AND jump_threading = 1,iv_users==1 AND jump_threading==1,0,1.0,1.0,1.0,10,0.2367808818817138
3,217.4238108331653,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline==0 AND jump_threading==0,0,0.0,0.0,0.0,10,0.274463415145874
4,232.42905145647896,64,gvn = 1 AND inline = 1 AND licm = 1 AND simplifycfg = 1,inline==0 AND ipsccp==1 AND licm==0 AND print_used_types==1 AND sccp==1 AND simplifycfg==0,0,0.0,0.0,0.0,10,0.3970289230346679
2,210.9178614959505,256,iv_users = 1 AND licm = 1,licm==0,0,0.0,0.0,0.0,11,0.1760544776916504
3,229.2149224361173,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==1 AND instcombine==1 AND ipsccp==1 AND iv_users==1 AND licm==0 AND simplifycfg==1,0,0.0,0.0,0.0,11,0.3570573329925537
4,204.70277736115253,64,inline = 1 AND iv_users = 1 AND print_used_types = 1 AND sccp = 1,gvn==1 AND inline==1 AND instcombine==1 AND licm==0 AND print_used_types==0,0,0.0,0.0,0.0,11,0.4507596492767334
2,247.2197738559156,256,jump_threading = 1 AND sccp = 1,jump_threading==1 AND sccp==1,0,1.0,1.0,1.0,12,0.2303392887115478
3,248.7743427112132,128,gvn = 1 AND licm = 1 AND sccp = 1,gvn==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,12,0.2961065769195556
4,241.00354629828888,64,gvn = 1 AND inline = 1 AND ipsccp = 1 AND sccp = 1,gvn==0 AND inline==1 AND instcombine==1 AND jump_threading==0 AND print_used_types==1 AND sccp==0,0,0.0,0.0,0.0,12,0.3585855960845947
2,238.2690509920203,256,print_used_types = 1 AND sccp = 1,instcombine==0 AND ipsccp==1 AND iv_users==0 AND jump_threading==1 AND licm==0 AND sccp==0,0,0.0,0.0,0.0,13,0.3927090167999267
3,241.9269766491124,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,gvn==0 AND inline==0 AND iv_users==0 AND jump_threading==1 AND print_used_types==1 AND sccp==0,0,0.0,0.0,0.0,13,0.459399938583374
4,236.67453718209515,64,inline = 1 AND instcombine = 1 AND ipsccp = 1 AND iv_users = 1,ipsccp==0 AND jump_threading==1 AND licm==0 AND print_used_types==0 AND sccp==0 AND simplifycfg==1,0,0.0,0.0,0.0,13,0.3285315036773681
2,245.85715311307237,256,print_used_types = 1 AND sccp = 1,print_used_types==1 AND sccp==1,0,1.0,1.0,1.0,14,0.2408006191253662
3,235.47506373906623,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,inline==0 AND instcombine==0 AND ipsccp==1 AND iv_users==0 AND licm==0 AND print_used_types==0 AND sccp==0,0,0.0,0.0,0.0,14,0.4017844200134277
