n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,4719706.5,72,compressionZpaq = 1,compressionZpaq==1,0,1.0,1.0,1.0,0,0.3242301940917969
2,4065668.4583333335,24,level = 2 AND unlimitedWindowSize = 1,level==2 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,0,0.3585383892059326
3,961932.7777777778,36,compression = 1 AND compressionLzo = 1 AND unlimitedWindowSize = 1,compression==0 AND disableCompressibilityTesting==0 AND encryption==0 AND level==6,0,0.0,0.0,0.0,0,0.6153538227081299
4,5059391.866666666,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,0,0.4046182632446289
1,4951750.902777778,72,compressionGzip = 1,compressionGzip==1,0,1.0,1.0,1.0,1,0.3271102905273437
2,2292662.7916666665,24,disableCompressibilityTesting = 1 AND level = 8,disableCompressibilityTesting==1 AND level==8,0,1.0,1.0,1.0,1,0.3895471096038818
3,5198348.972222222,36,compression = 1 AND compressionGzip = 1 AND unlimitedWindowSize = 1,compressionGzip==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,1,0.5606420040130615
4,2093238.955555556,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,1,1.0,1.0,1.0,1,0.4405922889709472
1,5411047.722222222,72,compressionGzip = 1,compressionGzip==1,0,1.0,1.0,1.0,10,0.3029258251190185
2,520410.1111111111,36,compressionGzip = 1 AND disableCompressibilityTesting = 1,compressionBzip2==1 AND disableCompressibilityTesting==0 AND encryption==1 AND level==7 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,10,0.6139485836029053
3,3365424.333333333,36,compression = 1 AND compressionLrzip = 1 AND unlimitedWindowSize = 1,compressionLrzip==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,10,0.3321170806884765
4,1009964.1777777778,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionZpaq==1 AND disableCompressibilityTesting==0 AND encryption==1 AND level==8,0,0.0,0.0,0.0,10,0.4747445583343506
1,3983802.736111111,72,compressionLrzip = 1,compressionLrzip==1,0,1.0,1.0,1.0,11,0.3105270862579345
2,3593450.8055555555,36,compressionZpaq = 1 AND unlimitedWindowSize = 1,compressionZpaq==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,11,0.3885421752929687
3,2182168.611111111,36,compression = 1 AND compressionZpaq = 1 AND disableCompressibilityTesting = 1,compressionZpaq==1 AND disableCompressibilityTesting==1,0,1.0,1.0,1.0,11,0.5047028064727783
4,3265544.311111111,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,11,0.4234817028045654
1,1984838.9722222225,72,compressionZpaq = 1,compressionZpaq==1,0,1.0,1.0,1.0,12,0.3232820034027099
2,2619567.1666666665,24,disableCompressibilityTesting = 1 AND level = 7,disableCompressibilityTesting==1 AND level==7,0,1.0,1.0,1.0,12,0.3635528087615967
