n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5.7392001920146845,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==0,0,0.0,0.0,0.0,0,6.369781255722046
2,28.23656962178144,15000,polly = 1 AND polly_no_tiling = 1,polly==1 AND polly_no_tiling==1,0,1.0,1.0,1.0,0,6.525418281555176
3,24.53163255481762,5000,memory_based = 1 AND parallel = 1 AND polly_no_tiling = 1,pollyoptmaxconstantterm_10000==0 AND parallel==0 AND polly_no_tiling==1 AND polly_opt_simplify_deps==0,0,0.0,0.0,0.0,0,6.923581123352051
4,19.63242404864822,5000,min = 1 AND parallel = 1 AND polly = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,0,5.80479884147644
1,28.032654064978686,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100==1,0,1.0,1.0,1.0,1,5.274208307266235
2,10.116559918995408,15000,polly = 1 AND value_based = 1,polly==0,0,0.0,0.0,0.0,1,4.9931700229644775
3,5.672000679650387,5000,min = 1 AND none = 1 AND parallel_force = 1,parallel_force==0,0,0.0,0.0,0.0,1,5.693712949752808
4,7.375063903357454,3750,max = 1 AND none = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps==0,0,0.0,0.0,0.0,1,4.588383197784424
1,16.46249835819515,12000,pollyoptmaxcoefficient_100 = 1,pollyoptmaxcoefficient_100==0,0,0.0,0.0,0.0,10,6.151384353637695
2,15.748564760899606,4000,parallel = 1 AND pollydefaulttilesize = 16,parallel==0,0,0.0,0.0,0.0,10,5.979872941970825
3,16.951822167728935,3000,max = 1 AND none = 1 AND pollydefaulttilesize = 256,min==1,0,0.0,0.0,0.0,10,5.093931913375855
4,22.592953806199656,3750,min = 1 AND none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,polly_opt_simplify_deps==0,0,0.0,0.0,0.0,10,5.231967210769653
1,13.081407454262228,12000,pollydefaulttilesize = 16,pollydefaulttilesize==64,0,0.0,0.0,0.0,11,3.706048488616944
2,24.20993040465024,6000,polly_no_tiling = 1 AND pollyoptmaxcoefficient_10 = 1,pollyoptmaxcoefficient_10==0,0,0.0,0.0,0.0,11,5.909510374069214
3,27.68386847852633,3000,none = 1 AND pollyoptmaxconstantterm_10 = 1 AND value_based = 1,pollyoptmaxconstantterm_10==1 AND value_based==1 AND polly==0,0,1.0,1.0,1.0,11,6.095364570617676
4,11.327011190861317,5000,max = 1 AND polly = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,polly==0,0,0.0,0.0,0.0,11,4.968110322952271
1,23.67261607386581,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100==0,0,0.0,0.0,0.0,12,6.061564683914185
2,5.805435363481782,6000,none = 1 AND pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==0,0,0.0,0.0,0.0,12,6.142207384109497
3,10.334021100857695,3000,none = 1 AND polly_no_tiling = 1 AND pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==0,0,0.0,0.0,0.0,12,5.872116327285767
4,27.921572729261936,5000,parallel_force = 1 AND polly = 1 AND polly_parallel = 1 AND value_based = 1,value_based==1 AND parallel_force==1 AND polly==1,0,1.0,1.0,1.0,12,6.9622886180877686
1,15.481301012544025,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100==0,0,0.0,0.0,0.0,13,6.274765253067017
2,6.576658523132508,6000,none = 1 AND pollyoptmaxcoefficient_10000 = 1,pollyoptmaxcoefficient_10000==0,0,0.0,0.0,0.0,13,6.395416259765625
3,6.124425244272772,4000,max = 1 AND polly_parallel = 1 AND pollyoptmaxcoefficient_1 = 1,pollyoptmaxcoefficient_1==0,0,0.0,0.0,0.0,13,6.278564453125
4,23.40639884489337,5000,memory_based = 1 AND min = 1 AND parallel_force = 1 AND polly_parallel = 1,min==0,0,0.0,0.0,0.0,13,5.580120086669922
1,28.685480057158173,12000,pollyoptmaxconstantterm_10 = 1,pollyoptmaxconstantterm_10==1,0,1.0,1.0,1.0,14,5.4081737995147705
2,11.76777421661166,8000,polly_parallel = 1 AND pollyoptmaxcoefficient_10 = 1,pollyoptmaxcoefficient_10==0,0,0.0,0.0,0.0,14,6.208404302597046
3,25.25166350820605,3000,none = 1 AND pollyoptmaxconstantterm_100 = 1 AND value_based = 1,pollyoptmaxcoefficient_10000==0 AND pollyoptmaxconstantterm_10==0 AND pollyoptmaxconstantterm_10000==0 AND value_based==0 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,14,6.887567281723023
4,21.48424518716481,5000,max = 1 AND parallel = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,14,5.454646110534668
1,29.641490108946986,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==1,0,1.0,1.0,1.0,15,5.361916542053223
2,11.142107459422355,6000,pollyoptmaxconstantterm_10 = 1 AND value_based = 1,pollyoptmaxconstantterm_10==0,0,0.0,0.0,0.0,15,6.048904657363892
3,11.193916195467445,3000,min = 1 AND polly = 1 AND pollyrtcmaxparameters = 2,min==0,0,0.0,0.0,0.0,15,5.019274711608887
