n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,599.8498083947104,288,no_cabac = 1 AND no_mbtree = 1,no_cabac==1 AND no_mbtree==1,0,1.0,1.0,1.0,0,0.2313001155853271
3,703.4068310452537,144,no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_cabac==1 AND no_deblock==1 AND no_weightb==1,0,1.0,1.0,1.0,0,0.2863564491271972
4,476.0814712608604,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_cabac==0 AND no_deblock==0 AND no_fast_pskip==1 AND no_mbtree==0 AND ref==1,0,0.0,0.0,0.0,0,0.3239662647247314
2,625.3763305131895,192,no_mixed_refs = 1 AND rc_lookahead = 20,no_mixed_refs==1 AND rc_lookahead==20,0,1.0,1.0,1.0,1,0.2363967895507812
3,341.46892290006406,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_deblock==0 AND no_fast_pskip==0,0,0.0,0.0,0.0,1,0.279285192489624
4,490.9676505256217,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_cabac==1 AND no_deblock==0 AND no_fast_pskip==0 AND no_mbtree==1 AND no_weightb==0 AND rc_lookahead==40,0,0.0,0.0,0.0,1,0.376115083694458
2,691.9514572191806,128,rc_lookahead = 20 AND ref = 9,rc_lookahead==20 AND ref==9,0,1.0,1.0,1.0,10,0.2329881191253662
3,588.7180959715383,96,no_mbtree = 1 AND no_mixed_refs = 1 AND ref = 1,no_mbtree==1 AND no_mixed_refs==1 AND ref==1,0,1.0,1.0,1.0,10,0.2767999172210693
4,573.2735660265138,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_deblock==1 AND no_mbtree==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,10,0.3293604850769043
2,352.2325357988523,288,no_8x8dct = 1 AND no_fast_pskip = 1,no_8x8dct==0,0,0.0,0.0,0.0,11,0.2536377906799316
3,405.06765384167664,96,no_mixed_refs = 1 AND no_weightb = 1 AND ref = 5,no_8x8dct==1 AND no_mbtree==0 AND no_mixed_refs==0 AND no_weightb==0 AND rc_lookahead==20 AND ref==5,0,0.0,0.0,0.0,11,0.3733277320861816
4,770.1745975740434,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_8x8dct==1 AND no_cabac==1 AND no_fast_pskip==1 AND no_weightb==1,0,1.0,1.0,1.0,11,0.4589362144470215
2,740.8677137373041,192,no_mbtree = 1 AND rc_lookahead = 20,no_mbtree==1 AND rc_lookahead==20,0,1.0,1.0,1.0,12,0.2303943634033203
3,552.5846358788672,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac==1 AND no_deblock==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,12,0.2548680305480957
4,360.6760692156161,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,no_8x8dct==0 AND no_deblock==1 AND no_mbtree==0 AND no_mixed_refs==0 AND no_weightb==1,0,0.0,0.0,0.0,12,0.3202831745147705
2,388.23305089594334,288,no_deblock = 1 AND no_mbtree = 1,no_cabac==1 AND no_mbtree==0 AND no_weightb==0,0,0.0,0.0,0.0,13,0.3180842399597168
3,424.38097573184615,96,no_fast_pskip = 1 AND no_mixed_refs = 1 AND rc_lookahead = 20,no_8x8dct==0 AND no_cabac==1 AND no_deblock==1 AND no_mixed_refs==1 AND no_weightb==0 AND rc_lookahead==60 AND ref==1,0,0.0,0.0,0.0,13,0.3449075222015381
4,560.877647085372,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_8x8dct==1 AND no_cabac==1 AND no_deblock==1 AND no_weightb==1,0,1.0,1.0,1.0,13,0.4770896434783935
2,611.7691573193651,288,no_cabac = 1 AND no_weightb = 1,no_cabac==1 AND no_weightb==1,0,1.0,1.0,1.0,14,0.2322487831115722
3,423.4368556926783,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_8x8dct==0 AND no_cabac==0 AND no_mbtree==0 AND rc_lookahead==60 AND ref==9,0,0.0,0.0,0.0,14,0.3548622131347656
4,393.1587912076627,72,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,no_8x8dct==0 AND no_fast_pskip==0 AND no_mixed_refs==0 AND no_weightb==1 AND rc_lookahead==20,0,0.0625,0.125,0.0416666666666666,14,0.5012435913085938
2,407.1599578847967,288,no_mbtree = 1 AND no_weightb = 1,no_cabac==0 AND no_mbtree==1 AND no_mixed_refs==0 AND no_weightb==0 AND rc_lookahead==40,0,0.0,0.0,0.0,15,0.3324508666992187
3,347.4512979258946,96,no_8x8dct = 1 AND no_cabac = 1 AND ref = 5,no_cabac==0 AND no_deblock==1 AND no_fast_pskip==0 AND no_mbtree==0 AND no_mixed_refs==1 AND no_weightb==0 AND rc_lookahead==20,0,0.0,0.0,0.0,15,0.3446123600006103
4,604.9129239814129,72,no_cabac = 1 AND no_deblock = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_cabac==1 AND no_deblock==1 AND no_fast_pskip==1 AND no_mbtree==1,0,1.0,1.0,1.0,15,0.4253897666931152
2,588.9921830265095,128,rc_lookahead = 60 AND ref = 9,rc_lookahead==60 AND ref==9,0,1.0,1.0,1.0,16,0.2442297935485839
3,755.7640459454714,96,no_cabac = 1 AND no_deblock = 1 AND rc_lookahead = 60,no_cabac==1 AND no_deblock==1 AND rc_lookahead==60,0,1.0,1.0,1.0,16,0.282224178314209
4,652.3796885419691,72,no_8x8dct = 1 AND no_cabac = 1 AND no_mbtree = 1 AND no_weightb = 1,no_8x8dct==1 AND no_cabac==1 AND no_mbtree==1 AND no_weightb==1,0,1.0,1.0,1.0,16,0.3067400455474853
2,524.8227996797775,288,no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,17,0.2545287609100342
