n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,26855.920231196556,398,PAGE_STORE_TRIM = 1,DROP_RESTRICT==1 AND MVSTORE==1 AND OPTIMIZE_TWO_EQUALS==0 AND COMPRESS==0 AND IGNORE_CATALOGS==0,0,0.0,0.0,0.0,0,0.6663384437561035
2,34245.26927403124,265,PAGE_STORE_TRIM = 1 AND IGNORE_CATALOGS = 1,REUSE_SPACE==1 AND DROP_RESTRICT==0 AND OPTIMIZE_INSERT_FROM_SELECT==0 AND OPTIMIZE_IN_LIST==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==0 AND RECOMPILE_ALWAYS==1 AND OPTIMIZE_OR==0,0,0.0,0.0,0.0,0,0.8894948959350586
3,28192.556791185238,216,OPTIMIZE_INSERT_FROM_SELECT = 1 AND PAGE_STORE_TRIM = 1 AND COMPRESS = 1,PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_DISTINCT==0 AND OPTIMIZE_IN_LIST==0 AND RECOMPILE_ALWAYS==0 AND IGNORE_CATALOGS==0 AND OPTIMIZE_OR==1,0,0.0,0.0,0.0,0,0.8070483207702637
4,42968.37065590003,188,RECOMPILE_ALWAYS = 1 AND COMPRESS = 1 AND IGNORE_CATALOGS = 1 AND REUSE_SPACE = 1,REUSE_SPACE==1 AND RECOMPILE_ALWAYS==1 AND COMPRESS==1 AND IGNORE_CATALOGS==1,0,1.0,1.0,1.0,0,0.7645905017852783
5,38972.82911365787,113,OPTIMIZE_INSERT_FROM_SELECT = 1 AND OPTIMIZE_TWO_EQUALS = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND PAGE_STORE_TRIM = 1 AND OPTIMIZE_OR = 1,OPTIMIZE_INSERT_FROM_SELECT==1 AND OPTIMIZE_TWO_EQUALS==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==1 AND PAGE_STORE_TRIM==1 AND OPTIMIZE_OR==1,0,1.0,1.0,1.0,0,0.7311170101165771
6,35659.036505675,108,RECOMPILE_ALWAYS = 1 AND IGNORE_CATALOGS = 1 AND OPTIMIZE_OR = 1 AND REUSE_SPACE = 1 AND DROP_RESTRICT = 1 AND DEFRAG_ALWAYS = 1,REUSE_SPACE==1 AND DEFRAG_ALWAYS==1 AND IGNORE_CATALOGS==1 AND OPTIMIZE_OR==1,0,0.7397260273972603,0.5869565217391305,1.0,0,0.8387753963470459
7,37283.30535386562,100,OPTIMIZE_IN_SELECT = 1 AND OPTIMIZE_INSERT_FROM_SELECT = 1 AND OPTIMIZE_TWO_EQUALS = 1 AND RECOMPILE_ALWAYS = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1 AND OPTIMIZE_DISTINCT = 1,OPTIMIZE_IN_SELECT==1 AND PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_DISTINCT==1 AND OPTIMIZE_INSERT_FROM_SELECT==1 AND OPTIMIZE_TWO_EQUALS==1 AND RECOMPILE_ALWAYS==1 AND COMPRESS==1,0,1.0,1.0,1.0,0,0.8876297473907471
1,32793.80969658207,398,PAGE_STORE_TRIM = 1,PAGE_STORE_INTERNAL_COUNT==0 AND DROP_RESTRICT==0 AND OPTIMIZE_INSERT_FROM_SELECT==0 AND OPTIMIZE_IN_LIST==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==0 AND COMPRESS==0 AND IGNORE_CATALOGS==1,0,0.0,0.0,0.0,1,1.0403082370758057
2,46576.4072715856,554,IGNORE_CATALOGS = 1 AND DROP_RESTRICT = 1,DROP_RESTRICT==1 AND IGNORE_CATALOGS==1,0,1.0,1.0,1.0,1,0.6009070873260498
3,45949.74172460822,334,OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_INTERNAL_COUNT==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==1 AND COMPRESS==1,0,1.0,1.0,1.0,1,0.8013978004455566
4,33160.45680697178,183,OPTIMIZE_TWO_EQUALS = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND PAGE_STORE_TRIM = 1 AND DROP_RESTRICT = 1,OPTIMIZE_IN_SELECT==1 AND DROP_RESTRICT==1 AND OPTIMIZE_DISTINCT==1 AND OPTIMIZE_INSERT_FROM_SELECT==1 AND OPTIMIZE_IN_LIST==1 AND RECOMPILE_ALWAYS==1 AND IGNORE_CATALOGS==0,3,0.1279999999999999,0.2388059701492537,0.087431693989071,1,0.9200921058654784
5,41401.589250034696,197,OPTIMIZE_IN_SELECT = 1 AND OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND REUSE_SPACE = 1 AND DEFRAG_ALWAYS = 1,OPTIMIZE_IN_SELECT==1 AND REUSE_SPACE==1 AND DEFRAG_ALWAYS==1 AND OPTIMIZE_INSERT_FROM_SELECT==1 AND COMPRESS==1,0,1.0,1.0,1.0,1,0.8511888980865479
6,44009.93411413167,151,OPTIMIZE_INSERT_FROM_SELECT = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND RECOMPILE_ALWAYS = 1 AND COMPRESS = 1 AND OPTIMIZE_OR = 1 AND OPTIMIZE_DISTINCT = 1,OPTIMIZE_DISTINCT==1 AND OPTIMIZE_INSERT_FROM_SELECT==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==1 AND RECOMPILE_ALWAYS==1 AND COMPRESS==1 AND OPTIMIZE_OR==1,0,1.0,1.0,1.0,1,0.9240422248840332
7,47003.357647799225,113,OPTIMIZE_IN_SELECT = 1 AND OPTIMIZE_TWO_EQUALS = 1 AND OPTIMIZE_IN_LIST = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND OPTIMIZE_OR = 1 AND DEFRAG_ALWAYS = 1 AND OPTIMIZE_DISTINCT = 1,OPTIMIZE_IN_SELECT==1 AND DEFRAG_ALWAYS==1 AND OPTIMIZE_DISTINCT==1 AND OPTIMIZE_TWO_EQUALS==1 AND OPTIMIZE_IN_LIST==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==1 AND OPTIMIZE_OR==1,0,1.0,1.0,1.0,1,0.9511220455169678
1,37509.10212060107,398,PAGE_STORE_TRIM = 1,PAGE_STORE_TRIM==1,0,1.0,1.0,1.0,10,0.4307889938354492
2,29063.98004555496,524,RECOMPILE_ALWAYS = 1 AND REUSE_SPACE = 1,OPTIMIZE_IN_SELECT==0 AND REUSE_SPACE==0 AND OPTIMIZE_TWO_EQUALS==1 AND OPTIMIZE_IN_LIST==0 AND PAGE_STORE_TRIM==0,0,0.0,0.0,0.0,10,0.8408844470977783
3,35484.08255965378,463,OPTIMIZE_IN_SELECT = 1 AND DROP_RESTRICT = 1 AND OPTIMIZE_DISTINCT = 1,OPTIMIZE_IN_SELECT==1 AND DROP_RESTRICT==1 AND OPTIMIZE_DISTINCT==1,0,1.0,1.0,1.0,10,0.6553957462310791
4,38705.27427375719,108,RECOMPILE_ALWAYS = 1 AND COMPRESS = 1 AND REUSE_SPACE = 1 AND MVSTORE = 1,REUSE_SPACE==1 AND MVSTORE==1 AND RECOMPILE_ALWAYS==1 AND COMPRESS==1,0,1.0,1.0,1.0,10,0.7765982151031494
5,44037.11332350061,128,OPTIMIZE_IN_SELECT = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND RECOMPILE_ALWAYS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1 AND REUSE_SPACE = 1,OPTIMIZE_IN_SELECT==1 AND PAGE_STORE_INTERNAL_COUNT==1 AND REUSE_SPACE==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==1 AND RECOMPILE_ALWAYS==1,0,1.0,1.0,1.0,10,0.804384708404541
6,41816.949630153424,129,OPTIMIZE_IN_LIST = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1 AND DEFRAG_ALWAYS = 1 AND OPTIMIZE_DISTINCT = 1,PAGE_STORE_INTERNAL_COUNT==1 AND DEFRAG_ALWAYS==1 AND OPTIMIZE_DISTINCT==1 AND OPTIMIZE_IN_LIST==1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES==1 AND COMPRESS==1,0,1.0,1.0,1.0,10,0.8450057506561279
7,26456.114199983014,104,OPTIMIZE_INSERT_FROM_SELECT = 1 AND OPTIMIZE_IN_LIST = 1 AND RECOMPILE_ALWAYS = 1 AND IGNORE_CATALOGS = 1 AND DROP_RESTRICT = 1 AND DEFRAG_ALWAYS = 1 AND OPTIMIZE_DISTINCT = 1,REUSE_SPACE==0 AND MVSTORE==0 AND OPTIMIZE_INSERT_FROM_SELECT==0 AND OPTIMIZE_TWO_EQUALS==0 AND OPTIMIZE_IN_LIST==1 AND RECOMPILE_ALWAYS==0 AND COMPRESS==0,0,0.0,0.0,0.0,10,0.8973519802093506
1,25869.94058233661,398,PAGE_STORE_TRIM = 1,PAGE_STORE_TRIM==0,0,0.0,0.0,0.0,11,0.5740430355072021
2,47450.59030825021,404,IGNORE_CATALOGS = 1 AND REUSE_SPACE = 1,REUSE_SPACE==1 AND IGNORE_CATALOGS==1,0,1.0,1.0,1.0,11,0.5781843662261963
3,25531.66077324821,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_INTERNAL_COUNT==0 AND DROP_RESTRICT==0 AND DEFRAG_ALWAYS==0 AND OPTIMIZE_DISTINCT==0 AND OPTIMIZE_INSERT_FROM_SELECT==0 AND OPTIMIZE_TWO_EQUALS==0 AND IGNORE_CATALOGS==0,0,0.0,0.0,0.0,11,0.755659818649292
4,43491.03153113851,201,OPTIMIZE_INSERT_FROM_SELECT = 1 AND IGNORE_CATALOGS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1 AND DEFRAG_ALWAYS = 1,PAGE_STORE_INTERNAL_COUNT==1 AND DEFRAG_ALWAYS==1 AND OPTIMIZE_INSERT_FROM_SELECT==1 AND IGNORE_CATALOGS==1,0,1.0,1.0,1.0,11,0.8238470554351807
5,31086.62514499296,217,OPTIMIZE_IN_SELECT = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND COMPRESS = 1 AND OPTIMIZE_OR = 1 AND OPTIMIZE_DISTINCT = 1,PAGE_STORE_INTERNAL_COUNT==0 AND REUSE_SPACE==0 AND OPTIMIZE_INSERT_FROM_SELECT==0 AND OPTIMIZE_TWO_EQUALS==1 AND OPTIMIZE_IN_LIST==1 AND PAGE_STORE_TRIM==0,3,0.0217391304347826,0.0508474576271186,0.0138248847926267,11,0.912555456161499
