n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,20.123088825368267,572,VBRRange = 1,VBRRange==1,0,1.0,1.0,1.0,0,0.6885631084442139
2,19.90941814320604,1146,Freeformat = 1 AND SwapBytes = 1,SwapBytes==1 AND Freeformat==1,0,1.0,1.0,1.0,0,0.8737616539001465
3,8.854335620949666,415,NoRes = 1 AND NoReplayGain = 1 AND CBR = 8,NoRes==1 AND CBR==8 AND NoReplayGain==1,0,1.0,1.0,1.0,0,1.137259006500244
4,22.665421976916583,210,NoRes = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND CBR = 320,NoRes==1 AND CBR==320 AND NoReplayGain==0 AND ReplayGainFast==0 AND CRC==1,0,1.0,1.0,1.0,0,1.0873570442199707
5,28.242920039964684,324,Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,JointStereo==1 AND SwapBytes==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,1.0810480117797852
6,20.00068761023575,309,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND JointStereo==1 AND SwapBytes==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,1.1599245071411133
7,14.73455925792041,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,1.2632548809051514
1,17.77423517861404,1061,Resampling = 8,Resampling==8,0,1.0,1.0,1.0,1,0.6003899574279785
2,16.252297438665767,259,ReplayGainFast = 1 AND Stereo = 1,ReplayGainFast==1 AND Stereo==1,0,1.0,1.0,1.0,1,0.7561111450195312
3,27.09654204990978,304,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1,NoRes==1 AND MidSideStereo==1 AND Freeformat==1,0,1.0,1.0,1.0,1,1.0387215614318848
4,22.664427945771195,589,NoRes = 1 AND Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1,NoRes==1 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0 AND CRC==1,0,1.0,1.0,1.0,1,1.023993968963623
5,22.364168729769105,321,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND Resampling = 22 AND VBRRange = 0,NoRes==1 AND Resampling==22 AND Downmix==1 AND Freeformat==1,0,1.0,1.0,1.0,1,0.9605157375335692
6,4.913450478184746,305,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND VBRRange = 0,SwapBytes==1 AND Resampling==44 AND VBRRange==0 AND NoReplayGain==1 AND ReplayGainFast==0 AND MidSideStereo==1 AND CRC==0,0,0.0,0.0,0.0,1,1.1707103252410889
7,4.96715817476241,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8 AND VBRRange = 0,SwapBytes==1 AND Resampling==22 AND VBRRange==0 AND NoReplayGain==1 AND Downmix==1 AND Freeformat==0 AND Stereo==1,0,0.0,0.0,0.0,1,1.1151413917541504
1,25.371613112462164,1162,NoReplayGain = 1,NoReplayGain==1,0,1.0,1.0,1.0,10,0.6662731170654297
2,10.442206851707748,991,ReplayGainFast = 1 AND CBR = 8,CBR==8 AND ReplayGainFast==1,0,1.0,1.0,1.0,10,0.8466992378234863
