n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,190.53837367694072,356,TPAQ = 1,TPAQ==1,0,1.0,1.0,1.0,0,0.8607518672943115
2,87.7141644599217,670,SRT = 1 AND BWT = 1,BWT==1 AND SRT==1,0,1.0,1.0,1.0,0,1.3145103454589844
3,211.0572749402375,299,RANK = 1 AND TEXT = 1 AND skip = 1,RANK==1 AND TEXT==1 AND skip==1,0,1.0,1.0,1.0,0,1.4416298866271973
4,207.77331076179848,209,TEXT = 1 AND BWTS = 1 AND RLT = 1 AND BWT = 1,RLT==1 AND BWT==1 AND TEXT==1 AND BWTS==1,0,1.0,1.0,1.0,0,1.7401304244995115
5,65.67427484864896,257,LZP = 1 AND skip = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1,LZP==1 AND MTFT6==1 AND checksum==1 AND RLT==1 AND skip==1,0,1.0,1.0,1.0,0,1.810152530670166
6,143.75714536422603,232,LZP = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,LZP==1 AND RLT==1 AND Huffman==1 AND jobs==8 AND blocksize==1000000,0,1.0,1.0,1.0,0,1.78047776222229
1,24.18981942286043,570,ANS1 = 1,MTFT6==1 AND BWT==1 AND ZRLT==0 AND ROLZ==1 AND ROLZX==1 AND jobs==4,0,0.0,0.0,0.0,1,1.926837682723999
2,103.24186618389204,655,jobs = 8 AND blocksize = 1000000,jobs==8 AND blocksize==1000000,0,1.0,1.0,1.0,1,1.41339111328125
3,12.915725248841673,223,LZ = 1 AND checksum = 1 AND Huffman = 1,checksum==1 AND FPAQ==1 AND ROLZ==1 AND blocksize==1000000000 AND RANK==1 AND BWTS==1 AND MTFT==0,0,0.0,0.0,0.0,1,1.9275164604187007
4,19.23711439739052,228,RLT = 1 AND BWT = 1 AND ROLZ = 1 AND blocksize = 1000000,MTFT6==1 AND BWT==1 AND ZRLT==1 AND ANS1==1 AND blocksize==1000 AND LZ==0,0,0.0,0.0,0.0,1,1.7711036205291748
5,197.7753487050386,298,BWTS = 1 AND LZ = 1 AND SRT = 1 AND checksum = 1 AND RLT = 1,checksum==1 AND RLT==1 AND BWTS==1 AND LZ==1 AND SRT==1,0,1.0,1.0,1.0,1,1.812025785446167
6,104.8037392133512,242,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8,LZP==1 AND RLT==1 AND Huffman==1 AND jobs==8 AND BWTS==1,0,1.0,1.0,1.0,1,1.743032455444336
1,90.15158494693716,356,TPAQ = 1,TPAQ==1,0,1.0,1.0,1.0,10,0.8777759075164795
2,79.12671289230916,959,skip = 1 AND X86 = 1,MTFT6==1 AND skip==1,0,1.0,1.0,1.0,10,1.3326900005340576
3,14.73563035854289,438,LZP = 1 AND SRT = 1 AND X86 = 1,RLT==0 AND ROLZX==0 AND ANS0==1 AND jobs==8 AND blocksize==1000000000 AND TEXT==0 AND skip==0,0,0.0,0.0,0.0,10,1.8641045093536377
