n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.928835043048284,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1,0,1.0,1.0,1.0,0,0.2296056747436523
2,6.42206265515615,47,encryption = 1 AND nice = 1,encryption==1 AND integrityCheck==0 AND bzip2==1 AND nice==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,0,0.508983850479126
3,15.44485714372082,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption==1 AND integrityCheck==1 AND multithreading==1,0,1.0,1.0,1.0,0,0.354715347290039
4,16.443828885643278,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck==1 AND nice==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,0,0.3788959980010986
1,17.14388132695109,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,1,0.2418158054351806
2,7.200999670784867,16,gzip = 1 AND nice = 1,encryption==1 AND disableLzoCompressibilityTesting==1 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,1,0.5127332210540771
3,13.50256547747886,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,zpaq==1 AND nice==0 AND multithreading==1,0,0.125,0.25,0.0833333333333333,1,0.3629002571105957
4,22.84361642746198,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption==1 AND integrityCheck==1 AND nice==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,1,0.3838973045349121
1,8.371778929454319,32,bzip2 = 1,encryption==1 AND disableLzoCompressibilityTesting==1 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,10,0.4256494045257568
2,24.04903634680356,31,encryption = 1 AND lzo = 1,encryption==1 AND lzo==1,0,1.0,1.0,1.0,10,0.4290099143981933
3,24.771539629987902,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,integrityCheck==1 AND lzo==1 AND multithreading==1,0,1.0,1.0,1.0,10,0.3851394653320312
4,18.389097805983653,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND nice==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,10,0.4239554405212402
1,22.04579671185249,32,zpaq = 1,zpaq==1,0,1.0,1.0,1.0,11,0.2362263202667236
