n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.70171545797716,499,sliced-threads = 1,no-8x8dct==0 AND no-asm==1 AND aud==1 AND sliced-threads==0 AND intra-refresh==0 AND constrained-intra==0,0,0.0,0.0,0.0,0,1.8127925395965576
2,85.24030648722034,265,no-dct-decimate = 1 AND sliced-threads = 1,no-dct-decimate==1 AND sliced-threads==1,0,1.0,1.0,1.0,0,0.912099838256836
3,72.02438868576719,722,intra-refresh = 1 AND no-chroma-me = 1 AND no-weightb = 1,no-chroma-me==1 AND no-weightb==1 AND intra-refresh==1,0,1.0,1.0,1.0,0,1.301666498184204
4,67.19148563554356,586,intra-refresh = 1 AND no-deblock = 1 AND no-mixed-refs = 1 AND opencl = 1,no-mixed-refs==1 AND opencl==1 AND intra-refresh==1 AND no-deblock==1,0,1.0,1.0,1.0,0,1.574779033660889
5,72.19962722191246,468,no-weightb = 1 AND no-dct-decimate = 1 AND pic-struct = 1 AND cpu-independent = 1 AND no-asm = 1,no-weightb==1 AND no-dct-decimate==1 AND pic-struct==1 AND cpu-independent==1 AND no-asm==1,0,1.0,1.0,1.0,0,1.5642328262329102
6,58.15396224788845,396,slow-firstpass = 1 AND no-fast-pskip = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND dts-compress = 1,slow-firstpass==1 AND no-chroma-me==1 AND no-mbtree==1 AND non-deterministic==1 AND dts-compress==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,0,1.6483206748962402
7,60.83979631583268,295,slow-firstpass = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND cpu-independent = 1 AND no-asm = 1,slow-firstpass==1 AND no-chroma-me==1 AND no-mixed-refs==1 AND cpu-independent==1 AND no-asm==1 AND intra-refresh==1 AND open-gop==1,0,1.0,1.0,1.0,0,1.601964235305786
1,55.22519745266851,499,sliced-threads = 1,sliced-threads==1,0,1.0,1.0,1.0,1,0.7036428451538086
2,53.69881157334618,815,no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,1,1.0055246353149414
3,53.45826680902704,631,no-fast-pskip = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-mixed-refs==1 AND cpu-independent==1 AND no-fast-pskip==1,0,1.0,1.0,1.0,1,1.2701609134674072
