n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,170.7161746813652,161,Lc4Lp0 = 1,Lc4Lp0==1,0,1.0,1.0,1.0,0,0.8151829242706299
2,40.89523445786644,421,Dict = 1 AND FlushTimeout = 1,Lc0Lp3==0 AND Lc3Lp1==0 AND Dist==1 AND Multithreading==1 AND sha256==0 AND PositionBits==0 AND bt3==1,0,0.0,0.0,0.0,0,2.057411432266236
3,87.881683671427,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,2,1.0,1.0,1.0,0,1.6677653789520264
4,175.7810552868676,140,hc4 = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,Nice==1 AND Depth==1 AND Dist==1 AND hc4==1,0,1.0,1.0,1.0,0,1.8251686096191408
5,80.78372219071495,303,MemoryLimit = 1 AND Nice = 1 AND Dict = 1 AND BlockSize = 1 AND FlushTimeout = 1,MemoryLimit==1 AND Nice==1 AND Dict==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,0,1.98909592628479
6,73.69447047508798,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc32==0 AND Lc1Lp2==1 AND Multithreading==0 AND sha256==0 AND PositionBits==0 AND bt4==1,0,0.0,0.0,0.0,0,1.88861083984375
1,177.09152658428053,190,Lc3Lp0 = 1,Lc3Lp0==1,0,1.0,1.0,1.0,1,0.7872819900512695
2,74.24960600257157,216,hc4 = 1 AND MemoryLimit = 1,Lc1Lp2==1 AND Depth==0 AND Dict==1 AND none==0,0,0.0,0.0,0.0,1,1.5875227451324463
3,55.71458791104968,141,bt4 = 1 AND Dict = 1 AND FlushTimeout = 1,crc64==0 AND Lc3Lp0==1 AND sha256==0 AND hc4==1,0,0.0,0.0,0.0,1,1.6417698860168457
4,93.08802075784372,106,Lc0Lp1 = 1 AND MemoryLimit = 1 AND Nice = 1 AND BlockSize = 1,Lc0Lp1==1 AND MemoryLimit==1 AND Nice==1 AND BlockSize==1,0,1.0,1.0,1.0,1,1.6076428890228271
5,197.53427692248624,278,Nice = 1 AND Depth = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,Nice==1 AND Depth==1 AND Dist==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,1,1.903844118118286
6,71.76146093461861,127,crc32 = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,crc32==0 AND Lc0Lp1==1 AND Nice==0 AND PositionBits==1 AND hc3==0 AND bt2==0 AND bt4==0,0,0.0,0.0,0.0,1,1.7681639194488523
1,107.28572214329049,367,bt3 = 1,bt3==1,0,1.0,1.0,1.0,10,1.1024055480957031
2,149.24834532443822,144,FlushTimeout = 1 AND PositionBits = 1,FlushTimeout==1 AND PositionBits==1,0,1.0,1.0,1.0,10,1.3882896900177002
3,138.34462154516268,193,crc64 = 1 AND Nice = 1 AND Depth = 1,crc64==1 AND Nice==1 AND Depth==1,0,1.0,1.0,1.0,10,1.6319382190704346
4,189.68562987427296,126,bt4 = 1 AND Nice = 1 AND BlockSize = 1 AND FlushTimeout = 1,Nice==1 AND BlockSize==1 AND FlushTimeout==1 AND bt4==1,0,1.0,1.0,1.0,10,1.821732759475708
5,157.6547416446821,202,bt4 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1,MemoryLimit==1 AND Nice==1 AND Depth==1 AND Dict==1 AND bt4==1,0,1.0,1.0,1.0,10,1.881074905395508
6,45.26753678672144,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc32==1 AND Lc2Lp2==1 AND Nice==0 AND PositionBits==0 AND hc4==0 AND bt4==0,0,0.0,0.0,0.0,10,1.8561770915985107
1,141.74129762493294,174,Lc0Lp2 = 1,Lc0Lp2==1,0,1.0,1.0,1.0,11,0.8386366367340088
2,89.85373934600867,108,Lc0Lp2 = 1 AND BlockSize = 1,Lc0Lp2==1 AND BlockSize==1,0,1.0,1.0,1.0,11,1.043337345123291
3,111.19690767994616,183,sha256 = 1 AND MemoryLimit = 1 AND Nice = 1,MemoryLimit==1 AND Nice==1 AND sha256==1,0,1.0,1.0,1.0,11,1.7325632572174072
4,101.09961342383608,322,MemoryLimit = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,MemoryLimit==1 AND Dist==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,11,1.8952598571777344
5,81.59753023339701,169,sha256 = 1 AND MemoryLimit = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,Dict==1 AND Dist==1 AND sha256==1 AND BlockSize==1,0,0.952112676056338,0.9086021505376344,1.0,11,1.8923957347869875
6,123.23277638744196,136,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1,crc32==1 AND MemoryLimit==1 AND Nice==1 AND Depth==1 AND Dict==1 AND Dist==1,0,1.0,1.0,1.0,11,2.0404443740844727
1,87.74612777165947,367,bt3 = 1,bt3==1,0,1.0,1.0,1.0,12,1.094170093536377
2,137.80611952967183,220,sha256 = 1 AND Depth = 1,Depth==1 AND sha256==1,0,1.0,1.0,1.0,12,1.537790298461914
3,160.43456077207793,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Nice==1 AND BlockSize==1 AND bt4==1,0,1.0,1.0,1.0,12,1.699103593826294
4,48.01871320944148,223,bt4 = 1 AND MemoryLimit = 1 AND Depth = 1 AND BlockSize = 1,MemoryLimit==0 AND Depth==0 AND Dict==1 AND Dist==0 AND PositionBits==1 AND none==1,0,0.0,0.0,0.0,12,1.9253969192504885
5,128.376689831574,148,none = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,MemoryLimit==1 AND Nice==1 AND Depth==1 AND Dist==1 AND none==1,0,1.0,1.0,1.0,12,1.880056858062744
6,76.11208887848835,133,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1 AND BlockSize = 1,Lc0Lp1==1 AND sha256==0 AND none==0 AND bt2==1,0,0.0,0.0,0.0,12,1.637531280517578
1,71.44670959216701,106,Lc1Lp3 = 1,Lc1Lp1==1 AND crc64==1 AND Multithreading==1 AND bt3==0,0,0.0,0.0,0.0,13,1.6918811798095703
2,55.88792718705607,312,crc32 = 1 AND MemoryLimit = 1,Lc0Lp2==0 AND Lc2Lp2==0 AND Nice==1 AND sha256==1 AND PositionBits==0 AND hc4==1 AND Lc0Lp0==0,0,0.0,0.0,0.0,13,1.641838788986206
3,82.3416209229906,146,Nice = 1 AND Multithreading = 1 AND PositionBits = 1,crc32==0 AND Lc1Lp1==1 AND crc64==0 AND Multithreading==0 AND bt2==0 AND bt3==0 AND bt4==0,0,0.0,0.0,0.0,13,1.6695528030395508
4,48.0224591217493,101,Lc0Lp1 = 1 AND Depth = 1 AND Dict = 1 AND FlushTimeout = 1,Lc3Lp1==1 AND sha256==0 AND BlockSize==1 AND FlushTimeout==0 AND PositionBits==0 AND none==0 AND hc4==0,0,0.0,0.0,0.0,13,1.7032535076141355
5,96.56744413560608,104,bt4 = 1 AND Depth = 1 AND Dist = 1 AND Multithreading = 1 AND BlockSize = 1,Lc1Lp1==0 AND MemoryLimit==1 AND Dist==1 AND BlockSize==1 AND bt4==1 AND Lc0Lp0==0,2,0.5674740484429066,0.4432432432432432,0.7884615384615384,13,1.8972744941711424
6,178.25842335645876,127,crc32 = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,crc32==1 AND Nice==1 AND Depth==1 AND Dict==1 AND Dist==1 AND BlockSize==1,0,1.0,1.0,1.0,13,1.972071409225464
1,93.4975072249202,445,sha256 = 1,sha256==1,0,1.0,1.0,1.0,14,1.0899605751037598
2,51.25206806667194,481,Depth = 1 AND Multithreading = 1,Lc3Lp0==1 AND Multithreading==0 AND BlockSize==1 AND none==1 AND hc4==0,0,0.0,0.0,0.0,14,1.8205595016479488
3,26.41103727702594,190,none = 1 AND Depth = 1 AND Dict = 1,Lc0Lp2==0 AND Lc1Lp1==0 AND Nice==0 AND Dist==1 AND FlushTimeout==1 AND PositionBits==0 AND none==0,0,0.0,0.0,0.0,14,1.9650697708129885
4,157.37779537701664,103,crc32 = 1 AND MemoryLimit = 1 AND Multithreading = 1 AND BlockSize = 1,crc32==1 AND MemoryLimit==1 AND Multithreading==1 AND BlockSize==1,0,1.0,1.0,1.0,14,1.9221231937408447
5,172.37778893541235,178,hc3 = 1 AND MemoryLimit = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1,MemoryLimit==1 AND Depth==1 AND Dict==1 AND Dist==1 AND hc3==1,0,1.0,1.0,1.0,14,1.9282495975494385
6,63.099767757881445,133,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1 AND BlockSize = 1,crc32==0 AND Lc1Lp1==1 AND MemoryLimit==1 AND Dict==1 AND BlockSize==1 AND PositionBits==0 AND hc4==0,0,0.0,0.0,0.0,14,1.8739776611328125
1,85.80682807755585,161,Lc4Lp0 = 1,Lc4Lp0==1,0,1.0,1.0,1.0,15,0.8702371120452881
2,151.8079532766532,240,hc3 = 1 AND MemoryLimit = 1,MemoryLimit==1 AND hc3==1,0,1.0,1.0,1.0,15,1.6561322212219238
3,157.1360658385201,111,hc4 = 1 AND Multithreading = 1 AND BlockSize = 1,Multithreading==1 AND BlockSize==1 AND hc4==1,0,1.0,1.0,1.0,15,1.815009355545044
4,170.70771868178605,114,bt4 = 1 AND MemoryLimit = 1 AND Depth = 1 AND Multithreading = 1,MemoryLimit==1 AND Depth==1 AND Multithreading==1 AND bt4==1,0,1.0,1.0,1.0,15,1.9782369136810305
5,99.13350383848838,117,bt4 = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND Dict==1 AND Multithreading==0 AND BlockSize==1 AND bt4==1,0,0.9957446808510638,0.9915254237288136,1.0,15,2.112276077270508
6,138.13532636032264,131,crc32 = 1 AND MemoryLimit = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,crc32==1 AND MemoryLimit==1 AND Depth==1 AND Dict==1 AND Dist==1 AND BlockSize==1,0,1.0,1.0,1.0,15,2.1265714168548584
1,124.42985138357712,248,bt2 = 1,bt2==1,0,1.0,1.0,1.0,16,1.037517547607422
2,116.94343076174518,222,hc4 = 1 AND Dist = 1,Dist==1 AND hc4==1,0,1.0,1.0,1.0,16,1.4471299648284912
3,169.4831541286514,103,Lc0Lp1 = 1 AND Nice = 1 AND FlushTimeout = 1,Lc0Lp1==1 AND Nice==1 AND FlushTimeout==1,0,1.0,1.0,1.0,16,1.3758976459503174
4,36.6767520043844,208,MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND PositionBits = 1,crc32==1 AND Lc1Lp1==1 AND Nice==0 AND Depth==0 AND bt3==0,0,0.0,0.0,0.0,16,1.61509108543396
5,194.41540680932872,152,none = 1 AND MemoryLimit = 1 AND Nice = 1 AND Dist = 1 AND BlockSize = 1,MemoryLimit==1 AND Nice==1 AND Dist==1 AND BlockSize==1 AND none==1,0,1.0,1.0,1.0,16,1.8207685947418213
6,103.40725137233834,131,crc32 = 1 AND MemoryLimit = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,crc32==1 AND Lc2Lp1==0 AND Depth==1 AND Dict==1 AND Dist==1 AND BlockSize==1,0,0.9454545454545454,0.9027777777777778,0.9923664122137404,16,1.8844220638275144
1,23.176673091594576,378,hc4 = 1,Lc0Lp2==0 AND Lc2Lp1==0 AND sha256==0 AND BlockSize==0 AND PositionBits==0 AND hc4==0 AND Lc0Lp0==0,0,0.0,0.0,0.0,17,2.274791955947876
2,177.05621857455432,255,none = 1 AND Depth = 1,Depth==1 AND none==1,0,1.0,1.0,1.0,17,1.4283277988433838
